,L2_LINES_IN:ALL,L2_LINES_OUT:NON_SILENT,L2_LINES_OUT:SILENT,L2_LINES_OUT:USELESS_HWPREF,L2_RQSTS:ALL_DEMAND_DATA_RD,L2_RQSTS:ALL_DEMAND_MISS,L2_RQSTS:ALL_DEMAND_REFERENCES,L2_RQSTS:ALL_PF,L2_RQSTS:ALL_RFO,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,L2_RQSTS:MISS,L2_RQSTS:PF_HIT,L2_RQSTS:PF_MISS,L2_RQSTS:REFERENCES,L2_RQSTS:RFO_HIT,L2_RQSTS:RFO_MISS,L2_TRANS:L2_WB,MEM_LOAD_RETIRED:L2_HIT,MEM_LOAD_RETIRED:L2_MISS,MEM_LOAD_UOPS_RETIRED:L2_HIT
openmc,0.006001438559601495,0.004935595594629402,0.0010549315867479617,0.0001223937691059232,0.0015236785503909807,0.0011427170045446376,0.003524851961492158,0.008637177307977964,0.0016676357192196302,0.0005438614965945213,0.000979524884341684,0.007751271457891949,0.002029823582963497,0.006608066814396582,0.012165385356646364,0.0015432636968666525,0.00012371155818361774,0.004929224317820821,0.00046154703486282365,0.0007396461204437232,0.0004607744881584157
picsarlite,0.0141911536933319,0.012432760822045592,0.0008929496110910881,9.935504100665602e-05,0.015210821873728169,0.00857826122498498,0.016594198718632346,0.012853428005888326,0.0013419969867417927,0.007715008159724823,0.007502152767088198,0.016064439049782508,0.005409038093554296,0.007447349295542589,0.029452492787829913,0.00026793697644879517,0.0010746971828953214,0.012443690485939156,0.006830897037760117,0.007032752481942255,0.006831660864359138
picsar,0.014559594110393138,0.012818732297320584,0.0009177361189740236,0.00010433497590367847,0.01649765882200813,0.008790830905960783,0.017861582614774753,0.012633318883377041,0.0013267516610905655,0.008771001666461286,0.007728666340787345,0.016395467119926788,0.005057193842803832,0.007581603929428364,0.03048384040560127,0.0002745484314839062,0.0010543450401586194,0.012845084791437228,0.007878545290746724,0.007274105285695722,0.007879163638114193
amg2013,0.0034095394138242,0.003193510130948551,0.00019971825003726367,4.5458056149346726e-05,0.0017793179232761449,0.0004949304558694972,0.002112778363067987,0.009882513145973404,0.00031733002272373863,0.0014009284024444314,0.00037824348313747117,0.004890196570241793,0.005496374061601863,0.004386659981547353,0.01200587887357657,0.00020232946972152072,0.00011400246164724595,0.0032009895492199443,0.0012592594307204105,0.0004258768548688209,0.001259622163250768
Castro,0.017745946759403698,0.01671261375190764,0.0010316310165807627,0.0006389884755459148,0.007904965922651686,0.0018938230135109586,0.013080805337467949,0.03460120636076907,0.005122935957319878,0.007103272452703119,0.0008038043045459166,0.024477652039026524,0.011970005723484469,0.022629254946909882,0.047620237555543884,0.004076086847581992,0.0010396296770859882,0.016740106398000918,0.006393508945461028,0.0009268959048825637,0.006397118855826936
Laghos,0.012460078899720731,0.011554311089455295,0.0007844353173311863,0.0010562775412128413,0.005600464329095579,0.002531603114435477,0.007628148578551114,0.01930990328959201,0.0019918508260936513,0.0037819336965595673,0.0018120261328576934,0.016141239079293733,0.005746281693753045,0.013577972250509893,0.02695701999586387,0.001308096427963715,0.0006864415226427097,0.011561802798532065,0.0036034401166064453,0.0019280659630430718,0.003598855825569396
pennant,0.02307466885365644,0.02136126195943365,0.0015738690799688725,0.00021921626242115734,0.015410643658796791,0.00426227880064575,0.031202071253175867,0.061446441972021634,0.015169557157140391,0.014191253953216663,0.0011989576843313722,0.03243537714861587,0.0333698741944925,0.028137224787013342,0.09271134590008974,0.01220489690035212,0.002969137021765004,0.02140238396660253,0.012063317891762293,0.0014042879429369806,0.012066477438734464
snap,0.015158027333439673,0.01234595220778912,0.002793095282710769,0.0006273947581877491,0.0112969665004092,0.002889175911883909,0.01970889602446631,0.032049291919501566,0.007503401204493498,0.009684540638805014,0.0016105715324188786,0.019461623009992164,0.015509042615246871,0.016558328065815982,0.05174508473812918,0.006911251590027907,0.0005982717529958416,0.012365314857650932,0.008578524963891276,0.0016964713117653225,0.008568284066671287
hpcc_dgemm,0.0258602647381216,0.022046747553755484,0.0036266418760305475,0.003082030703041417,0.07989245203558325,0.0034741667330043693,0.08433590586773178,0.2827260107358692,0.004352405151058834,0.0789432839186649,0.0008773530180393081,0.03110607493487519,0.2545010866662343,0.02746359613791986,0.3671823839445851,0.0017965006707757894,0.0025635008808445503,0.02203951139037836,0.07636002233821164,0.0003838278696429812,0.07625202397711
hpcc_random,0.005171867586183926,0.00445519652717221,0.0007125832672281446,3.611883235872893e-05,0.009989815197635905,0.004556047874854633,0.014660183120436631,0.0012661423791751876,0.001240011195041983,0.0058013232677013036,0.0041417274073827825,0.0054009420819696756,0.000524072090164992,0.0007415760530738856,0.016080246462703104,0.0008638107633818445,0.00037878316256950354,0.004465821394633957,0.004239433928685289,0.002265211062430883,0.0042341483465446654
hpcc_streams,0.018629492311556282,0.017526194693583196,0.0011239814506869342,5.679831072639283e-05,0.007196000074634155,0.008441811357658263,0.012336828597073043,0.02626283575352121,0.005117429482070314,0.0022905275580368057,0.0048886963716856,0.029925302097830963,0.004885908908518056,0.02133195146758776,0.03864406705396715,0.0015802000460327006,0.003556375906422592,0.01756477950952427,0.00234060392501776,0.006522101979258352,0.002343742779678324
hpcg,0.026778770135859168,0.025264588890186512,0.00152425316047037,0.00012311346567349125,0.009550388862997295,0.0020633384777432253,0.00987391839908527,0.05970316223052425,0.00031035353672497705,0.00763793522500215,0.0019134019713281988,0.04128819412004521,0.0206291572305796,0.0391138965598353,0.06970284343056676,0.00017053761219049883,0.00014033465705233492,0.02525668035522229,0.007573307967589194,0.0024334239954060897,0.007571553726301373
