,ARITH:DIVIDER_ACTIVE,EXE_ACTIVITY:1_PORTS_UTIL,EXE_ACTIVITY:2_PORTS_UTIL,EXE_ACTIVITY:3_PORTS_UTIL,EXE_ACTIVITY:4_PORTS_UTIL,EXE_ACTIVITY:BOUND_ON_STORES,EXE_ACTIVITY:EXE_BOUND_0_PORTS,FP_ASSIST:ANY,OTHER_ASSISTS:ANY,UOPS_EXECUTED:CORE,UOPS_EXECUTED:CORE_CYCLES_GE_1,UOPS_EXECUTED:CORE_CYCLES_GE_2,UOPS_EXECUTED:CORE_CYCLES_GE_3,UOPS_EXECUTED:CORE_CYCLES_GE_4,UOPS_EXECUTED:CORE_CYCLES_NONE,UOPS_EXECUTED:STALL_CYCLES,UOPS_EXECUTED:THREAD,UOPS_EXECUTED:THREAD_CYCLES_GE_1,UOPS_EXECUTED:THREAD_CYCLES_GE_2,UOPS_EXECUTED:THREAD_CYCLES_GE_3,UOPS_EXECUTED:THREAD_CYCLES_GE_4,UOPS_EXECUTED:X87
Nekbone,0.00025813507517952764,0.0528017791425305,0.107530183966655,0.09631752118091433,0.10352963529582124,0.030348793958809968,0.0058005164080205856,0.0,1.2851620228023796e-09,1.3748788294075385,0.4362917790956233,0.3831305348170823,0.27533581321660106,0.1787579351537409,0.5599494659954074,0.5599270532115116,1.3735829963945787,0.43572837000650255,0.3827060484820639,0.27514675178487924,0.17864309964134167,2.4187029232753602e-05
Nek5000,0.0004259460018621737,0.0580744317113064,0.10485767315218722,0.09022507538208482,0.07878565299732905,0.0467124131504385,0.006336362100963236,3.368952358059127e-15,7.56418555457096e-09,1.2357570441643029,0.4037343675467072,0.3451765634679028,0.2405628954663382,0.15024499447104006,0.5923661748108915,0.5920661215176967,1.2363647639866229,0.4039669516190836,0.3456546242613169,0.24064802840322516,0.15016524445029011,1.7341850485036613e-06
XSBench,0.012824239543036728,0.09690902190468716,0.05243981604052903,0.02385283034889283,0.012400687957592709,4.668457291653494e-05,0.006194499867774347,0.0,8.153162760716129e-12,0.6581902250596826,0.3229079002565409,0.17786438468256718,0.08843395638825763,0.04187358596866151,0.6766706652563026,0.7991678923705331,0.3945935720262039,0.19962776653624725,0.1017375173717636,0.04900989832674836,0.02510089785585694,2.0949405541234415e-06
openmc,0.015899109550435633,0.0912113308577926,0.12509870038726906,0.14475794183106633,0.12962923825936434,0.042097201536448206,0.007271146306119131,8.975953454407786e-11,2.5783572637231165e-10,2.162311180129941,0.6499286752738298,0.5585727195563671,0.4323950094480128,0.2874286654747027,0.35025556582274153,0.3501690442912936,2.161957474494352,0.64993456927036,0.5584947216827931,0.4330267202289459,0.2883644486927589,1.2591679273987896e-06
picsarlite,0.052475470362759936,0.1105647959775964,0.11983884177754472,0.11348556206099768,0.09601777100253683,0.03804931136634517,0.01587484753272235,0.0,1.368182140962593e-07,1.6493300887305498,0.5459804819216865,0.434656774441296,0.3149500533957715,0.20101115742790085,0.4583672118081263,0.4584659325046872,1.6479208338135043,0.5455258979107919,0.4341493346208496,0.31427950113099445,0.20081352217474085,0.0022011409361023687
picsar,0.03134552649954545,0.10635189161781902,0.10717311974003504,0.1046157079249316,0.09677684252247933,0.03901653972987693,0.014963200804627966,0.0,1.3958688950981474e-07,1.618770383174981,0.5253717528282251,0.41828171896026267,0.3111590958359013,0.20632609738433594,0.4780115530276833,0.478543524812321,1.6175509470791407,0.5243363707006156,0.4178089501108346,0.3104730044477607,0.20561919486612465,2.143903249483699e-06
amg2013,0.0033872307144710147,0.12183494227083252,0.1398741287400894,0.13477039686553316,0.1503341559646027,0.0065658353939234285,0.02106674632232406,0.0,3.832055219496727e-09,2.078898507074096,0.6726402573559186,0.5501889828414892,0.40979081623205216,0.2745071364476321,0.3285986220172851,0.328619315952264,2.0766341970891298,0.6719512617646914,0.5495982983584297,0.4093737170798886,0.2744190268799945,5.1331510774105684e-06
Castro,0.14205279198833035,0.0920352518607032,0.14678941256614664,0.1847885726019668,0.1744646473778994,0.055071673016574896,0.010878924351586954,1.1644118819914794e-13,7.6398556774053e-11,2.5051826710925345,0.7599849225293787,0.6667675350545591,0.5193374401869689,0.33486108257869035,0.2405701993687241,0.24067811756019544,2.502979199132396,0.7590740899180087,0.6660061670096399,0.5198467177312829,0.3344010565293682,1.1076506866063746e-06
Laghos,0.09174022878424612,0.09054958106984667,0.12279009370961085,0.14865330677840688,0.1511043049089546,0.04092060810781849,0.009766068872277716,0.0,4.3914322263680185e-10,2.0678286628897884,0.6405962495823779,0.5495653669178476,0.4263910960446548,0.27723554333140993,0.359342233924388,0.3594038497297135,2.0647049999232365,0.6400480244232004,0.5488760438865217,0.4259888190321489,0.2769910578919059,0.016730308689440018
pennant,0.05109041507554928,0.1644567609209525,0.18550561648010652,0.14365757443809093,0.10692460510235208,0.035914756854254035,0.005634456085098953,0.0,2.1392518055825826e-07,1.7550375878370208,0.6682156294834447,0.5038546378281705,0.3188332576552054,0.1752285334881302,0.33215781348892365,0.3325536871686675,1.7627090075216605,0.6712892077587621,0.5058745817375664,0.3197787702046172,0.17519395767878568,9.575235807158708e-05
snap,0.013725007142332962,0.09613698857649286,0.17395733443298447,0.2293784768599882,0.1807481375393032,0.011648345223979128,0.004675944349963597,0.0,2.822700199462217e-10,2.5171590613702355,0.8045070309066855,0.7088446846705206,0.5355339547960389,0.30528183157353755,0.1956354512507681,0.19570656364312367,2.518796100208461,0.8064475052755903,0.7091916998502024,0.5346273906463288,0.30486696224686105,6.776974934502679e-06
hpcc_dgemm,4.052387246506813e-06,0.03502823077146651,0.19796938921605728,0.4063696234390745,0.21111593030724912,7.900442001181646e-05,0.005651754697691447,0.0,2.1455548089674473e-10,2.7767369704473843,0.9024023992913224,0.867383450642752,0.6682244482538862,0.26120421234731,0.09790924488384237,0.09797640593581294,2.7741381673846712,0.9021130394167028,0.8658835902033969,0.6672612032110454,0.2611499101443199,5.383935020344296e-07
hpcc_random,0.000546183412087199,0.07710037209603035,0.08987847444958079,0.0886967673339247,0.07616627972077843,0.01177541098775292,0.012225596555694496,0.0,3.814174441077163e-09,1.284026327679905,0.4174994592126059,0.3398771933101302,0.24947933496598976,0.16064038908743666,0.583174438260046,0.5833081471979549,1.2823110488839162,0.4170846243203602,0.3395481065149058,0.24947366840098475,0.16062396110568702,6.518244757245775e-05
hpcc_streams,9.00546095401906e-08,0.051712109554840936,0.045707947991491686,0.028260727984356464,0.018578507399157,0.04346585342535532,0.004502841325967564,0.0,5.788661978324868e-11,0.4407415274549752,0.1697421159577457,0.11751537661786922,0.07161129418083674,0.043237366468876284,0.8252448607403997,0.8247546004840384,0.4403742236131801,0.1694577334066739,0.11735970051344102,0.07148236777658086,0.04325766595247887,1.8609571401080683e-08
hpcg,0.024544787144581158,0.13679062271696588,0.1217440048043606,0.08679327701137762,0.04680176635290642,0.0035700795496861936,0.008224355762585456,0.0,2.043861219188932e-09,1.0274315405217809,0.42866294857067133,0.291943775818861,0.1700735489708413,0.083238836246679,0.5685103693637509,0.5686006026332976,1.0306253254998847,0.4301621421254839,0.29259566203422266,0.1706457949780317,0.08357897289347267,0.00032869627706573246
