,ARITH:DIVIDER_ACTIVE,EXE_ACTIVITY:1_PORTS_UTIL,EXE_ACTIVITY:2_PORTS_UTIL,EXE_ACTIVITY:3_PORTS_UTIL,EXE_ACTIVITY:4_PORTS_UTIL,EXE_ACTIVITY:BOUND_ON_STORES,EXE_ACTIVITY:EXE_BOUND_0_PORTS,FP_ASSIST:ANY,OTHER_ASSISTS:ANY,UOPS_EXECUTED:CORE,UOPS_EXECUTED:CORE_CYCLES_GE_1,UOPS_EXECUTED:CORE_CYCLES_GE_2,UOPS_EXECUTED:CORE_CYCLES_GE_3,UOPS_EXECUTED:CORE_CYCLES_GE_4,UOPS_EXECUTED:CORE_CYCLES_NONE,UOPS_EXECUTED:STALL_CYCLES,UOPS_EXECUTED:THREAD,UOPS_EXECUTED:THREAD_CYCLES_GE_1,UOPS_EXECUTED:THREAD_CYCLES_GE_2,UOPS_EXECUTED:THREAD_CYCLES_GE_3,UOPS_EXECUTED:THREAD_CYCLES_GE_4,UOPS_EXECUTED:X87
ExaMiniMD,0.022051927847915744,0.12781409525352522,0.17680309514856374,0.2049865410753308,0.18061143648142372,0.0004159566754397121,0.005435240514995415,0.0,4.462639550268416e-08,2.9144394163779888,0.88996784214203,0.7627085634063542,0.5859854844948853,0.3806605189765884,0.11104299310456442,0.1110376125046817,2.9094846247639086,0.8901777284298479,0.7624379902755447,0.5855532781723631,0.3803558081878348,0.0035258229278328037
LAMMPS,0.016330059029516626,0.11772965350640135,0.1692627574889794,0.20641959064197454,0.2039223184947564,0.0009633562099007592,0.0017342230412176276,0.0,0.0010893430798487424,3.0481223955329932,0.911065588737238,0.7923718539765107,0.6236737023508843,0.4167233416424755,0.09048098264972868,0.09052254323745228,3.0461520475210566,0.9102155439643266,0.7921077238490684,0.6226277290398246,0.4163197995261177,0.00014988784192527719
sw4lite,0.028447003314086863,0.08705807373364692,0.208452265536962,0.2284690192284539,0.2107184810846548,0.024373354449119373,0.002938588215489208,0.0,8.123246652464816e-09,2.7096869118267244,0.8642318507480116,0.7764131905685874,0.5673490471268926,0.33885947734412764,0.13554626952475846,0.13555467459065546,2.7080195922150763,0.8640875950505557,0.7762298600334835,0.5675905929112024,0.33897702008579705,5.779412895734188e-07
sw4,0.02529508598026428,0.10816158431503972,0.1905758570080124,0.22310263748281656,0.20401660702224345,0.04830465615689106,0.004312516199407708,0.0,1.6841392291460686e-08,2.6649963208622545,0.8575823938892986,0.7494333682045652,0.5587394797222547,0.33528489867785993,0.14129568868819006,0.14130114578169148,2.663714016463206,0.8575023707238566,0.7493224486140174,0.558585327528305,0.335386055577486,5.318210792180804e-07
SWFFT,0.040068551347413287,0.14355305945720268,0.12098683445866976,0.1031510594974481,0.09776607696712256,0.04085351642355798,0.017356764905705608,0.0,1.0649060107864572e-07,1.5009338165870096,0.5440006113093961,0.4003625136880811,0.278748258076985,0.1748288911607009,0.4557671836624204,0.4570117342633564,1.4918676332094492,0.5420865932237797,0.3982900395896607,0.2769734314593979,0.17371866056637886,0.004454143158243214
HACC,0.0015502905171467965,0.14532931111621786,0.18437600708891186,0.14600682117041192,0.11948396188666005,0.0417160940534488,0.012885287372924024,0.0,5.992276050296639e-07,2.13586348454698,0.7262693077962592,0.5813342477904688,0.3951234171912921,0.24831989594883824,0.2722453490711421,0.27251794444590194,2.1334361763324523,0.7258745461683154,0.580857411320098,0.3946748913204156,0.2479972326024575,2.421032484176924e-05
MiniQMC,0.007474014470203394,0.08551767433956396,0.04306528266706986,0.017403378461931716,0.006188182859530031,0.01845283744167601,0.0036619590981882885,1.286229349495036e-11,1.6918345725405502e-07,0.4958663021863746,0.2574437044445909,0.13606296119161482,0.06389645728371482,0.02669327368423375,0.7374946431667725,0.8386652208197771,0.26029594042387194,0.15449372712603265,0.06862297838285744,0.025590627007100467,0.008387810461885572,0.0013895008964712927
QMCPack,0.0037483309462723454,0.09035583372746267,0.057362219324190264,0.029949607080935282,0.014779822413622724,0.01335845797289204,0.0039582881791078465,6.087594832745833e-14,3.357457428010218e-08,0.4299591010297399,0.20768970700166955,0.11667565473889555,0.058764551427593174,0.028384394653044917,0.7910557890634118,0.7932765546897176,0.4266437961878607,0.20638021718307048,0.1157154922068942,0.05822723739873501,0.028147536188329013,7.32565634918761e-06
miniVite,0.0044532100031870105,0.08427304616140542,0.08407150670046465,0.0670945151064944,0.07380745633379655,0.0013588335652444162,0.012833567014695185,0.0,6.349096223304366e-08,1.3454116174737614,0.4212213485706083,0.3365578312762025,0.2520533853749919,0.18467871104599048,0.5731126456064758,0.5728399529559225,1.343623440762133,0.4206975096454759,0.3360690069199582,0.25177834981268404,0.18461118623627684,0.0006385871153802222
vite,0.7275049010658649,0.1207400343603848,0.18916148920878895,0.22079639720604186,0.16424204675444962,5.632091529403902e-05,0.013206924043944324,0.0,5.306725147545711e-09,2.5364610150418616,0.8273989213784521,0.7062211172040657,0.5165631959963157,0.2955821809712468,0.17246937338750615,0.17238678883882422,2.535095404791765,0.8268950802738116,0.7062311351708342,0.5166180716769276,0.2954334712950731,5.593309953552261e-05
