,L1D:REPLACEMENT,MEM_LOAD_RETIRED:L1_HIT,MEM_LOAD_RETIRED:L1_MISS,MEM_LOAD_UOPS_RETIRED:HIT_LFB
ExaMiniMD,0.011486258683133773,0.8272135510507841,0.0039275514091058885,0.0052374826301106285
LAMMPS,0.0097570674610243,0.9247804210541096,0.002093327614900311,0.003638649534791585
sw4lite,0.02725567357410117,0.8950017237460447,0.01204381187921166,0.010551503713007292
sw4,0.024394730358424203,0.8739488610974775,0.013262350265578326,0.009988192167706326
SWFFT,0.01013865935284322,0.3420871946570808,0.0030545581303617377,0.0034694907166534826
HACC,0.017357326589273643,0.5311008802114119,0.005647053766210687,0.003687792481030136
MiniQMC,0.034471047224604964,0.04237054889428437,0.006358277406776471,0.02081909431733523
QMCPack,0.059214712486916336,0.06308865446784327,0.042448904999091805,0.010111375163954602
miniVite,0.005467068690491317,0.34673656305359996,0.002664985957133561,0.002161559826907553
vite,0.02985691017247673,1.018377164319516,0.002228730713484868,0.009660310644702158
Nekbone,0.025358793886206727,0.35688433442532,0.0053749502336732724,0.0554376850836963
Nek5000,0.024009527265341883,0.3195769957912292,0.0076254727807266425,0.05274511917018775
XSBench,0.011528964968736935,0.07201818886769222,0.004995346974863245,0.009531833792194005
openmc,0.006503195634104664,0.6448184722604061,0.001203544319484141,0.004960062391060297
picsarlite,0.021459287029148642,0.3887174454829047,0.013859658490257415,0.007424556023583526
picsar,0.02247599699484467,0.4104539455892405,0.015033716384419775,0.00862986517061427
amg2013,0.007731522241548719,0.539694031847955,0.001667989752459133,0.004389519079655921
Castro,0.023706309870481796,0.5939402656405739,0.007352777079574255,0.010349795935221454
Laghos,0.012429174452677105,0.526757663036444,0.005498336362703299,0.01039878988156145
pennant,0.05464835324706434,0.4496643379992064,0.013389235787765514,0.022541077215672476
snap,0.02872742615263913,0.749914583022175,0.010055039893244294,0.016353723819841404
hpcc_dgemm,0.26234460089718,0.8114155779953253,0.07471342036364613,0.00328258403377192
hpcc_random,0.01154750394709598,0.32265646346312715,0.0062800042386842855,0.003967027025808314
hpcc_streams,0.018641634692485663,0.08443898068367116,0.008828411807176263,0.030293866208446506
hpcg,0.031149999621031918,0.3363732160661849,0.009922771543374915,0.060682750607636914
