,BACLEARS:ANY,DSB2MITE_SWITCHES,DSB2MITE_SWITCHES:PENALTY_CYCLES,ICACHE_16B:IFDATA_STALL,ICACHE_64B:IFTAG_STALL,IDQ:ALL_DSB_CYCLES_4_UOPS,IDQ:ALL_DSB_CYCLES_ANY_UOPS,IDQ:ALL_MITE_CYCLES_4_UOPS,IDQ:ALL_MITE_CYCLES_ANY_UOPS,IDQ:ALL_MITE_UOPS,IDQ:DSB_UOPS,IDQ:DSB_UOPS_CYCLES,IDQ:MITE_UOPS,IDQ:MITE_UOPS_CYCLES,IDQ:MS_DSB_OCCUR,IDQ:MS_DSB_UOPS,IDQ:MS_DSB_UOPS_CYCLES,IDQ:MS_MITE_UOPS,IDQ:MS_SWITCHES,IDQ:MS_UOPS,IDQ:MS_UOPS_CYCLES,IDQ_UOPS_NOT_DELIVERED:CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_0_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_FE_WAS_OK,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_1_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_2_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_3_UOPS_DELIV_CORE
ExaMiniMD,6.341141176224783e-05,0.008297458151198986,0.008286585600827824,7.590185719006095e-05,7.208663411913479e-05,0.3745163415576277,0.443001914683849,0.06358822625982323,0.1157215090915968,2.5584199226272752,2.0443554248830957,0.408085924109456,0.3839062506095445,0.11503103976218194,0.02119053805747065,0.11998642960754903,0.035269707283789316,0.0025676228256302173,0.021520361475399357,0.12164212495900048,0.03590868053437322,0.0949326317149853,0.0049144781571603706,0.9446205677963212,0.012547302052361823,0.021928485022493626,0.05567137394155645
LAMMPS,7.502182227049254e-05,0.00619117445972406,0.0061870224087438004,8.6704614844049e-05,6.065121747130489e-05,0.4247151153013991,0.4848391033734396,0.02533265534498435,0.04579413092800598,2.511960401593758,2.332627003750221,0.4792370787745026,0.14851814812957773,0.04518749452437745,0.004099034341722728,0.027020581603477718,0.006970819392330911,0.001665589032601652,0.004264288875790911,0.02599356874881185,0.006938528772026631,0.09005793567985906,0.006782803759231917,0.9562197337718598,0.01565554737133749,0.02536685575326884,0.04222505589544338
sw4lite,1.0680546613256846e-05,0.006890918203268079,0.006902015031997231,0.0004510089400102449,0.001467180209155016,0.3189859978383688,0.3519389249534177,0.046470008852744896,0.25069802635344923,2.3893192375646337,1.653213707795203,0.3395270903703901,0.6807494595283623,0.2458996584036392,0.007591038663071875,0.05032397906451526,0.01284858965904128,0.005971507495487678,0.008186016434211222,0.05394587065908089,0.014608594723789153,0.2474899088948815,0.009218600398438177,0.8581605327559103,0.014115491746250515,0.08114678725124311,0.13954726941582404
sw4,1.239079833609482e-05,0.0032820162743376698,0.003277994647020959,0.0005722323563919111,0.0014419874710294644,0.29113643287680285,0.32234702808648785,0.05373259334074325,0.2983264961983677,2.3294717961331117,1.5007144011779203,0.3105504974562942,0.7749491907858299,0.2956978016500648,0.006815259936859261,0.04652099494871367,0.011890669393467505,0.006755450772282965,0.007537547473023331,0.0524054608423606,0.014280210153139919,0.3195015916763532,0.007201476143295505,0.8235410025945121,0.018399556734818155,0.11750439522877985,0.17629819410649022
SWFFT,4.841699393934701e-05,0.010102773121462077,0.010117193571076174,0.0005162191064138612,0.00011447115244579786,0.20188591904484104,0.2837503376490187,0.07284431378953818,0.09384793904666323,1.4833542418235248,1.0130665211668748,0.2468358747712712,0.0938549585417104,0.0327856973154588,0.0225569141535234,0.1350216142270228,0.03603810632857085,0.2393313097478787,0.04112361486103275,0.3763621261040278,0.09738515479932694,0.5031882406494407,0.09766607989348106,0.8419050966663016,0.1071230313647469,0.13901167362460845,0.1595594693758588
HACC,4.689995639050088e-05,0.007214886296222287,0.007201569522522096,0.0002972795525095456,0.00016559422980949376,0.3401388486424112,0.4502815647326008,0.011723098354761326,0.02936362747300165,2.079161459542982,1.8928163347600644,0.4238446552155842,0.07160340445408102,0.02476369904016492,0.015130441035591769,0.09924264149006712,0.026482471507928103,0.014136965689287944,0.016698254529159868,0.1135847869426799,0.031178800026635124,0.11670636482554014,0.011861256453967156,0.9461134946243565,0.016954983036889842,0.032389966348229465,0.055677380746140634
MiniQMC,2.3302252076543864e-05,0.0015697678106361575,0.0015610847372210565,0.002361092982512864,0.0024821037888922547,0.03710164597213046,0.04198075012051628,0.003658209457102065,0.00710568990838577,0.2291150323611295,0.2072423566307488,0.04206094911560079,0.01673814337175896,0.005233040911116971,6.848928241751131e-06,3.446491542998977e-05,1.1950219168516549e-05,0.004939162846919743,0.0009090461511781776,0.005008260529445415,0.0019017332679472586,0.07964239760399698,0.017188207210869087,0.969171533067844,0.01813167949479985,0.02060730825784591,0.023914729647366826
QMCPack,2.719589495074164e-05,0.0012690785905372312,0.0012689228393614332,0.0018947034069214691,0.0033093080429909692,0.07102874756753925,0.08543078675124938,0.003262713489175009,0.008432842300060214,0.4076719698045169,0.3691679610374793,0.08125740060335833,0.012141104738042374,0.004241996830671765,0.00243785452196291,0.016203072936630952,0.004158318332695548,0.01041587399436354,0.0033409015602794767,0.026715632997080675,0.008390069284393047,0.050540790925664304,0.008925909907379948,0.9852444500838006,0.010354561554604165,0.013535894390868755,0.01763923534628862
miniVite,7.831667279913105e-05,0.015003863424012928,0.01498331550002134,0.00018865061065169824,0.00048306873603121787,0.22583259768320435,0.3322902556331085,0.007995887019078125,0.021110793641556408,1.377725234713563,1.1570325357381024,0.2901147024037875,0.03765278720070751,0.01465542000649926,0.02155508018535237,0.1466565297487763,0.038912365968169306,0.022760606116864236,0.023987493543974912,0.18199900839060276,0.04889610368054804,0.1934370740383597,0.025176909026900902,0.9225284516748224,0.035341457926016985,0.05558127856302423,0.07744566528321069
vite,1.3372947511891753e-05,0.0015306500763923592,0.0015221060136931725,0.0004022510798770252,0.00044434249827917733,0.3823399310113818,0.4675337067379974,0.0016651542044210054,0.0048664946346554366,2.1958012938636777,2.140766644041411,0.4571444671795722,0.007272699950790306,0.0028073268093177497,0.005515904801793344,0.036617914563872964,0.009770255005468872,0.006237824495558778,0.00614773966877142,0.041943210774849915,0.01157528070892325,0.1175304710771682,0.006372526723153799,0.908951511865398,0.007860327576203608,0.010892803729663765,0.09262276722548476
Nekbone,9.43376607747208e-06,0.001852175584584589,0.001849116112155638,0.00032545212349067683,0.00044895738790610783,0.2178075706593911,0.2594245972024455,0.0019439807088606847,0.006073089715813349,1.2701380106659688,1.209254161727448,0.24839629327521726,0.008294674582727113,0.003101089077889414,0.006473174950445945,0.042801727002078516,0.01136691518749515,0.007955020387499475,0.007270151456316984,0.04882873297468997,0.01384882029363214,0.03911714034185679,0.005338644524825564,1.0007258297022121,0.006763821307082288,0.01067702276285365,0.016475015270265948
Nek5000,1.1021816569608827e-05,0.002235540304801766,0.0022345117570318584,0.0005763630381728747,0.0028616007423518004,0.19539002788322074,0.2394465498469192,0.0024720994539678656,0.007531213199445703,1.1376611092723323,1.0620249711357,0.22625796097317824,0.012908266879348427,0.0047507862681160406,0.007406801449536378,0.04769978700953618,0.012671622798525984,0.00813165645012697,0.008286466357692404,0.05908764221392152,0.01626609331094622,0.042004164125916524,0.005885909443045394,0.9829232746618866,0.007346191526582188,0.011252082264285193,0.017709782623533548
XSBench,3.450919314394174e-05,0.005551431985459836,0.005571885284584098,0.00024947038306427497,1.9773172896955266e-05,0.08254502566185475,0.11038598472465792,0.003695087761243551,0.006928791788745886,0.5110913901734762,0.4734770722294736,0.10610217638580577,0.0179523392883489,0.005553133223046762,0.002380638572894286,0.015559849372143724,0.0041567592434392665,0.0035240406929630866,0.0029092493225566073,0.018823530782372463,0.005462535046268278,0.09052167328865908,0.018684832710204723,0.9735492810544272,0.020059264950401667,0.022862847037772232,0.029174287515774826
openmc,3.579652019785308e-05,0.013045587669587905,0.013032365685732869,0.0008270264180852933,0.0004730495371269085,0.2991043200888473,0.4629994087732702,0.0097849724775967,0.02905459863745403,1.9255815675261487,1.7272720327445277,0.4286721157505825,0.05532747774341177,0.02184576889886029,0.020745800961305443,0.130335021288204,0.035061897871307666,0.02079608520857538,0.022807558923547057,0.14854712577158152,0.04170239571436917,0.30575004619177965,0.036612838138865615,0.8778222872327529,0.05620450483631835,0.08769013106164285,0.12621936029302566
picsarlite,1.3929595976094394e-05,0.0020464125789934635,0.0020486161693255367,0.0009600246451745539,0.0012997900955787776,0.2500522727763552,0.3059467163164289,0.016088107748009967,0.0246399081720024,1.5320029513655082,1.3233255111933797,0.2749693908116644,0.03432235726813866,0.010698898986584715,0.01021659494738222,0.11632201791642922,0.030870490702952606,0.048900548111010064,0.012775999377702796,0.16622205329063713,0.045030605312396,0.07169205573088823,0.011556297653130487,0.9722664331446464,0.01294193111936878,0.019471718557345426,0.027968436309127133
picsar,1.4433217109008926e-05,0.002713917098716497,0.002711921496075246,0.0009879618652329713,0.0057512504058277285,0.2549522991042954,0.3025457295418564,0.003011107869331511,0.009015265254234343,1.4789577755789465,1.413619181568634,0.2922919564314223,0.015589783951694209,0.005442398729641966,0.005864119790996806,0.03851882741735706,0.010258911610610329,0.009739674927550077,0.006857967885048923,0.04789107839887029,0.013749994103729736,0.039240597007304784,0.005357662957555546,0.9838091003922136,0.006282465708231437,0.010446859821156413,0.017139056144272684
amg2013,8.248502304150171e-05,0.009045920116673298,0.009040730085650484,9.399780117917829e-05,0.0005832778192758554,0.3081315990149446,0.4502757399337433,0.026923420454482237,0.05928822893445209,1.9510597148110296,1.6357210082531082,0.4135206912719485,0.12408305188611328,0.04571348174996604,0.020933624836339048,0.13999658206904764,0.03657003284177253,0.045919362975388636,0.027511688797680584,0.18490362953446032,0.0497890889964717,0.3384321631928907,0.024669327842617144,0.8530621880348672,0.0582731129824209,0.10861550212529143,0.14659234936696208
Castro,9.652113065029703e-06,0.009933264362399587,0.009923253038481235,0.0018364695487834625,0.0003849441128789408,0.3642379646536688,0.44315287199515,0.03078313345225465,0.0549625218660208,2.3183019673205747,2.0955067808918715,0.4310114841437859,0.1621343661946745,0.04853993182699251,0.006689632126477094,0.04368796078584277,0.01171405019946218,0.015334540748204844,0.008044736330796174,0.060249514998676264,0.018423652657388198,0.07914587862624907,0.009210590220453993,0.9634073667751633,0.01226170778664714,0.021226622760028686,0.036475047750841885
Laghos,1.150049969780821e-05,0.010476612329957788,0.010491346876688418,0.0004525462581047546,0.0013785692642220007,0.2582876925640136,0.33795273531763265,0.05384604796095045,0.14510125994985792,1.9680375456231904,1.4007554549179229,0.3040235908199869,0.4350092495219817,0.1421218556659038,0.024268471134590158,0.12053695133369258,0.03335369374956928,0.009237907495423735,0.025356131078394482,0.12982800318171808,0.03647273777662019,0.19143140895081234,0.010900722758131871,0.8951709859148252,0.017432452044992962,0.05358595275628438,0.10969540685314168
pennant,8.392820355649597e-06,0.00627287895960509,0.006257622554241478,0.002139823038607666,0.00027341427590951874,0.24723515958219386,0.2994886917821711,0.03037493646523275,0.05322723627264879,1.6091733146206963,1.3698243711597755,0.2855757254756213,0.15331350209939554,0.04747187129467526,0.00667128110706611,0.04779640580147519,0.013033786939931121,0.016961073392160176,0.008378951757366995,0.0702066633438126,0.019986227408102467,0.11830775239409655,0.007632145788160296,0.9301646905811124,0.015671287713075355,0.02603042415747809,0.0691058189442437
snap,0.00011483275903129685,0.04237061618117985,0.04232632471351176,0.0048111177871221315,0.00245387875763642,0.2594669251796536,0.3580840799462651,0.07602327439957783,0.15890319141981407,2.1073494331078586,1.5804766864651287,0.3491078875523652,0.4738252581713836,0.15373781691017308,0.004770355912309791,0.032674909586565166,0.0091782295049757,0.015920389664794744,0.006585665734640872,0.04757112662512104,0.014181132492716337,0.24689335152364186,0.01954676783951995,0.8759135133267769,0.035145556981338755,0.06701125268561177,0.12571958524654073
