,ILD_STALL:LCP,INT_MISC:CLEAR_RESTEER_CYCLES,INT_MISC:RECOVERY_CYCLES,INT_MISC:RECOVERY_STALLS_COUNT,UOPS_ISSUED:ANY,UOPS_ISSUED:FLAGS_MERGE,UOPS_ISSUED:SLOW_LEA,UOPS_ISSUED:STALL_CYCLES,UOPS_ISSUED:VECTOR_WIDTH_MISMATCH
ExaMiniMD,0.0001967288008437569,0.002209494569833345,0.002930825996751284,0.0005168753126086417,2.603107048432737,5.716910446851421e-07,0.05302669986736981,0.33199459502428963,9.274903329521823e-14
LAMMPS,0.00025872949907069056,0.0027160115214751638,0.004255812487689587,0.0007156461842343293,2.5422084678466192,1.2332006646750124e-08,0.03621536219279255,0.3489629725558193,0.0
sw4lite,5.062577982513228e-07,0.0008821508451561563,0.0010124091081353747,0.0001723454198661559,2.3906664252275025,2.992021899280895e-06,0.004915288503244697,0.3481577357641933,6.886652049997584e-14
sw4,4.5488559105648546e-07,0.000994667622083766,0.0009919566392126275,0.00016848181471316718,2.3281378573938007,2.690185996417925e-06,0.005020986122456224,0.3444881409625524,3.039881132948449e-14
SWFFT,8.457157895122569e-06,0.0020765801643200447,0.0007586609008100288,0.00012856313967163046,1.5047347922208176,8.941289573571493e-06,0.013538499637657778,0.5961506160263658,5.1846477747427524e-14
HACC,2.9784749582484347e-06,0.005859318539852896,0.008100903137566099,0.0013915446348961224,2.0832923608332417,7.195578801247406e-05,0.016033196499349485,0.4619291345901592,1.3669135955870372e-09
MiniQMC,1.5399130730656334e-08,0.0050521941436200545,0.0015033337869760114,0.00024648449935470976,0.2409983564996217,3.6726043321174973e-06,0.0001276321881270558,0.9346878303009202,1.3957947960440597e-08
QMCPack,5.15209837619843e-07,0.002970949831078447,0.004399540552842326,0.0007519179096916035,0.4007158471527494,9.646781356311513e-06,0.0016980282713093,0.8929112975090867,2.7284356201121387e-10
miniVite,9.631583174301054e-07,0.0053574521134557825,0.008998256219141448,0.0015625529585569602,1.440309957374739,0.0004010774142116466,0.011348427213826695,0.6111304747924706,5.7093763603559765e-12
vite,1.0181002316943864e-08,0.001546989887365625,0.002105550177135443,0.00033155721942700566,2.420342902533555,1.5388264233141893e-05,0.002233537911886629,0.3732581485498889,2.29219734419748e-12
Nekbone,3.9128291829931094e-07,0.002469162131249329,0.0022148036126961737,0.00037120533607532387,1.2678692799810616,0.0005787995853996329,0.0031964303514363888,0.6820497996208684,0.0
Nek5000,8.557120606760568e-07,0.0034703920658614024,0.0024809750489338104,0.0004146044880906729,1.108647356531498,2.3741098313665025e-05,0.004655537977064814,0.7152914457695616,2.2887632287303648e-11
XSBench,4.227099026332639e-11,0.01227177741948738,0.012787827855260777,0.0020992587911481857,0.4245760767768521,0.002341157424904706,0.002710907069820707,0.8906738998182115,0.0
openmc,2.950287568312641e-07,0.0023869460815300627,0.0036679052488642963,0.0006217197914491307,1.9750754207871863,0.0014811087422715995,0.019650030082949105,0.4672982204975684,0.0
picsarlite,6.455293295310178e-06,0.002219073627208998,0.001965185234817291,0.0003294131857872665,1.5332135290467803,5.488334856026096e-07,0.012577538474192771,0.6152126368748562,3.2462336485538727e-12
picsar,9.44659750120856e-06,0.0022113220623834586,0.001981565589713547,0.0003317044058766004,1.4845696098034915,5.693623344643182e-07,0.016480548940501633,0.6246325348102143,7.099248333373479e-13
amg2013,3.7079515255963655e-08,0.003765705917514696,0.005588479838932596,0.000941166833101559,2.0162553396449505,4.854619371365844e-05,0.01107799744377035,0.43222329068853343,5.462872098286993e-12
Castro,1.3089526313937634e-07,0.0033106427998004398,0.003799198587716203,0.0006341228604139384,2.3236884032851757,0.00017793925839965224,0.009518495591549594,0.40887276603488143,1.1313705635741534e-12
Laghos,6.502161152374632e-07,0.003518313069822925,0.004487917854558038,0.0007591980923594531,1.9705305944071585,2.387130534532421e-05,0.014238621109293763,0.4728869691049284,7.874032418115545e-10
pennant,4.030464485206157e-08,0.003861055933120049,0.002438375907675414,0.0004027180081787963,1.6875359970208912,0.0005549538851065419,0.00429860424528224,0.5570516732761608,0.0
snap,1.4787373569496862e-05,0.002935386683446463,0.002953932634169064,0.0005193923722060189,2.410949844682386,0.0003769807618616974,0.02613778806142648,0.3550623230805841,2.7652492406176962e-11
hpcc_dgemm,7.733421344871302e-10,0.001288977947677035,0.002011194519847459,0.00032556290448987563,2.7838880621534403,0.00024010898969867783,0.002949823124326736,0.3021464551882823,2.1267037548366189e-13
hpcc_random,0.001357903574988677,0.006464374755636898,0.0070179478442027226,0.0011955373927074794,1.2180022792192895,0.0023564628966518024,0.008332277958734901,0.6660745559664933,0.0
hpcc_streams,6.887402914666095e-08,0.0054433532164130435,0.0015714769676993606,0.00025571253064155203,0.40459636784163655,3.747120416814884e-08,0.002371433317335107,0.8919806486123736,0.0
hpcg,6.348825489037579e-07,0.001292755425900171,0.0017580819156351945,0.000281693408089313,0.9436242800493988,1.0985648246359565e-05,0.003634856029943621,0.7582523756868784,9.168685357018378e-14
