,BR_INST_RETIRED:ALL_BRANCHES,FP_ARITH:128B_PACKED_DOUBLE,FP_ARITH:128B_PACKED_SINGLE,FP_ARITH:256B_PACKED_DOUBLE,FP_ARITH:256B_PACKED_SINGLE,FP_ARITH:512B_PACKED_DOUBLE,FP_ARITH:512B_PACKED_SINGLE,FP_ARITH:SCALAR_DOUBLE,FP_ARITH:SCALAR_SINGLE,INST_RETIRED:ALL,INST_RETIRED:ANY_P,MEM_LOAD_MISC_RETIRED:UC,MEM_UOPS_RETIRED:ALL_LOADS,MEM_UOPS_RETIRED:ALL_STORES,MEM_UOPS_RETIRED:LOCK_LOADS,MEM_UOPS_RETIRED:SPLIT_LOADS,MEM_UOPS_RETIRED:SPLIT_STORES,MOVE_ELIMINATION:INT_ELIMINATED,MOVE_ELIMINATION:INT_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,SW_PREFETCH:NTA,SW_PREFETCH:T0,UOPS_RETIRED:ALL
ExaMiniMD,0.10251351032065076,0.0006911550788956143,0.0,0.0,0.0,0.08509072658446844,0.0,0.3753271059403485,1.3545985240521969e-12,2.349162608558934,2.3521428469588863,1.7960447024538438e-10,0.8358129615072052,0.25334346767732113,0.00942445996787492,0.010314076537186346,1.3490440357635586e-05,0.07926987572979075,0.00016676807356145307,0.03668037544285563,0.0001872589685036015,0.0,0.0,3.0961807333836555
LAMMPS,0.16022848158747216,0.0024192732639044512,0.0,0.0009964335508784738,0.0,0.18725045305856275,0.0,0.5639787408206584,6.297546352840846e-13,2.460937062256197,2.4634716126882874,7.879757602116188e-11,0.9259793070205712,0.2788686414396954,0.000156403725939303,0.04166365847831203,8.81345472427737e-05,0.05103654263896725,0.00019507682794645846,0.0513603053228853,0.00011487507605444731,1.213044688299929e-13,8.591946816087523e-10,3.1867655679181253
sw4lite,0.06901266798057734,1.6230627465333966e-07,0.0,0.0,0.0,8.65758460759767e-07,0.0,1.0283938749671204,2.313450369908273e-12,2.3267624583049624,2.3272240259592176,9.066215467703758e-09,0.9191330902706316,0.2595323430988527,0.0005311627977784882,0.00015517581893705835,6.017306238845946e-05,0.025584067737516963,0.0011815186867225175,0.10197131184247836,0.001963126187315262,0.0,5.634030815665382e-11,2.8734961292590087
sw4,0.06452255592116175,1.5536436876674608e-07,0.0,0.0,0.0,8.287285602743637e-07,0.0,0.9398235704180772,1.5519155906336106e-12,2.2765256260228286,2.2787262126726864,7.764813217382367e-09,0.8998292813723975,0.30970740303379457,0.00048297989883503583,0.00013459756629618635,5.260056632034494e-05,0.02392035304084733,0.0010396676639353034,0.08268654821117649,2.9123698885159803e-05,0.0,3.853660301597656e-11,2.807852766667272
SWFFT,0.22339193411780325,0.03575519371362952,1.0169885409872228e-10,6.715823643599621e-10,0.0,0.0,0.0,0.0018277834031829702,3.9012917634520044e-11,1.0973771649619877,1.0985768639055955,1.1286098440785834e-07,0.3478664847703297,0.13413894419587374,0.004467946689225689,2.0867394338827138e-05,3.037380647616444e-08,0.0725923016254859,0.004521565266230864,0.01682868727863514,0.0014320511702119185,3.471404826268233e-10,0.00015548559795718644,1.676434898278434
HACC,0.2493241556826209,0.009337805837607186,1.718454663606285e-09,7.039880438042958e-11,5.862349436247421e-13,6.705470771398248e-05,0.4181666699034409,0.009969923891512134,0.009173626976284476,1.7971739553793489,1.7975714254899355,3.952499132031327e-08,0.5387374290849873,0.19656471583557336,0.0036499377691665037,0.0006416230933193395,0.000803827358066549,0.10719233259722813,0.013529815105420891,0.011234343426450223,0.00922163204897038,1.2860893944712569e-06,4.24214761274923e-05,2.2905935202321355
MiniQMC,0.01228251680242776,0.00014397315761296796,2.3645425388456173e-09,0.04161794369680977,0.0,0.05809388769441424,0.0,0.005456027029579138,0.0,0.2084768567640756,0.20751787675577787,1.1849868606462032e-07,0.06908969939443524,0.027166240892242188,3.784674628935107e-06,0.024307065263323782,0.010369947510723976,0.008660729552883122,0.0003234546073027222,0.000807626101157305,1.4394262558619489e-05,5.641812151797218e-06,0.0009930034919860835,0.2610251676412364
QMCPack,0.036525733700420566,0.0008299467124521338,4.693213579549818e-11,0.0003008267962210414,7.823454384436368e-09,0.12486286429437553,0.019200925722809285,0.005807127632191966,9.541808629076586e-05,0.3210709918539581,0.32099684309444265,3.475289083230804e-09,0.1221375428561525,0.04417345855094832,0.00027998839755966,0.005712556322234086,0.00024315450809572607,0.01056224458604657,0.0004815175146451621,0.0006810531665715557,6.413325315479773e-05,1.4865593881399307e-07,0.0004282199874046944,0.4319935903964766
miniVite,0.2150777066631652,2.001456527074124e-06,3.942348980926717e-11,3.641339245880208e-06,0.0,0.0,0.0,0.00024653137580761493,6.417896261659572e-11,1.0034161347683637,1.0024172104443627,1.3806025079015529e-08,0.3570754366639021,0.15414790551174776,0.0050826609594868755,2.9714545364907435e-06,3.3481440794999155e-05,0.1087857570417386,0.005811868337265354,4.372629520156443e-05,1.034735890209527e-06,2.5822496913561456e-09,2.6526351987312075e-12,1.4287819311191492
vite,0.2756305983381895,1.050188900988519e-06,5.097990445524919e-14,1.7015874584286213e-06,0.0,0.0,0.0,0.6747897888943832,8.146704328431343e-12,2.1867537797985133,2.1861265770469136,4.773888811073952e-13,1.0235263262795573,0.14830386356711106,0.0012312173021124747,1.9765306334950875e-06,8.353107558950188e-06,0.023642852842685524,0.0013400830502142867,8.004495181305279e-06,9.164173784417656e-08,0.0,2.3377897034303848e-12,2.5549681661141888
