,BR_INST_RETIRED:ALL_BRANCHES,FP_ARITH:128B_PACKED_DOUBLE,FP_ARITH:128B_PACKED_SINGLE,FP_ARITH:256B_PACKED_DOUBLE,FP_ARITH:256B_PACKED_SINGLE,FP_ARITH:512B_PACKED_DOUBLE,FP_ARITH:512B_PACKED_SINGLE,FP_ARITH:SCALAR_DOUBLE,FP_ARITH:SCALAR_SINGLE,INST_RETIRED:ALL,INST_RETIRED:ANY_P,MEM_LOAD_MISC_RETIRED:UC,MEM_UOPS_RETIRED:ALL_LOADS,MEM_UOPS_RETIRED:ALL_STORES,MEM_UOPS_RETIRED:LOCK_LOADS,MEM_UOPS_RETIRED:SPLIT_LOADS,MEM_UOPS_RETIRED:SPLIT_STORES,MOVE_ELIMINATION:INT_ELIMINATED,MOVE_ELIMINATION:INT_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,SW_PREFETCH:NTA,SW_PREFETCH:T0,UOPS_RETIRED:ALL
Nekbone,0.09801928449483127,0.3698603174613616,0.0,0.0,0.0,0.0,0.0,0.0014384956821328616,2.1523153748587072e-11,1.2083732616265224,1.20882176005319,3.778575651031024e-09,0.4200558026098788,0.1332536831603519,0.0013679496261456193,2.734935201382663e-05,2.729442335119436e-05,0.03541707555535492,0.0023621182112772768,0.07887154981031888,5.690771807446452e-06,1.1265146593339843e-06,0.0006343853525171767,1.5037510260553524
Nek5000,0.11180412445435924,0.2467367588135561,1.5701270357413275e-09,1.1121912524578996e-08,0.0,0.0,0.0,0.005701464641048096,5.6853746448797874e-06,1.0716739684522825,1.0722441047131472,3.6136248287413917e-09,0.3833014907586744,0.14608984079539314,0.001661141338532849,0.00040788146057868193,7.109674627000872e-07,0.0397968332278253,0.002167788224805328,0.03957318268676587,0.0009835385405676568,1.705656080323076e-07,2.581600131848884e-08,1.3559493534671379
XSBench,0.04292892061609721,0.016190271924479575,0.0,0.0,0.0,0.0,0.0,0.01563367085543812,4.097669564097414e-13,0.3032077143586859,0.3032446209962817,2.9406831861981576e-10,0.08774371025804563,0.034787738410442914,0.0005080323803087055,0.0015995689631901893,2.5299149646126233e-08,0.03780399056657878,0.0010113492556487829,0.012014255390602493,0.00032666348753626026,1.7026653503177472e-06,3.1341413026447084e-06,0.37580674690417537
openmc,0.37593600602578015,0.0,0.0,0.0,0.0,0.0,0.0,0.018784786527159838,1.189787956938586e-12,1.7738389002398964,1.7694167638952991,1.0239761040946436e-10,0.6547964890644632,0.2725424997799604,0.005951963281233046,1.6339330552174074e-06,9.301908680074419e-07,0.13601268755913548,0.0040297814490675545,0.0015981278128255158,3.333577413297709e-06,2.7723273594454132e-08,2.8623702792398532e-11,2.3397694770581983
picsarlite,0.12324087874069847,0.08334053544095413,0.0,0.0,0.0,0.0,0.0,0.13747240563965776,3.2383627742573287e-12,1.2898290108527828,1.2925055182032252,5.8230674262638425e-09,0.4117250247714436,0.1392277249171508,0.0012464357993926148,4.435432258702812e-05,1.7438248414962162e-05,0.04445261240082978,0.003066526574148044,0.05533254573061699,0.0003036869687391897,2.878711490519115e-11,3.0972215091036115e-05,1.7781740551822238
picsar,0.1332184953136008,0.08023492403030577,0.0,0.0,0.0,0.0,0.0,0.17543056718797229,4.77916056235904e-12,1.3620430778992414,1.3720406475102946,6.350625533359647e-09,0.4381464443745937,0.15270913631023025,0.001289055165938663,4.880001777721023e-05,1.8534606150713992e-05,0.04346925882527757,0.003077934064166523,0.06375959666766466,0.00029202665864872787,5.2402262551843595e-11,2.9738328126035527e-05,1.7728030919376696
amg2013,0.4158150131717059,0.004166171526306553,0.0,0.0,0.0,0.0,0.0,0.013727310650970395,4.637067582369216e-11,1.7867397790480088,1.7924698828730563,9.187327884728482e-11,0.5419158379516589,0.20166935761626265,0.005210297556415193,6.6433596383226375e-06,5.671428232224578e-09,0.13095438251774358,0.03722758577973643,0.0012930151828416461,5.227951965069713e-05,6.084384713903603e-09,1.391518154042075e-07,2.2364197074498327
Castro,0.18909183518251574,0.05815159820200541,0.0,0.0,0.0,0.0,0.0,0.31753237028749143,4.6687568369534406e-12,2.2214513241326705,2.220547454876237,2.21314931911483e-09,0.6104120353421554,0.2558701682497732,0.0013262144679095712,0.0012736285186143825,5.223621530486812e-07,0.08509009841468293,0.007039529277738227,0.11463143405542478,0.015023596431650632,8.775991627047835e-13,1.204649227622036e-12,2.704415781183691
Laghos,0.15676881592390765,0.006130584801445058,1.8460302925884255e-07,4.1003359919929463e-07,0.0,0.0,0.0,0.3992936498476696,4.237076821209304e-05,1.799097149153391,1.8005878186275948,9.390630671645613e-11,0.5444109562715072,0.18783995847154625,0.0020124908680676074,2.787933146990055e-05,1.1796462564119471e-05,0.06586166439790256,0.002459222251175085,0.0433373285078041,0.0016366537665587102,1.0635523250750099e-07,6.944879027816385e-06,2.2041325907063274
pennant,0.11355256387578215,0.04656698848012879,0.0,0.008322834726072214,0.0,0.13746182894754336,0.0,0.17309311932878696,1.5233239676940984e-12,1.4182571701941271,1.428257673625351,5.759770063178833e-13,0.4918031409406908,0.12062460686745335,0.0011382049695611515,3.971272592973183e-05,0.0016711676985665578,0.04132049617995466,0.00135878246827887,0.0048456364409884545,1.8712088859139629e-06,2.3782242076691966e-08,3.2344242529211074e-12,1.8305187726370489
snap,0.26651534801464216,0.008872294783105014,0.0,0.5767112681298924,0.0,0.0,0.0,0.025065687653036,7.499724007817011e-12,2.0890182907354298,2.090455756456865,1.3234435228790292e-07,0.7894140861143969,0.2649373412090321,0.003272011830890145,0.0029763059651320644,0.0023622076752237773,0.07551456763463553,0.007518839888240484,0.023809253168339543,0.00019032242527495524,6.99195758110963e-13,3.466805746519367e-10,2.6896366570104444
hpcc_dgemm,0.07681055389391159,2.3718837173537588e-05,0.0,3.310679581094123e-06,0.0,3.042096960669584,0.0,0.0002462489304098002,8.483241784857946e-13,2.6841242462426838,2.6843416019236934,4.057475343879589e-09,0.8892763023519125,0.04748339894444438,0.001824395050070648,0.004194583863418387,0.0036441954386637852,0.027699388996001117,0.001525688365722359,4.65736662104517e-08,3.925353431327989e-09,0.0,0.06438448162591717,2.80577595029323
hpcc_random,0.21403004726628005,0.0,0.0,0.0,0.0,0.0,0.0,1.1102404388424198e-10,3.5582064235063085e-11,1.0274139759668144,1.02849390184226,4.221970535304178e-11,0.3311796211129478,0.16199612823506945,0.0025559775394997557,0.00012036449112338948,7.066928161207297e-05,0.08914053402430512,0.0186027986474318,6.294995183258535e-05,3.7850117961778866e-07,1.5195635353805676e-11,1.2343761613098988e-10,1.3574867523619425
hpcc_streams,0.05829636979661651,0.032350582698362364,0.0,0.0,0.0,0.0,0.0,4.9512781759252285e-09,2.7237820325686536e-12,0.3604712273204346,0.3606140406304536,0.0,0.13399617240320402,0.06553244333194316,0.0012660243921199118,3.1328258482297225e-10,2.3997271892275847e-10,0.025204843674967847,0.001389971489527918,8.495001075410941e-09,8.908659069640304e-10,0.0,0.0020247608345804447,0.5007347983809433
hpcg,0.1186602084442984,0.1053058339839572,0.0,0.0,0.0,0.0,0.0,0.042386161023256166,1.6100615304891047e-12,0.9140693226984449,0.9151226650091988,1.6655701849997456e-09,0.4185077069082221,0.049901776020680036,0.0010560030940018664,1.4378390768496388e-07,1.387045571892121e-09,0.04525462183501111,0.0011576569667738539,0.015768252142503034,8.091742283180916e-06,1.6688066702872302e-09,4.843234843320916e-06,1.1396074175846151
