,FRONTEND_RETIRED:DSB_MISS,FRONTEND_RETIRED:IDQ_1_BUBBLE:fe_thres=2,FRONTEND_RETIRED:IDQ_2_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_3_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_4_BUBBLES:fe_thres=2,FRONTEND_RETIRED:ITLB_MISS,FRONTEND_RETIRED:L1I_MISS,FRONTEND_RETIRED:L2_MISS,FRONTEND_RETIRED:STLB_MISS,MEM_UOPS_RETIRED:STLB_MISS_LOADS,MEM_UOPS_RETIRED:STLB_MISS_STORES,UOPS_RETIRED:ALL,UOPS_RETIRED:RETIRE_SLOTS,UOPS_RETIRED:STALL_CYCLES,UOPS_RETIRED:STALL_OCCURRENCES,UOPS_RETIRED:TOTAL_CYCLES
ExaMiniMD,0.00031158274541501164,0.012079187056699327,0.004231389614413196,0.0017686804272151484,0.0012343360386519074,8.691564948168886e-08,1.1256161425574922e-05,1.8529163315095127e-08,2.340167096644048e-09,1.4900844413012967e-06,3.8156874993017686e-07,3.0918329839104737,2.561692003177254,0.23522048360459094,0.06833462868503229,0.9994246343349804
LAMMPS,0.000577916648893885,0.007129345555466108,0.004680695091790675,0.002681806153346009,0.0018685664885405766,1.5416004927675472e-07,8.83693221328727e-06,7.33883157300115e-08,6.860889029272461e-09,2.2210060821197927e-06,7.170122574404378e-07,3.201052283227189,2.5028464820668668,0.25950557717153155,0.07344556867848137,0.9961253951700076
sw4lite,0.0013107528408456235,0.04958253078654005,0.02147478833100151,0.003035323864065157,0.0029592037757824267,3.756959419932249e-07,2.827675045943905e-05,7.299861456177981e-06,1.0959944525336158e-07,6.119461082041462e-05,3.421023259621953e-05,2.8749625666155665,2.3868361247030605,0.3384378577512919,0.08162027033203098,1.0015108752344832
sw4,0.000537309225544106,0.05918656163523585,0.032819577785845225,0.003164234141255905,0.0019305637539065782,3.2316441474163644e-07,3.616540777635863e-05,7.131539102517816e-06,8.130662904799617e-08,5.918981418003508e-05,3.021638624102459e-05,2.800798173437289,2.3215787719463785,0.3538193954840819,0.08497334585818943,1.0009124295956422
SWFFT,0.00021638441443433483,0.022546337929727527,0.01918107386158866,0.018246918110442812,0.01818694037103107,7.69070585194535e-07,9.429204174294028e-06,1.539599092297621e-06,6.026015662774931e-08,0.0006333755107517054,0.0006554325885909577,1.6835188706057909,1.4918230873874403,0.5260171732945395,0.039429956228488064,0.9983557607332224
HACC,0.0015369202008044304,0.009353140871656188,0.006027647601194413,0.0015567825751471372,0.0010471321560837556,6.540852265158641e-07,1.4510497156996533e-05,1.0898729657344405e-06,9.441754668669837e-08,0.0001938352588547308,0.00020095397794707613,2.2883964806620707,1.9862329708449098,0.4068233058059362,0.07363670095649684,0.9997327593059004
MiniQMC,0.00016221214157394165,0.002248241398498166,0.001009896677312975,0.00035019517878728313,0.000170367096096303,2.6968757672789545e-06,2.0542727171380718e-05,1.6209422778617708e-05,2.122139013378907e-06,0.00027684903266068066,7.297406605172683e-05,0.2710538418189824,0.24020615745302265,0.953456899776212,0.02601678796934906,1.0519523702373754
QMCPack,0.0002850356425363595,0.002811083346195104,0.0019930530249433935,0.001289826150540224,0.001123737674271894,3.6239685549098417e-06,5.184247081910976e-05,3.0843413944604264e-05,3.293178204345006e-06,0.0005380777773049262,9.449189555416087e-05,0.4107900026637788,0.3519101564585669,0.8873844077885386,0.021123549422123748,0.9996161847013448
miniVite,0.0011941630745285136,0.008557772163256745,0.006682405513901221,0.0030703709802751174,0.0020998074887034787,8.869236590792685e-07,7.756244138431071e-06,2.9459772400641084e-06,1.0978823163756073e-07,0.001297692881833135,6.453846972631517e-05,1.3524239717829416,1.1359019742214425,0.6372212693350978,0.02653864087882736,1.0018348809951312
vite,0.0002994634071996328,0.018634043114552985,0.000685449392860939,0.00038713499489378083,0.0002979620361925035,2.754774332088747e-07,1.5984791180172419e-06,9.496193154603004e-07,1.1779496392619192e-07,6.050180959556448e-05,2.733169291935286e-07,2.5621128037151832,2.4004640852343653,0.20000621546919686,0.015449518330535738,1.0001378473279925
Nekbone,0.0003133392243404062,0.0017501833364588141,0.0012953101378802099,0.0004690471125904842,0.00033509702314540873,4.274021372043901e-07,3.3528610764026582e-06,2.1702935749728262e-06,1.835752423562709e-07,0.0001288056234083531,7.678185691385691e-05,1.4966243940485031,1.2400756917016689,0.6441019023706934,0.031264764367563994,1.0013741001619263
Nek5000,0.0004041191428359015,0.0020258851574320143,0.0015184758277530176,0.000491966780876097,0.00034747181499026437,7.624826735371756e-07,5.867755194588791e-06,3.288182801559239e-06,5.389678373198488e-07,3.216852399024584e-05,1.9856063234378804e-05,1.3514249272675731,1.1128004814037702,0.6700500572805981,0.030133157251050795,0.9973807545991709
XSBench,0.0002325928047067353,0.0033946213597458217,0.0009611495128048069,0.0004861733633771696,0.00034024733029809227,2.688649645952681e-08,7.214964932866023e-07,4.48696625513576e-07,8.824254853069507e-10,0.002528858851610101,4.911002532395518e-07,0.3718347535862406,0.3186531806489417,0.891730628902196,0.027382476794947125,0.9976753711026284
openmc,0.0025818510353704327,0.028999356511171012,0.01712085504602659,0.011453785242286187,0.00727900956555362,1.1629512534207526e-05,7.57374085238823e-05,6.411661352491553e-06,7.848377213704777e-07,0.0002771002954910729,3.5287375524750235e-05,2.331122822574211,1.9160052102802636,0.4338802500208912,0.032861341849524404,1.0013506796728728
picsarlite,0.0002938427829300317,0.004600771239215434,0.003126465568218937,0.0015199742698588773,0.0013734876237265776,3.467829371253964e-07,5.684430739155187e-06,4.2397648628995535e-06,2.0233631813172213e-07,0.000716830965519366,6.0708690398827675e-05,1.7727087917193618,1.5049779475495997,0.5739126792072455,0.03729144946910744,1.0015216477139652
picsar,0.0002842043248929149,0.0016843174118662556,0.001197318661280434,0.000347920976871131,0.0002398193143937564,3.910772185675736e-07,5.810359801460794e-06,4.341346946809755e-06,2.21761739565806e-07,0.0007094115698268422,6.370555984501118e-05,1.754590581270945,1.4609797911326667,0.5912736278471844,0.03259955147358945,0.9995179895876384
amg2013,0.0025957398148601,0.018172356473464702,0.010115668997566024,0.003756438974113877,0.002232119174921351,4.317533299332328e-07,3.3230802242869077e-06,3.28050855603416e-07,3.746634106509995e-08,4.970765117189261e-05,9.244021647447078e-06,2.270450349845752,1.9712623810885224,0.37597119280256863,0.04605809031742099,0.999980301041176
Castro,0.0005791823557965012,0.005527065225727153,0.002862213441732769,0.0009048654194439572,0.00044514733855600724,6.727678550383701e-07,1.1048205527182684e-05,8.510751971107922e-06,4.2891720929425813e-07,3.342298497481687e-05,8.376039362137541e-05,2.7040195405541416,2.2742468524527797,0.37452872786432495,0.047652818813244624,0.9996700580288724
Laghos,0.0007212426430623218,0.029691750584550262,0.008393938014864459,0.00074050395383135,0.0004615237428930241,5.443161636008783e-07,1.6490480320716245e-05,7.771985383915183e-06,3.7136445362681006e-07,0.00013073070788558066,3.650556265179695e-05,2.1919397522736164,1.91968717098305,0.4620226812950676,0.0419239818111027,1.003215725451695
pennant,0.0014081014556655467,0.008769817383219814,0.003440571737932752,0.0018280901557112962,0.0008747093474177471,4.2801178995639343e-07,0.00015577183919265685,2.8552603125516283e-05,2.437761609620616e-07,6.273878137361794e-05,0.00014332122209427352,1.810278489774206,1.6507941123980363,0.4594384425821526,0.06491097043809223,0.9962569119586492
snap,0.004587728889322812,0.024589652428710158,0.014187806365251406,0.004244497887727958,0.00259877354433606,8.86718440181539e-06,0.00022364033679492262,0.00011878503279215061,2.740712828981536e-06,8.238687904986154e-05,3.498158158647786e-05,2.6847096970702813,2.3851104723180483,0.3431737071256039,0.054650092992183,0.9997593632559391
hpcc_dgemm,0.0005949275062103822,0.0021286931912854355,0.0008424741870491517,0.0003214854913547084,0.00024262898537968312,8.078443003523852e-07,1.8750607937880486e-05,9.585607119903864e-06,5.334189308330354e-07,0.00018594374646970944,1.6462090961514401e-06,2.8111622480035208,2.741993376898787,0.18853811814307525,0.05014553106186668,0.9970088242488692
hpcc_random,0.007814553704175367,0.02683247515360409,0.01826142494536596,0.008274774200240411,0.006087537550797501,1.056644853194662e-06,0.0005077591345440045,9.839018160983985e-06,8.544771765458101e-07,0.0017600086133899517,0.0002563417389936229,1.3485239006125036,1.1397807877410149,0.6617700230895406,0.04375337546853047,1.014490334476075
hpcc_streams,0.00027083298588123807,0.001266663470700993,0.0005759255104739102,0.00026606681616897184,0.00020165567292126872,8.847932434401798e-08,6.935814633367114e-07,1.2338135118159075e-07,4.20781881562847e-08,1.9036841628322653e-05,0.00012184319705187481,0.5100424839159443,0.4207342459763509,0.8721659377180531,0.013567767853829493,1.0051912850321745
hpcg,0.0003269164274900913,0.0030103623387747643,0.002452054423690138,0.0020982856672844847,0.001984054926834685,2.3705938404262968e-07,2.208642798929956e-06,1.1388348983789058e-06,1.349552187516116e-07,0.0001593760765255426,3.7309510801715982e-06,1.0948253988030687,0.9192319173160972,0.7214530082355238,0.04880219131690816,0.9997792181340271
