,IDI_MISC:WB_DOWNGRADE,IDI_MISC:WB_UPGRADE,LONGEST_LAT_CACHE:MISS,LONGEST_LAT_CACHE:REFERENCE,MEM_LOAD_RETIRED:L3_HIT,MEM_LOAD_RETIRED:L3_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_NONE,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_FWD,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,MEM_LOAD_UOPS_LLC_HIT_RETIRED:XSNP_HITM
Nekbone,0.016651264178937943,0.0003225592947558597,0.017937293062702375,0.02757876492487437,0.0015662135382305414,0.0009861775737892966,3.0548947997731194e-10,1.6912622542383867e-11,0.0015721921639335282,0.000990529201808014,7.449162324004266e-09,2.0316037331459608e-09,1.591683722939891e-08,5.113907502963886e-07
Nek5000,0.016408657453628482,0.0003933044325150044,0.017776981442334267,0.027847490202070568,0.0021458659665198835,0.0011866820606702894,1.0421385947291193e-08,8.935568740969492e-10,0.0021434915173347644,0.001183206080543862,9.717127414817796e-08,1.2447133178744221e-08,2.1611494401471781e-07,6.431060191172602e-07
XSBench,0.006993130041099161,0.001352597874854312,0.008053836973573567,0.00951123960237516,0.00026825260426438584,0.004052023763355685,1.3777012030763444e-12,1.1756761049971282e-14,0.000267937483388679,0.004039114374120504,2.005895311367413e-10,2.2866499519669087e-10,5.166791620439363e-10,3.2425585696158115e-09
openmc,0.0047367549870267174,0.00014129214196782452,0.005311097877693589,0.0077390775283950235,4.453845467687527e-05,0.00070114863795799,9.950174803446682e-07,2.3715313593582115e-09,4.4626072063186794e-05,0.000701404308478716,1.9051154308740733e-09,1.99246287840537e-08,7.92693687927076e-08,2.7350512372851777e-06
picsarlite,0.007669835082423805,0.0017041018956796,0.011591763398706512,0.015181660448302756,0.0016546501477111592,0.005396899338072989,6.858435870885503e-09,7.4193926985731345e-09,0.001657936717351293,0.00538230976988306,8.597962839807577e-08,2.7265383207860214e-08,1.8239852892423106e-08,5.953221177020154e-08
picsar,0.007823917547249,0.0018587297320883727,0.01173122902440286,0.015474348759326203,0.0017923258263694926,0.0054456822319098345,8.059550996176998e-09,8.406968109261745e-09,0.001792324995978003,0.005426956575840969,1.7198316391499802e-07,3.56052091092441e-08,1.9390977487869068e-08,6.688444515955831e-08
amg2013,0.002932419150131457,0.0001427810444228587,0.003153128688108703,0.004750384950511309,0.00020261453856680958,0.00021742298113233008,3.927897833010735e-09,6.930895370570349e-11,0.00020292179154576904,0.00021745557008250691,2.2802922074416643e-09,6.401814072150125e-09,1.626413347925433e-08,5.531593930380591e-08
Castro,0.011143111227253538,0.003331604223824567,0.0142747282413669,0.024119932793108517,0.0005414976398451434,0.00038362348003828336,6.08686952561241e-12,3.879058433202296e-13,0.0005424491278347915,0.0003839298470168998,6.3637143712331315e-09,3.328041759369453e-09,5.083482088175548e-09,5.68114377556324e-07
Laghos,0.010431223965913368,0.0005150544010725743,0.011651341292374036,0.01574566319778135,0.0005818611425749728,0.001322714722585962,3.3457003000874795e-09,1.3807596211006578e-10,0.0005826792597695951,0.001324737183726351,1.3779191738055267e-07,1.2116121471592153e-08,1.1948151051359716e-07,4.3628052987612143e-07
pennant,0.01595473591599886,0.0011533735384999385,0.021044801150569812,0.031387053670635316,0.0008717454338148163,0.000519827357940406,9.081288367730344e-10,3.8867540204648596e-12,0.0008697253755552992,0.0005172004278464902,4.0368367962310675e-09,1.8853903738775612e-08,9.271952432242473e-09,4.0166008117927033e-07
snap,0.009215294025243456,0.002510022337973889,0.011675275087369135,0.019346418151698463,0.0010952789464787165,0.0006024689398950481,1.1548851428448375e-06,1.746571852260846e-09,0.001095881867880725,0.0006001798011889499,3.227526631973781e-07,3.029698899030894e-07,1.1175523859509957e-06,4.5046324727561456e-06
hpcc_dgemm,0.009859189148325915,0.008995052234272799,0.013927465380741657,0.030477075532390607,0.0002583274925381835,0.0001244382620698375,5.031405407436066e-12,8.606687245101398e-13,0.00025829637643390877,0.00012456447463709874,1.3864594753646626e-09,4.92242189998455e-10,1.5941525686369695e-09,3.341175543500057e-09
hpcc_random,0.002997595576209818,0.0006014421167616196,0.004137852000987862,0.005175683108856586,0.00015506877390597328,0.0019513742601874485,1.220516558262998e-05,7.731717655304857e-08,0.00015530001410497704,0.0018340209724568989,1.4515219188045875e-05,5.5442344325832616e-06,9.043643177832466e-05,6.65954820655417e-05
hpcc_streams,0.016716450207020915,0.00018002104937355718,0.01784618069418844,0.028501673890713026,0.0046990303350242105,0.0016323359972282214,1.7937023948006653e-09,4.325234682408849e-11,0.004694185734536917,0.0016278082480771453,1.1682843790465516e-09,1.5643971723656624e-09,5.509856983958211e-09,1.58978191533235e-08
hpcg,0.02356739445698501,0.0003516148171940741,0.025177650133758143,0.039066138078084164,0.0015802241373984046,0.0007800244744065536,4.00249574894201e-09,2.2421589861904503e-11,0.0015832388753776482,0.0007784506170874996,3.390095177179554e-08,5.530664516881779e-09,1.2592537957919314e-07,2.0701623756065398e-07
