,IDI_MISC:WB_DOWNGRADE,IDI_MISC:WB_UPGRADE,LONGEST_LAT_CACHE:MISS,LONGEST_LAT_CACHE:REFERENCE,MEM_LOAD_RETIRED:L3_HIT,MEM_LOAD_RETIRED:L3_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_NONE,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_FWD,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,MEM_LOAD_UOPS_LLC_HIT_RETIRED:XSNP_HITM
ExaMiniMD,5.094320964810394e-05,3.7481948213231767e-06,5.6886432049810144e-05,8.829957271471585e-05,1.283758349616303e-06,2.1397890589036738e-06,1.8274212788482403e-12,1.3427324644652972e-12,1.2811233653475618e-06,2.1331172589551187e-06,4.768190041727711e-11,6.726633173306939e-11,1.1209542179139937e-10,2.8191300328660083e-10
LAMMPS,0.00011710893249389009,1.088528577192686e-05,0.00013983097542979742,0.00020696485905930613,4.614914016908056e-06,5.503375901010225e-06,9.009909713086683e-12,1.5662360324230205e-13,4.611347711298003e-06,5.511108124365293e-06,2.8990446298729414e-10,4.468652257646608e-10,4.282174486433476e-10,1.7475038323936813e-09
sw4lite,0.006658586047213316,0.0001564976572305152,0.007107913283298148,0.010562944737775224,0.0002459098603167954,0.0001912720840566982,7.790055880746339e-11,1.051182206784956e-09,0.00024620324279959343,0.00019208069079650538,1.236245920338824e-08,2.164148747220682e-09,1.007515362879555e-08,4.200741736699526e-07
sw4,0.005906601322646293,0.00013335013598552654,0.006284865904289475,0.009334277161527366,0.0002286181511554897,0.0001763539992741799,5.877551710464864e-11,7.101729900106762e-10,0.00022885000468275972,0.00017662256007818202,1.0652383450315828e-08,2.2045002189391666e-09,8.693399915576245e-09,4.0056268645895907e-07
SWFFT,0.004782954470830053,0.001320587611995809,0.005574404789533806,0.00842684484216311,0.0003344061981413213,0.0010698204476403221,1.1319518997129667e-09,7.222660542742232e-11,0.00033618787708369837,0.0010558535955450254,1.3022216717120073e-05,5.375952488139672e-09,1.559299357342985e-07,9.79336246025791e-08
HACC,0.003526897938079628,0.00036400368646134876,0.003965536711894922,0.005489385090210268,0.00024699813439956565,0.0004206802408937395,1.4212158522326538e-09,4.5556694344320244e-11,0.0002474508605994347,0.00042126504975543836,8.234550721827753e-08,7.737697519408194e-09,6.480728869204429e-08,1.0355265180776637e-07
MiniQMC,0.02192575656755297,0.0013514709601626588,0.022106858403194853,0.031650701563518256,0.0010647936061595812,0.00047476623685570703,1.5120685533511717e-10,1.3457794272711379e-10,0.0010695532815072496,0.0004770037689463406,6.528647684016363e-10,4.008193658220179e-09,3.801182372410375e-12,4.791652036235169e-08
QMCPack,0.04022269928898925,0.002489376629661592,0.039913312337047056,0.06006635867865449,0.012598986687722193,0.009138867687522784,3.285397199566797e-08,4.634609899857182e-10,0.012642008511200436,0.009180309988075902,6.069250241236083e-07,6.147740729001679e-10,1.173666633784847e-11,3.272425431630876e-07
miniVite,0.0019271598302468425,0.0006226837010447883,0.002528424019210337,0.003256428185510137,0.00026476237141589547,0.0014370866374083444,1.318958277775364e-10,1.7709909240080803e-11,0.0002649349380980168,0.0014402549642296939,3.0792646696201184e-08,5.711944865799475e-09,2.466058682055249e-08,3.8748666463311575e-08
vite,0.022677873799534985,0.003509787755462372,0.024018736001468585,0.04223212610778256,0.00015973269877515232,9.365622852525402e-05,9.921027292580431e-11,2.9696083175229013e-12,0.00015979584948995783,9.386034176114988e-05,1.1476132643492513e-09,4.056725900673823e-10,1.2198609354548007e-09,4.014353961719265e-09
