,BR_INST_RETIRED:ALL_BRANCHES,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:FAR_BRANCH,BR_INST_RETIRED:NEAR_CALL,BR_INST_RETIRED:NEAR_RETURN,BR_INST_RETIRED:NEAR_TAKEN,BR_INST_RETIRED:NOT_TAKEN,BR_MISP_RETIRED:ALL_BRANCHES,BR_MISP_RETIRED:CONDITIONAL,BR_MISP_RETIRED:NEAR_CALL,BR_MISP_RETIRED:NEAR_TAKEN
ExaMiniMD,0.10294111718771366,0.08473632111386069,3.0367139500707968e-06,0.0046014289460071965,0.004610537207124301,0.06280000676741385,0.040110928248981055,0.0004331446754408435,0.0004325749555403561,5.088125316389873e-08,0.00017721416985557614
LAMMPS,0.1660405706437622,0.1324667671651623,5.410030296502881e-06,0.005513836547208778,0.005525628468970754,0.10435964438788874,0.06174741632919965,0.0006462645651729063,0.0006456499388319981,1.4482170291858661e-07,0.000355497989886808
sw4lite,0.06692552471653823,0.042952159462660455,1.14158471583068e-05,0.008741521347853116,0.00874437667039208,0.05269771451041015,0.014204829333519478,0.00010184731520999644,9.789254915804782e-05,1.4326615591906818e-06,4.209131087706522e-06
sw4,0.060973990587131224,0.03903978245067282,1.0513293931065518e-05,0.007984257381278493,0.007981583955491426,0.04796966683230545,0.012983899206184837,9.921312437152424e-05,9.577670457558681e-05,1.3040515520778071e-06,3.790244334564062e-06
SWFFT,0.22435314878505466,0.13844462107918196,9.770368025874793e-06,0.031551559040773065,0.031595812175312044,0.15250340289983005,0.07184040535822342,4.32559098809915e-05,3.2100064296634776e-05,8.813037085884951e-06,1.9128529349238614e-05
HACC,0.2508170530900309,0.14666207085723787,9.091169325135586e-06,0.038263984865714605,0.038324286002587006,0.1801751290054242,0.07055059064865242,0.0012910891716187982,0.0012763623191029089,7.381081327990279e-06,0.00036474079269615915
MiniQMC,0.012260401547921173,0.012155381458862986,3.376182269636018e-06,3.2685997164002225e-05,3.174456425040469e-05,0.010122714576385076,0.0021897404949644864,0.00016448283685688566,0.00016132012768790174,7.430284600015786e-07,7.838483562304462e-05
QMCPack,0.03311294580724433,0.024396034156260786,1.3153497415512164e-05,0.003106850196759592,0.0031093566218883587,0.026751410913138075,0.006355585728690246,0.0006315755110277957,0.0006292238079574854,1.5549895766287145e-06,0.0002902654742960839
miniVite,0.244152614924674,0.14349808427987218,2.911600829157751e-06,0.03624508029844475,0.03628466556798533,0.18586215034872786,0.05854370893981459,0.001433715355200627,0.0014042976093097328,8.880198199501951e-06,0.0003945497090553466
vite,0.27251094823353583,0.25476607386220385,4.4851564102873963e-07,0.00623332884890436,0.006232730538678325,0.2619790128099747,0.010280387715589671,0.00015450650211085919,0.00015241189575918121,1.1834970534374519e-07,1.4294111766649381e-05
Nekbone,0.0986472661331982,0.06803301594470693,5.477700313791133e-06,0.010077431207552357,0.010103199342094,0.07615750480968639,0.02248273207135617,0.00025435990392401367,0.0002518525483226249,9.23646038580693e-07,2.4746159997840955e-05
Nek5000,0.10792505103304627,0.07509351461141345,2.2920526227115343e-06,0.011668341527761871,0.011646060477617244,0.08270389559923227,0.024965764326507343,0.00031750748526895693,0.0003139487559023323,1.0274870836290394e-06,4.018366957815931e-05
XSBench,0.044001167731665236,0.02887295355989048,2.857866870875794e-06,0.004922509843108894,0.004927937781914265,0.029963466187254224,0.014059297588622585,0.0015978629493785211,0.0015912614523691446,1.8856154460965906e-07,0.0007170344219933104
openmc,0.3772907255603507,0.21464351405175536,2.093238904647154e-05,0.04609278100792241,0.046110112302166086,0.2748984179109115,0.10247553234129984,0.0004474328583539378,0.00044122324796539456,3.5518009593306205e-06,9.533736685443656e-05
picsarlite,0.12330198700317466,0.0692538609683595,4.335850100962758e-06,0.01913419779225157,0.01913191411179575,0.09180436904336768,0.03122341817019437,0.00018373372243978716,0.000176235998598417,1.3443502812930405e-06,3.880732696523268e-06
