,BR_INST_RETIRED:ALL_BRANCHES,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:FAR_BRANCH,BR_INST_RETIRED:NEAR_CALL,BR_INST_RETIRED:NEAR_RETURN,BR_INST_RETIRED:NEAR_TAKEN,BR_INST_RETIRED:NOT_TAKEN,BR_MISP_RETIRED:ALL_BRANCHES,BR_MISP_RETIRED:CONDITIONAL,BR_MISP_RETIRED:NEAR_CALL,BR_MISP_RETIRED:NEAR_TAKEN
picsar,0.13331727241750926,0.0691297019439536,4.2957658222203865e-06,0.022473915442845174,0.02245758419548985,0.1019302412498873,0.030945859969481158,0.00019111838300064384,0.00018162992811452305,1.732805029445652e-06,5.550361940555197e-06
amg2013,0.4290155748982434,0.31216236659985985,4.411179012024616e-06,0.038813719070154885,0.038755569076293385,0.2696077062923545,0.15894588678071214,0.0008432664179731507,0.0008381799886663618,1.0913557335786115e-06,0.00016169804608749317
Castro,0.1927970120424288,0.15117086659060494,1.698105325168493e-05,0.010993715280405936,0.011000354886203113,0.11877178806592688,0.07417265256213902,0.0003439366479649853,0.0003424920330027886,3.818501349057049e-07,3.547649191335623e-05
Laghos,0.15824090806773206,0.11202424873798232,3.908791752364434e-06,0.013790539868021682,0.013838125312800495,0.10508100977397276,0.053042878688891966,0.0006687723319187737,0.0006289673259793487,8.097307300601224e-07,0.00017937447849976102
pennant,0.10905427340692438,0.08531320458322507,8.228503590089791e-06,0.008055744310999426,0.00805193359707818,0.08636526126921867,0.022067815751475508,0.00023430503270964706,0.0002267527074999229,3.836026394438104e-07,1.4782955249416398e-05
snap,0.2704922844653731,0.2254534670772425,9.752179352104199e-06,0.009224444662091366,0.00923512334272433,0.1654684512041084,0.1046164239577448,0.00040971784279298127,0.0003887993150074917,4.344318311395858e-06,0.0001267390030257344
hpcc_dgemm,0.07440183636661273,0.04981816498332742,6.088215123505874e-06,0.008584982178224666,0.008593708044542316,0.05905005709427584,0.015378427813468955,0.00017975177783945424,0.00017891855515418312,2.9622498564490105e-07,9.429192460349252e-06
hpcc_random,0.2151328384933701,0.14243950715115014,7.18142425304859e-06,0.024578881079388264,0.024576284057793482,0.13592707640291776,0.07849460611719125,0.0010383879788893307,0.0009470815995742443,5.7904919823469616e-05,0.0005517209251230963
hpcc_streams,0.05339381567950412,0.033436423657883234,4.8926589213487965e-06,0.006974308124846227,0.006975750843348451,0.042432028711050826,0.010805748592582072,0.0001436090211921159,0.00014268573484836248,2.801333755520405e-07,5.379688725576274e-07
hpcg,0.11114903418297087,0.08818181182270413,7.735152232243629e-06,0.008063386874046164,0.008086900092374621,0.07316385707758041,0.03775658234160524,0.00012566210276213622,0.00012480102983491144,6.287152832413191e-07,3.08661735967058e-06
