,CYCLE_ACTIVITY:CYCLES_L1D_MISS,CYCLE_ACTIVITY:CYCLES_L1D_PENDING,CYCLE_ACTIVITY:CYCLES_L2_MISS,CYCLE_ACTIVITY:CYCLES_L2_PENDING,CYCLE_ACTIVITY:CYCLES_L3_MISS,CYCLE_ACTIVITY:CYCLES_LDM_PENDING,CYCLE_ACTIVITY:STALLS_L1D_MISS,CYCLE_ACTIVITY:STALLS_L2_MISS,CYCLE_ACTIVITY:STALLS_L3_MISS,CYCLE_ACTIVITY:STALLS_MEM_ANY,CYCLE_ACTIVITY:STALLS_TOTAL,L1D_PEND_MISS:FB_FULL,L1D_PEND_MISS:OCCURRENCES,L1D_PEND_MISS:PENDING,L1D_PEND_MISS:PENDING_CYCLES,LD_BLOCKS:STORE_FORWARD,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,LOCK_CYCLES:CACHE_LOCK_DURATION
ExaMiniMD,0.030058351318408776,0.03009761850017632,0.0004264293888805479,0.0004268343185330507,0.00032385440709153815,0.00032403853758838214,0.0020669238761396517,0.00035846254439411517,0.0002892719342814373,0.1037532113480831,0.11086104983205976,5.1554961918023765e-05,0.0025691303236198074,0.041517531902500765,0.03012690171284532,4.579949260054192e-06,0.014070441146676693,0.13219287428260526
LAMMPS,0.017740854180724512,0.01778094063369566,0.0012190639091524762,0.0012187294831690575,0.0008335553572713727,0.0008339364147522515,0.0030103613838158468,0.0008576843943864253,0.0007035088195864863,0.08353027423696532,0.08985787978417611,0.0001840255407958231,0.001501907026377632,0.02513358640449518,0.01766787247002404,0.0009282753826624905,0.0377310113019554,0.002540921216567273
sw4lite,0.1916462133976668,0.1912417127033454,0.06470645758220442,0.0645447515455352,0.040538931924473214,0.04055159730834044,0.08078210165981238,0.04964142868014748,0.036221432310806136,0.09952891488359453,0.1358902202795753,0.007256653554509598,0.0075004871815370295,0.3802975523042152,0.1917642381440829,4.573142907250556e-07,0.012934015462815685,0.007760962599835741
sw4,0.17762003330258866,0.1773348028360447,0.059131551741181426,0.059038802786348064,0.03701354072559492,0.036981189034318594,0.07386981788111673,0.045623137796906924,0.033272067683610816,0.09465320518878348,0.14400593222723373,0.009331010907122371,0.0057690434527824155,0.3656125881375011,0.17774490724171396,5.04745837407419e-07,0.009562925506667614,0.006543869440754943
SWFFT,0.27568841609392464,0.2750614820542188,0.2023977614535296,0.20215619911870072,0.14685767150922613,0.14709642721364966,0.2442321616592444,0.18919164427869506,0.1378391510964741,0.3045785826476077,0.4514671546772707,0.02698959822673567,0.0010616303834193811,1.016268909733829,0.2759861775388201,8.081422409034303e-07,0.00872999296372833,0.06337676934644207
HACC,0.12911153145494353,0.12896855066860793,0.0772517063972476,0.07709451961084887,0.06162982790438306,0.061674825104598624,0.08518448616080518,0.06850565908621564,0.057263514284486915,0.1759370106185088,0.27082893449469625,0.02511594822840893,0.003056419224384114,0.39097792783207225,0.12914668723457884,0.00016675589984050182,0.009750227919755905,0.051758170129734236
MiniQMC,0.8435658413896372,0.8422277083261414,0.7652749550650572,0.7677460144595732,0.6168939158015625,0.6166870203572196,0.7734161643597155,0.7176031088407899,0.5871478621527702,0.810077360488442,0.8506112788829387,0.16748688825400992,0.001919025848180039,4.116789319623576,0.8475858560040874,5.677463160502124e-07,0.022942830485850267,4.949104172374341e-06
QMCPack,0.8701858648672236,0.8654019088361691,0.8432931994320729,0.8362648301593619,0.7683559961144251,0.7678780487015843,0.7485606758770664,0.7385484434371307,0.6839552113004199,0.7635973660069186,0.7892442044265451,0.6231682429654063,0.000906679735980084,7.717558836874585,0.8691863365987087,1.457596301219825e-06,0.03633835528168408,0.00294619342677066
miniVite,0.4576597079119226,0.4569782618916519,0.4286790702197479,0.4283006627492977,0.342255994598209,0.3426196305957997,0.4223416638155163,0.4012899251529944,0.3278468988307092,0.5335577263496374,0.5894212380328308,0.0013319182782117098,0.002716738369693797,0.6798969253496079,0.4577942323815615,0.00020698908001820965,0.0024557865728746233,0.06912051728682725
vite,0.1728285896921633,0.17203478418055174,0.04279655535945245,0.04273462596927692,0.02720085587706992,0.027198527405512603,0.10481935463168096,0.02930932483502852,0.022048029700782748,0.14786141150938134,0.17576826370713305,1.771146360668316e-05,0.00317070709517097,0.2063399701965046,0.17318507560829227,1.1879132787782005e-05,0.004645307585730636,0.017919626326096942
