,CYCLE_ACTIVITY:CYCLES_L1D_MISS,CYCLE_ACTIVITY:CYCLES_L1D_PENDING,CYCLE_ACTIVITY:CYCLES_L2_MISS,CYCLE_ACTIVITY:CYCLES_L2_PENDING,CYCLE_ACTIVITY:CYCLES_L3_MISS,CYCLE_ACTIVITY:CYCLES_LDM_PENDING,CYCLE_ACTIVITY:STALLS_L1D_MISS,CYCLE_ACTIVITY:STALLS_L2_MISS,CYCLE_ACTIVITY:STALLS_L3_MISS,CYCLE_ACTIVITY:STALLS_MEM_ANY,CYCLE_ACTIVITY:STALLS_TOTAL,L1D_PEND_MISS:FB_FULL,L1D_PEND_MISS:OCCURRENCES,L1D_PEND_MISS:PENDING,L1D_PEND_MISS:PENDING_CYCLES,LD_BLOCKS:STORE_FORWARD,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,LOCK_CYCLES:CACHE_LOCK_DURATION
Nekbone,0.5819432684819807,0.5798830492479998,0.36315213788983775,0.3625637131521317,0.223747971152842,0.22373585348508115,0.4737400146608381,0.3167260416356962,0.20107346775773546,0.5065446715084644,0.5635028357353393,0.05161720151591628,0.0017990497734406575,2.67664767229481,0.5824078953624158,4.0011798162000216e-08,0.012676445162218148,0.018005481624437873
Nek5000,0.6076453355166291,0.6087114311153511,0.4193974309929124,0.4214834573800417,0.2380113339566629,0.23710698265799784,0.4891422727202657,0.3554478976527308,0.210183545226548,0.5186739693205652,0.5926175040265367,0.033799816725306665,0.001403275914468775,3.0105308541387257,0.6084988098256531,1.610992709427114e-07,0.01121498503762495,0.02163434237325863
XSBench,0.8475355726248978,0.8397541832045935,0.8156047907781276,0.8186558438576033,0.7033324860493225,0.7066685623638591,0.7450091748023828,0.7244555972027422,0.6332311985973769,0.778605295335212,0.8077774732467293,0.001012577123320298,0.0026920031556802106,2.147607039685281,0.8430752406413765,7.233084753801077e-10,0.0007027974624925055,0.006553575813065803
openmc,0.2285487371109993,0.2278638422639263,0.1862529940747074,0.18612057900859552,0.14967647883713847,0.1496744440452989,0.1853532799456294,0.1647490558331471,0.14578875541453887,0.2786835289780104,0.35229467680865206,2.7598376981068058e-06,0.0014302203865691125,0.3278357745098808,0.22861345638014835,0.0017762019677551113,0.002495781114828173,0.08349912026100711
picsarlite,0.4775073965928437,0.4746295737167042,0.44540408499713824,0.4463468704846457,0.3933562620793191,0.3941426546044144,0.3445224372629216,0.3409334546587925,0.3281716967698938,0.38388039707474775,0.4567423308029402,0.02114855379505681,0.0024868495752218577,2.124602552503664,0.4747423387962765,7.095547227191856e-08,0.008751216724490047,0.018018730936296568
picsar,0.5152249150460777,0.513787748245841,0.4798250687901519,0.4816199453119937,0.4208828770771609,0.4223900088636442,0.3678814613705258,0.36521908308357337,0.3509225016125717,0.4034985707605069,0.4778054602295493,0.021017149809912376,0.002817090402566252,2.1589615429688904,0.5153942298127373,7.536513853308165e-08,0.009320372977580288,0.01819420640423934
amg2013,0.09463115200217644,0.09426856370677213,0.060223356369090514,0.06043233503683264,0.03775694644645082,0.03794001145233588,0.06588588887519672,0.04683757784594143,0.033207995346278704,0.14457664302737294,0.3289530162831031,0.0023577407428973505,0.0009233462536856568,0.2016059805585669,0.0941650607565314,1.4049032485216779e-05,0.00393886556037457,0.07523401745648038
Castro,0.17588649422681252,0.17562363394430308,0.09819603516483164,0.09810890533924113,0.06581350365262402,0.06579423004455226,0.092881556656724,0.07057625026021143,0.05689418261129416,0.15362934537977366,0.2434821557552523,0.008187672808800594,0.0043576522715351035,0.3766612965123569,0.17586959539411814,2.2955810666334204e-06,0.014580954072784213,0.020151977942147983
Laghos,0.3107534176600172,0.310122054941895,0.23209265227506504,0.2333262141073901,0.18221429722224045,0.1832636377904581,0.22671041634648956,0.1845464625068444,0.15625556019801928,0.28552311876081965,0.35942094580795586,0.02883910252904035,0.0024686394591450435,0.8991763291138527,0.30976829215893165,0.0005096190096395383,0.00475081385374667,0.028607545569053493
pennant,0.30211454127211,0.30162258974039785,0.14412613529107632,0.14440130834313364,0.0933190204323087,0.09376530291719766,0.1731538603153115,0.11311692157010125,0.08078656084192844,0.2693964303335663,0.33139475744931113,0.04646258657046859,0.007187605591718234,0.7236568962591008,0.30137953878253304,2.7620772502310675e-05,0.03616068190667555,0.01434866768837636
snap,0.19953597639105408,0.19969417841728307,0.12133852649557784,0.1216014972759802,0.07359737839197772,0.07356199791790055,0.09347695083846462,0.08024375703121964,0.06413949159487127,0.14784568547477267,0.19487789685185325,0.0017965835904212109,0.004599406926609131,0.44123658569710783,0.1992864157805183,0.0007300970362904682,0.044421151412690436,0.046862161708677484
hpcc_dgemm,0.5041515514333547,0.5010954338338609,0.05548634274955908,0.05566380296962396,0.031720178742157164,0.03173976593600992,0.044158195680501965,0.032197604670724585,0.02335787807334616,0.06933575375284559,0.09633220116418778,0.023701569337529687,0.023448049623947528,1.0667938289220529,0.5039272771939909,7.664425704980281e-08,0.004325553323893598,0.024376500251599417
hpcc_random,0.3917391690071751,0.39293744033814093,0.35285678467786274,0.35585799413430863,0.30470118140778346,0.3072027361797834,0.3344356591278464,0.3246671847845435,0.2883098001301726,0.4188653538656831,0.5763381219796845,0.006384564850427743,0.0036764940263375673,1.2241593891028326,0.39132686406811307,0.00012073601828083704,0.007019007511644279,0.03838446792507198
hpcc_streams,0.7812845700853902,0.7754811093841125,0.6912994738438084,0.6928833275931006,0.31978295279916,0.32072670012868243,0.6989670631852842,0.6200172462833383,0.29230935660914525,0.7568702182340663,0.8267042386204928,0.4712174258713026,0.0005169166600374794,3.856114608871,0.7773687414493823,6.142861530785501e-09,0.0027158101020947232,0.016159785949941885
hpcg,0.7270405423680559,0.7237551225494816,0.2957939541529664,0.2960756847738269,0.1753576439180708,0.17566105355706127,0.5094709392821437,0.22797708670959546,0.15295674551555255,0.5456773513769884,0.5692031599240661,0.0018939793415968125,0.004864242369657622,1.4818149811239474,0.7252205816526749,9.893935726196552e-07,0.007035994442603058,0.012694924457374943
