,HW_INTERRUPTS:RECEIVED,MACHINE_CLEARS.MEMORY_ORDERING,MACHINE_CLEARS.SMC,MACHINE_CLEARS:COUNT
ExaMiniMD,5.102548016544618e-08,2.0296046652538353e-05,6.895945916820611e-07,2.32573650424743e-05
LAMMPS,7.724208025681303e-08,1.4217474704652627e-05,3.737242012365742e-07,1.581293036265509e-05
sw4lite,3.860352034758858e-08,9.55244602010364e-07,3.03534136109399e-06,1.482933025108522e-05
sw4,3.4799771996326425e-08,4.1122924240881057e-07,3.3077480750173706e-06,2.030086179832735e-05
SWFFT,2.504990828350361e-06,2.023571077058137e-06,2.699624181798975e-06,3.895456464304201e-05
HACC,1.5626828487221225e-07,7.789399712408937e-06,3.131385165488425e-06,3.702779338379937e-05
MiniQMC,2.832560708237756e-07,5.304570555735418e-07,6.467806468187343e-06,0.00010454588474705276
QMCPack,3.4876641861205565e-08,1.0223208923394359e-06,1.1527782986825409e-06,0.00012040398640123767
miniVite,2.0766230011282325e-07,4.710536703963037e-06,9.54044826083198e-07,1.7182886855694086e-05
vite,7.354495115255837e-07,6.697103953451697e-06,0.00011121673095872715,0.00012659075725272954
Nekbone,4.5055025065248613e-07,2.099265020228425e-05,1.2289268596494417e-05,0.00020960287242025968
Nek5000,9.092705275044869e-08,9.377532164104531e-06,4.708076340937222e-06,1.5650059409488865e-05
XSBench,1.1717617526485627e-07,9.132091856428301e-07,4.050059124306863e-06,1.8185214176817547e-05
openmc,4.305719225195658e-06,0.00022953949813377692,6.506894172626921e-06,0.0009240428623900596
picsarlite,1.0931533385426273e-07,1.8657499687511178e-05,1.4980089359407998e-05,4.092792239183079e-05
picsar,1.2010914030013142e-07,1.697886160545451e-05,1.534495495202645e-05,4.896020068713074e-05
amg2013,1.8738731970292326e-07,1.2923122589760734e-05,8.131977814253804e-06,5.4146431089265494e-05
Castro,6.982564200163418e-08,2.322802900509122e-05,9.887032246731578e-06,0.00010626349615017052
Laghos,1.426571835124942e-07,2.1915748921281306e-05,8.333884906220946e-06,3.514806599191947e-05
pennant,1.808820036627345e-07,3.8861842833898213e-05,1.6198147801334875e-05,5.152440601293011e-05
snap,8.220550424121021e-08,1.0507816321442102e-05,2.7097532109282848e-06,4.7253405106837185e-05
hpcc_dgemm,1.5841668754672402e-07,7.494527562880766e-07,1.1771627081335232e-05,1.819851268263613e-05
hpcc_random,1.947160366786197e-07,5.7697334770536243e-05,4.810957740671427e-06,5.9508512817153115e-05
hpcc_streams,1.6753257337116868e-07,1.546736504145025e-08,1.2277132744100945e-05,3.0538100729333726e-05
hpcg,1.1651582834249794e-07,5.852897936919713e-07,1.6687103014844642e-05,3.14859174197838e-05
