,BR_INST_RETIRED:ALL_BRANCHES,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:FAR_BRANCH,BR_INST_RETIRED:NEAR_CALL,BR_INST_RETIRED:NEAR_RETURN,BR_INST_RETIRED:NEAR_TAKEN,BR_INST_RETIRED:NOT_TAKEN,BR_MISP_RETIRED:ALL_BRANCHES,BR_MISP_RETIRED:CONDITIONAL,BR_MISP_RETIRED:NEAR_CALL,BR_MISP_RETIRED:NEAR_TAKEN
picsar,0.5577087675790348,0.20916298795052066,2.6714701777763226e-05,0.0646072868632402,0.11737409217608875,0.6801567775112244,0.234984578627722,0.0008720299024466249,0.001057942479379737,4.310877194622933e-06,1.4881954541214985e-05
amg2013,1.4945055978263728,0.6939437261819941,3.518911973642067e-05,0.08715585817250368,0.15023156252694864,1.2621147334538645,1.1817245933198663,0.01552522980319422,0.015883862654418594,2.2308143755595924e-06,0.005799019939369791
Castro,0.1244082082876716,0.05328765549196186,5.56996649383405e-05,0.0140603853836142,0.014773560728399119,0.1113950561739174,0.04626048473500703,0.00039532688763066096,0.00040067612794287237,4.477069353075925e-06,4.525523304604267e-05
Laghos,0.6411197001599214,0.19190043510325624,4.159649730152808e-05,0.04603626854316967,0.08364753134331704,0.9342177883264714,0.4176891159734175,0.003524043268651929,0.005088213912568025,2.412732415964818e-06,0.0008303817036531451
pennant,0.2777175239896544,0.07591354666803415,4.057352938245706e-05,0.019031835073159826,0.029620641889811068,0.3631372831335421,0.09619908381348588,0.0010223014019767275,0.0011619692559633392,6.446884722886729e-07,0.00016426908989191017
snap,0.3653548615032768,0.14183753926965953,3.949344991295692e-05,0.00913490751413324,0.014803735544515013,0.3172085793161462,0.1940561949387112,0.0007511298998786514,0.0008449304147779979,4.976875159648832e-06,0.00019670604300575732
hpcc_dgemm,0.09715928634133407,0.04672907937332362,2.8857415107538538e-05,0.011360805706343412,0.011340701309031056,0.11812736211556366,0.027142159769512158,0.0002178353278719916,0.00022753481118430624,3.9763804609211453e-07,4.754096544674813e-05
hpcc_random,0.9880345821165016,0.248550089583724,5.704577287949658e-05,0.06942727211180581,0.1240977179995669,0.9001568098033111,0.5540348807061953,0.00680071776114311,0.0071094755030981106,0.00032468551054116556,0.003318229857200644
hpcc_streams,0.1756008865099153,0.049023517019265016,8.030070951299001e-05,0.021507386385056587,0.042909245854392535,0.3318964699948505,0.07213341859298708,0.0006532529601409508,0.0007433903844703312,8.420595927316862e-07,2.824539859088429e-06
hpcg,0.23731719690303146,0.07633021188258422,3.214084895257754e-05,0.014446118887354831,0.0229985172486579,0.22818197834136836,0.10908952826207556,0.00041017131789741767,0.000521015751446228,1.1946023721746011e-06,1.4051785835692462e-05
