,BR_INST_RETIRED:ALL_BRANCHES,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:FAR_BRANCH,BR_INST_RETIRED:NEAR_CALL,BR_INST_RETIRED:NEAR_RETURN,BR_INST_RETIRED:NEAR_TAKEN,BR_INST_RETIRED:NOT_TAKEN,BR_MISP_RETIRED:ALL_BRANCHES,BR_MISP_RETIRED:CONDITIONAL,BR_MISP_RETIRED:NEAR_CALL,BR_MISP_RETIRED:NEAR_TAKEN
ExaMiniMD,0.12368003330616023,0.053049350157901874,1.1014029394747497e-05,0.009176464197837544,0.009645241522795469,0.10052929322675697,0.06370774969479424,0.0008600251865126119,0.0010575598098046856,2.036394359760095e-07,0.0002682787924665924
LAMMPS,0.19165959267314656,0.0934478820968782,1.2576446466493028e-05,0.013848566505369506,0.01365620247730753,0.15409364085503854,0.0982185029309308,0.0011407835893859476,0.0014829124459051909,3.9776566692318893e-07,0.0004977267380090509
sw4lite,0.05691619781541555,0.03452592586909915,1.588005445957453e-05,0.008037424035917989,0.008090689669110751,0.045651818334510826,0.012970362097266949,7.648224812125449e-05,7.618914411100412e-05,1.3133966852004113e-06,5.300608408268466e-06
sw4,0.06057001756467215,0.035815451982806355,1.3345457916894334e-05,0.008316417530893707,0.008651865466503837,0.05053972522437706,0.013920437409887644,8.760279481233912e-05,8.963874374269098e-05,1.375614923759463e-06,4.273759222309191e-06
SWFFT,0.09351405727424188,0.044762841112398435,1.961327532988725e-05,0.014483346877136137,0.015978456783457464,0.08009231345504744,0.032627991103142184,4.486450763301553e-05,3.7803306355571794e-05,6.9283776568774735e-06,2.411739089530198e-05
HACC,0.20617838226557444,0.12263352292969655,4.2587563984966887e-05,0.028672892129569992,0.034231850880863085,0.20656927060506425,0.12305158750300307,0.0029071542651694588,0.0030791605037263307,4.814403122368211e-05,0.0011586550190953874
MiniQMC,0.02031047545185791,0.019209092018167083,3.833827461326648e-05,0.0004646402729852527,0.0007789793496371488,0.015864466831899394,0.004885103368595209,0.00014999479945349418,0.0001434265553260146,1.6551388411952393e-05,9.807263759072068e-05
QMCPack,0.08659906480946132,0.05184823687922724,5.927657400125984e-05,0.012533793596261542,0.01260396582298016,0.06723003987109878,0.01966909690684881,0.0005228123027877328,0.0005254609438099136,1.7498010947463242e-06,0.00025522499286866816
miniVite,0.19337062189582616,0.06401683232291898,2.8901478534943117e-05,0.04212051155901482,0.0235576717806934,0.10647865128306086,0.028224947143227583,0.0010642469593089947,0.0009244320294807283,3.042150740750573e-05,0.0004931603703549982
vite,1.0486261228613578,0.3520353151284679,5.876793895090263e-06,0.009602631285416666,0.00955329700052557,1.6363582058983408,0.01644340978497949,0.00046823387441502913,0.00046961634941365525,1.7633269533942995e-07,0.0001978554013788772
Nekbone,0.4922867999524939,0.1469603129029977,4.26879961454466e-05,0.04146011253122383,0.07518729755585947,0.6511291274877904,0.17107039823564166,0.0015693159099434276,0.001883634017889675,3.5761285905326415e-06,0.00011245611296558576
Nek5000,0.12196700186875745,0.042366357474570925,4.994003793073098e-06,0.011655014913843973,0.02389550156856289,0.19411079754831104,0.052774419984835466,0.00039929602851138097,0.0005633193146940659,1.2842638348558972e-06,4.26265569069401e-05
XSBench,0.07503818826183598,0.038615249916839435,2.48945590790439e-05,0.008441240499834456,0.009059798289545307,0.06102592243090165,0.033445578109310765,0.004126537572244213,0.0048883537001686225,4.0681071658072423e-07,0.0016608641410429527
openmc,1.688997378007565,2.6109302540827586,0.0004579306043957988,0.4359998274676435,0.16160522641260006,1.2339266895122836,0.4342018101828291,0.0016459005924302505,0.0022651900329972445,9.578545909738744e-05,0.0003414407229596351
picsarlite,0.43882408615065743,0.15223808728590846,2.9874754698964654e-05,0.05436760935798568,0.09102314721682014,0.5188616902552474,0.22653070886968915,0.00079098481833963,0.0009177023249030847,3.1791928969260637e-06,9.616356979671356e-06
