,BACLEARS:ANY,DSB2MITE_SWITCHES,DSB2MITE_SWITCHES:PENALTY_CYCLES,ICACHE_16B:IFDATA_STALL,ICACHE_64B:IFTAG_STALL,IDQ:ALL_DSB_CYCLES_4_UOPS,IDQ:ALL_DSB_CYCLES_ANY_UOPS,IDQ:ALL_MITE_CYCLES_4_UOPS,IDQ:ALL_MITE_CYCLES_ANY_UOPS,IDQ:ALL_MITE_UOPS,IDQ:DSB_UOPS,IDQ:DSB_UOPS_CYCLES,IDQ:MITE_UOPS,IDQ:MITE_UOPS_CYCLES,IDQ:MS_DSB_OCCUR,IDQ:MS_DSB_UOPS,IDQ:MS_DSB_UOPS_CYCLES,IDQ:MS_MITE_UOPS,IDQ:MS_SWITCHES,IDQ:MS_UOPS,IDQ:MS_UOPS_CYCLES,IDQ_UOPS_NOT_DELIVERED:CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_0_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_FE_WAS_OK,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_1_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_2_UOPS_DELIV_CORE,IDQ_UOPS_NOT_DELIVERED:CYCLES_LE_3_UOPS_DELIV_CORE
ExaMiniMD,0.00021506099248250508,0.013275392815818996,0.012847145570970905,0.00032086664273348064,9.633799117434552e-05,1.2299954199710512,1.4979914064894442,0.2203674621123176,0.3992921393291118,8.533083515238832,9.553759678444816,1.9435728494654056,0.8818457607595367,0.40129210238548624,0.03831856056395065,0.2555022241021297,0.0698039348360001,0.011095950247353015,0.03231673752844444,0.3900501560117156,0.105484385368876,0.08951596159097434,0.010521313115219305,2.02950066060195,0.019547550852594832,0.03663266995190282,0.09529839108312704
LAMMPS,6.372908513564655e-05,0.01482657277004092,0.014244102292061772,8.636804437541827e-05,4.445792185198118e-05,0.3988856115048822,0.4977274771649661,0.030673613177747645,0.054980637764536884,2.0632124509340044,2.1362169813803185,0.47319325564389897,0.1983876885764217,0.056535452385603174,0.01209737584130755,0.0799439609385849,0.020898985349125952,0.0064400834690628295,0.01245870077986417,0.09386255210260094,0.02408024221211118,0.08642941667058314,0.013007276508588687,2.3860068237957752,0.03061832770908284,0.04475712315409368,0.14637092034332996
sw4lite,8.591871959844682e-06,0.008062429190881949,0.00782217924205155,0.00021015855698576383,0.0013621378722686107,0.07696035051991973,0.08384941101881607,0.020303216668450027,0.0944721467883378,0.4798831348622503,0.3991869889783473,0.08038654192827692,0.2652445201228664,0.0944524219585956,0.007917290482740503,0.053125626212790836,0.014154455227327715,0.0069784390896363395,0.007747950014477469,0.040402074277595935,0.010753086068532595,0.1048667974951162,0.0075361208025265265,0.6157588745983379,0.008541719557192875,0.05556957664468317,0.11627918121499033
sw4,1.2505626697448054e-05,0.0017122406614060654,0.0016696652844118275,0.00033768032056635935,0.0019572755702106912,0.11834592933577676,0.12072429718008608,0.03278310560211769,0.1702283310472077,0.7639672375368709,0.6224281882741375,0.1260641591884717,0.4471804509400739,0.16982335262789688,0.007427246983313895,0.050505452792675216,0.013071024260797304,0.007902241467829538,0.007829400435350244,0.052596296835027936,0.014124179950574078,0.12257656815982736,0.006749110892659396,0.3609190962972305,0.007663853295069594,0.060176368458541366,0.1029357380496034
SWFFT,3.8183090243297024e-05,0.004347449179747096,0.004401071719340025,0.00028522984162897383,8.001732932046341e-05,0.05503409636143066,0.07430705200719663,0.02187236964100053,0.038758251877197315,0.4060790915978583,0.26245591527296736,0.06383886162443886,0.10274612474222168,0.03400884985352255,0.013035497654441036,0.08165168837550238,0.02134722925295312,0.11990536850274958,0.020900531401892915,0.11398915603414325,0.029242504217194293,0.192822831750642,0.04120788923113148,0.2969892515700895,0.05056991969910438,0.06468716612088253,0.07962641096136755
HACC,0.0002127528120239368,0.00552175573546532,0.005486874468476936,0.0003116839616026784,0.0003640609429095103,0.11208348263982816,0.13993363570109474,0.01242280817249782,0.029156702552343112,0.658862496967713,0.6569862095960729,0.1374344772057703,0.07517041592284354,0.026423258789863503,0.013156901618495082,0.08562585051488537,0.02264135478641639,0.01380538303144655,0.014095309553274359,0.1028998699019808,0.027950391131792474,0.06695964911911315,0.00699632142352281,0.3973132959402518,0.010218506996226224,0.02381144000000645,0.034695818856504565
MiniQMC,0.00011815155211680306,0.0005378239090267214,0.0005163062197692456,0.005509587594231777,0.0075502517603112645,0.039597614083615576,0.0465386484809331,0.007485047082696325,0.014516446427890363,0.24595220890357944,0.22749905748468824,0.04649676067948187,0.02670664637863296,0.01965001678750198,1.0338060007664951e-05,5.261479839648886e-05,1.6756685074298197e-05,0.027719963821344097,0.005322123638265178,0.02550933847519966,0.01043813994707494,0.08274874092984832,0.017024733291488948,0.07164808115873346,0.019813282620109063,0.02336798650549476,0.02614499528496517
QMCPack,2.2734644507767596e-05,0.0012651680787201483,0.0012887315578168075,0.0006382703767588259,0.0009724052679154877,0.08962127352513848,0.11736135963772153,0.006515588842802298,0.019232230786193967,0.5130609528017808,0.4288022740608211,0.10010821593788218,0.015491381538095953,0.005090021132615523,0.010982386001803405,0.07275067264417652,0.018732269380037976,0.0377070537936323,0.011407935274557048,0.08439159371021067,0.026264138330384438,0.07594320132592594,0.013993775738217971,0.4089616238732514,0.014806649273877712,0.022657960193471303,0.025940032303567142
miniVite,0.00017031427367425432,0.010817490610363644,0.010799178960744187,0.003546527005448699,0.005752920042928966,0.17397646461631466,0.17028193772063965,0.02031463773552481,0.024872706008482542,0.8221818657599554,0.663053335121411,0.15855297520217598,0.032209136528152514,0.011624206197935218,0.012042390596455704,0.1212950600368656,0.022670037145438585,0.05771476218530947,0.014049787079514802,0.17200719967412914,0.03635728538871915,0.157032612935051,0.0314508438453816,0.3579145183046301,0.03776395233393935,0.05115078538640749,0.058159352893266215
vite,7.027072389834188e-05,0.002514853827900601,0.0025502036490759024,0.000418292451243039,0.002741186703520036,0.9398609305487646,0.876859737332668,0.0038513906084368314,0.008911307592233986,3.2019811417502404,3.7152522478215686,0.9169595091188172,0.01780698912009516,0.006660375689002257,0.008862833166971083,0.0591690408515081,0.01572355141281765,0.010744791275088029,0.009517143816294978,0.06817420689709901,0.018221316601407928,0.18091749267670107,0.008297623017830021,3.2693801678404077,0.011204839754674716,0.016551019285216687,0.4507015860583737
