,BR_INST_RETIRED:ALL_BRANCHES,FP_ARITH:128B_PACKED_DOUBLE,FP_ARITH:128B_PACKED_SINGLE,FP_ARITH:256B_PACKED_DOUBLE,FP_ARITH:256B_PACKED_SINGLE,FP_ARITH:512B_PACKED_DOUBLE,FP_ARITH:512B_PACKED_SINGLE,FP_ARITH:SCALAR_DOUBLE,FP_ARITH:SCALAR_SINGLE,INST_RETIRED:ALL,INST_RETIRED:ANY_P,MEM_LOAD_MISC_RETIRED:UC,MEM_UOPS_RETIRED:ALL_LOADS,MEM_UOPS_RETIRED:ALL_STORES,MEM_UOPS_RETIRED:LOCK_LOADS,MEM_UOPS_RETIRED:SPLIT_LOADS,MEM_UOPS_RETIRED:SPLIT_STORES,MOVE_ELIMINATION:INT_ELIMINATED,MOVE_ELIMINATION:INT_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,SW_PREFETCH:NTA,SW_PREFETCH:T0,UOPS_RETIRED:ALL
Nekbone,0.03181521250931367,0.1958922358110116,0.0,0.0,0.0,0.0,0.0,0.0019551699674016138,1.255233090855269e-10,0.37525612024747707,0.3753017632329413,4.1600946533670513e-08,0.12067615745491908,0.03161019175778301,0.0006584471789487256,0.00013322212854264547,0.00013271594499366773,0.016971029749440147,0.0013396144515096019,0.048818131746975815,4.237756756971316e-06,7.998464059918846e-06,0.000506130887492924,0.4204884199487936
Nek5000,0.04999374812504004,0.06614363653244851,4.941489600881125e-10,4.058297781903303e-09,0.0,0.0,0.0,0.006446846437121773,4.209716241743952e-05,0.18184421616711824,0.18873884183510556,6.0312616193263084e-09,0.07188587610231449,0.03264012054391894,0.0011892994084381806,0.0012610948481313286,1.8270010741037443e-05,0.024269396502017208,0.0012279771456037238,0.012200670042643757,0.0003005802057389396,4.842828357269666e-06,7.389768120444297e-07,0.2749609986652809
XSBench,0.06244904927394768,0.003422593554606013,0.0,0.0,0.0,0.0,0.0,0.00338417255602219,1.3166330247299912e-11,0.2667913135815813,0.2652932819936067,7.986343582809891e-11,0.09921920981721002,0.042928047782424525,0.0015580752370009964,0.0003430127840697133,5.308910419379429e-07,0.026519788470514026,0.0016686161431972851,0.002542763105946613,7.059293978387441e-05,6.522134463548872e-05,7.203169445164944e-05,0.3935903047770419
openmc,3.560772536533737,0.0,0.0,0.0,0.0,0.0,0.0,0.07887141569441893,4.808359629285517e-11,4.247185812835741,2.4270316715568336,9.575764722826675e-12,1.9939098725987543,0.9845008728120124,0.02043816200357001,4.479515200463079e-05,5.447827347027511e-05,0.3951185559116406,0.014295681563207378,0.0050668009887253704,2.437940808148041e-05,5.643903161829562e-06,5.109654880518049e-09,11.68661318260566
picsarlite,0.08916795028093727,0.08859089940480104,0.0,0.0,0.0,0.0,0.0,0.15699809419823568,6.626702833796979e-11,0.5667867211700098,0.5774172937959382,8.766569831119382e-09,0.2080055295475268,0.08268763591517922,0.0016759245843469192,6.470482027236804e-05,2.532739786408749e-05,0.041542560615449406,0.0025442234464153482,0.024659307002380858,0.00031923895328976094,1.1248718385651611e-09,0.0003245478527689471,0.7604010906923028
picsar,0.08721906927988922,0.07918836105472536,0.0,0.0,0.0,0.0,0.0,0.1462294804632644,6.370426979985116e-11,0.4932086118528946,0.534247046411059,8.660259624155412e-09,0.18478335070423674,0.07704511964981067,0.0016961635111737232,6.903432098414636e-05,2.6126733185083772e-05,0.041513184477281036,0.00253981991974662,0.021382716006553292,0.0002852333775749203,1.9091599712148447e-09,0.00031136176870089863,0.695003968238956
amg2013,0.2592885482534741,0.015765949601918714,0.0,0.0,0.0,0.0,0.0,0.0947504042946052,9.30025300886258e-11,0.9447975742817531,0.998174533604928,8.460452388560878e-10,0.32198465710214863,0.10756132399481028,0.003284775292419028,0.00010774330177883744,2.9308321823723305e-08,0.07203585234927201,0.02077832141633653,0.0038871944676242822,0.0003576290446641428,6.017736284535344e-08,1.1659855288775652e-07,1.0758689349701258
Castro,0.058630477516544564,0.042715275945303915,0.0,0.0,0.0,0.0,0.0,0.13812846153023264,4.4728372356961284e-10,0.4425892802249224,0.4467712520959424,9.899218716068356e-09,0.12202555792183015,0.03709620150338215,0.0020506363705163413,0.0007096812060638707,3.017967649173687e-07,0.028620290639503776,0.00216003336760882,0.05611863752606798,0.008380946069760703,1.4674020986713215e-12,3.5200705876047453e-12,0.4853347230114397
Laghos,0.08230848980929609,0.008854908386278707,4.588577367286775e-06,1.5371244858755107e-05,0.0,0.0,0.0,0.1633975335937812,9.94924421925558e-05,0.2840021900644386,0.3093311557647493,1.7240407036830274e-10,0.09910559954976697,0.05369459294854958,0.002334879795665463,0.00010138751704170292,9.372237627345423e-05,0.042205699175751885,0.0029016335749835103,0.027689229651110155,0.0032829801462650157,2.0897258566837896e-06,4.446051325816928e-05,0.3394602278320897
pennant,0.022996550906779645,0.007372894010213765,0.0,0.0035387844262413314,0.0,0.053062596707836,0.0,0.040074524919311,7.154093660247443e-11,0.11495972560967466,0.1398342229132564,4.314194675122345e-11,0.059204049253609885,0.01747802420263094,0.00048536018554276426,2.8450853011015318e-05,0.0006995104985777412,0.01120960014104548,0.0005301362294519047,0.0015206282190254755,9.515639049029787e-07,7.738176238598505e-09,5.440044379504856e-11,0.13089389636611293
snap,0.050413993513044715,0.0026699712271158827,0.0,0.15824771252065312,0.0,0.0,0.0,0.0065274064487313545,1.1128499319533598e-09,0.2185788731860033,0.21590340726212914,4.057309108604712e-08,0.07716158751768444,0.018754145068334255,0.0009621860354428186,0.006525910912159689,0.005136686401347032,0.020461395435438675,0.002428657214017685,0.007152666969457681,6.79189001906114e-05,3.0601115627156146e-11,2.5988492794303042e-09,0.15914269911718654
hpcc_dgemm,0.09320725578836664,5.835815664531105e-05,0.0,4.463949440422905e-06,0.0,1.0021637831376404,0.0,0.0013928674315680234,1.9970022298048264e-13,0.4075863936454637,0.4162635133687287,4.0931401565723146e-09,0.13266810721130384,0.06822826372510771,0.003624000109019701,0.001371009719603633,0.001199326501055533,0.04610977667331038,0.0025797173377020513,6.167171437747832e-08,7.300334556586276e-09,0.0,0.021206089089231245,0.31463345059608444
hpcc_random,0.057650994842554676,0.0,0.0,0.0,0.0,0.0,0.0,3.942067204709832e-09,1.2815848950375888e-09,0.2343105927905117,0.30564274847163186,5.529566268677609e-11,0.11609432774020527,0.062234430625310436,0.001274640165617972,5.8580311948812415e-05,5.039093418713401e-05,0.029755835802430512,0.012801242262266404,0.0010774981133917162,2.262863641749434e-06,1.6850664500374064e-11,6.963960633836934e-11,0.33765656093828433
hpcc_streams,0.02376011408900295,0.011810008197405377,0.0,0.0,0.0,0.0,0.0,3.9099206785456303e-08,9.80156607443568e-14,0.06605162917320813,0.09621498413795136,0.0,0.04361014166664239,0.02240068785268719,0.0005795155988929097,2.561557421129093e-09,1.7141321970326147e-09,0.013128376659579293,0.0007059664252395123,2.0593557674236022e-08,1.826308104660612e-09,0.0,0.0021007907657476428,0.0912345673043721
hpcg,0.028101753537053298,0.025045333734218973,0.0,0.0,0.0,0.0,0.0,0.011269336602607372,8.220963166585144e-11,0.11621205092873345,0.14341455765909727,5.782831493592732e-10,0.08356862220545773,0.01649304728910139,0.0007929569340430312,1.1730319565100546e-07,3.597119786253421e-08,0.011133265053542623,0.0006605372542553536,0.004074401106791732,2.0858355655858856e-06,2.4088119361578214e-09,3.9852167867364226e-05,0.17636116584234515
