,BR_INST_RETIRED:ALL_BRANCHES,FP_ARITH:128B_PACKED_DOUBLE,FP_ARITH:128B_PACKED_SINGLE,FP_ARITH:256B_PACKED_DOUBLE,FP_ARITH:256B_PACKED_SINGLE,FP_ARITH:512B_PACKED_DOUBLE,FP_ARITH:512B_PACKED_SINGLE,FP_ARITH:SCALAR_DOUBLE,FP_ARITH:SCALAR_SINGLE,INST_RETIRED:ALL,INST_RETIRED:ANY_P,MEM_LOAD_MISC_RETIRED:UC,MEM_UOPS_RETIRED:ALL_LOADS,MEM_UOPS_RETIRED:ALL_STORES,MEM_UOPS_RETIRED:LOCK_LOADS,MEM_UOPS_RETIRED:SPLIT_LOADS,MEM_UOPS_RETIRED:SPLIT_STORES,MOVE_ELIMINATION:INT_ELIMINATED,MOVE_ELIMINATION:INT_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,SW_PREFETCH:NTA,SW_PREFETCH:T0,UOPS_RETIRED:ALL
ExaMiniMD,0.059069417637623835,0.00014792108930432044,0.0,0.0,0.0,0.015344566104286703,0.0,0.06269779565784997,2.1071668801381275e-10,0.16194533130913116,0.16320076897868846,4.6230860444948346e-10,0.04461110470132856,0.023814833290719917,0.001217047265261787,0.0018386775894749497,2.31228454716358e-06,0.01847744747168521,0.00041194835880642753,0.006571859419845125,3.354867082608097e-05,0.0,0.0,0.15911318376526268
LAMMPS,0.0737710029734017,0.0012733057971774074,0.0,0.0005193664216904351,0.0,0.06399882385147553,0.0,0.1926231204962687,1.1100790008596915e-11,0.2215421336696108,0.2347718157759789,4.2154284865159365e-10,0.12162875181938745,0.03753128423264891,0.0005760775440631192,0.014164482139666269,0.00014196549530779275,0.03201354057267928,0.0005918942394011507,0.016227957138358725,0.0005695319904712494,5.216794508179326e-12,1.0214704011130508e-11,0.2246782836973976
sw4lite,0.05327391992597269,1.0255041433673093e-05,0.0,0.0,0.0,6.226725775294347e-05,0.0,0.2322921328418114,2.659288641758244e-10,0.28750714874587435,0.2836354241667053,6.847027374555942e-09,0.11070907430083388,0.036645962441031917,0.0004569331770875466,0.00013171082111098096,4.965717846114541e-05,0.021298992517089582,0.0010285934600302307,0.034052148403845316,0.0009417713123453236,0.0,4.0202755906429654e-11,0.3202622388356879
sw4,0.05558600234493912,1.5122221957737836e-05,0.0,0.0,0.0,8.42516155073239e-05,0.0,0.21749370757234346,4.160499866220987e-12,0.2738225142969856,0.2763280440228133,6.966169227470504e-09,0.11536638554489036,0.057608337608234576,0.00047096936122195763,0.00013605890954612425,5.281705994389189e-05,0.022071136445609197,0.001060861520107826,0.027177975057552074,8.027866773172902e-05,0.0,2.4017506335333608e-11,0.2991906512598426
SWFFT,0.0512765377935184,0.09629681678742356,1.1860111482998134e-08,8.142711934245938e-08,0.0,0.0,0.0,0.010378037864531444,4.4092424025463096e-09,0.268124735310318,0.2688641638076025,1.61532010183362e-07,0.09179458651430693,0.034967917074874746,0.001309375261168541,0.0025598873304466365,1.3337729750484565e-07,0.02082518122295204,0.0012846255200216015,0.04567851244289296,0.004273367191426528,2.1964620094872903e-10,0.00015681030171218604,0.4149129965347765
HACC,0.11457010815094365,0.021824000178579956,5.6285298953377245e-08,2.191987610055558e-09,6.41021364359814e-12,0.0006039433168400254,0.4835083838758407,0.03413391210130549,0.026217735726889308,0.4381622694335983,0.4382589761838866,8.278418956818997e-08,0.12909370244124616,0.0633731727323106,0.003660499309813368,0.0008359320816126017,0.0009253458442308293,0.0573056089527769,0.011753223483452688,0.011034239829520195,0.012104933346183878,3.665782536011362e-05,9.882679210415892e-05,0.5074243834874771
MiniQMC,0.02682715671414913,0.000431882312932975,5.6792341851004244e-08,0.03518396568698267,0.0,0.10901488659635554,0.0,0.011783313675122751,0.0,0.26008795447179217,0.25030750700598725,4.984153161597301e-08,0.06769050252929562,0.023097063349635138,0.0005802834317399195,0.013441801477286294,0.00597958689125522,0.030263087573155368,0.0010148849432538188,0.0022895528128268005,9.929693756291946e-06,7.224672945724542e-05,0.004266131344262261,0.2928740517298915
QMCPack,0.09148398683156643,0.019442547844877343,4.783574528187676e-10,8.964873587962859e-05,2.5495151974409155e-07,0.09994386046396787,0.021726112612485887,0.01670160359481157,0.00011280787859435808,0.4278105566905716,0.4273190925244041,3.241438716681245e-09,0.15398068566734258,0.0538794406165732,0.001191583466741391,0.0017433390247838492,0.00035660758930536123,0.037982540895533226,0.00162175773448906,0.0020194903579013428,2.5310392965733108e-05,3.613669202235537e-06,0.002786088619424479,0.5913800851750548
miniVite,0.5885142323619135,5.454559696877978e-06,1.080727385181737e-09,2.4465592074217545e-05,0.0,0.0,0.0,0.00043722126113934345,2.7441078578302353e-09,0.5492437431445587,0.5025019182498416,5.333205552924471e-08,0.7778369999718058,0.08426422687412638,0.0024032968175330123,7.766925317918726e-06,5.650443490570338e-05,0.08685633469363949,0.0040699625984997505,7.147892826426615e-05,1.924207048721535e-06,1.809612303990103e-08,7.556394870670863e-12,2.6572073484103305
vite,0.062061116124727436,9.26711092029014e-06,9.450495100826675e-12,1.4974168949853686e-05,0.0,0.0,0.0,0.2455849671287697,3.117206495937964e-10,0.3677399183537683,0.38495193771178987,7.228460852218337e-12,0.2350511741580576,0.04536643629740157,0.002236329039139812,4.627631102637187e-05,8.879785550544829e-05,0.04302473019616145,0.0024242608737195252,7.374280024961526e-05,1.1451836244159338e-06,0.0,2.016381427060012e-11,0.3805494527826255
