,IDI_MISC:WB_DOWNGRADE,IDI_MISC:WB_UPGRADE,LONGEST_LAT_CACHE:MISS,LONGEST_LAT_CACHE:REFERENCE,MEM_LOAD_RETIRED:L3_HIT,MEM_LOAD_RETIRED:L3_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_NONE,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_FWD,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,MEM_LOAD_UOPS_LLC_HIT_RETIRED:XSNP_HITM
ExaMiniMD,0.0007025927657335013,8.070989860778061e-05,0.0007525024637924262,0.0011258436610998481,2.4833645180942645e-05,7.333257303565824e-05,5.693246024039271e-11,3.75273176506794e-11,2.681072290648132e-05,7.423882766419905e-05,6.695343622633965e-10,2.497877378684476e-10,8.253451524732008e-10,1.8938830889742782e-09
LAMMPS,0.0005250473053984363,4.4698769664327054e-05,0.0005820064996356091,0.0008472260174568558,2.864315221595481e-05,8.968910894477139e-05,6.624130522099872e-10,7.451986463448193e-12,2.8980365719296227e-05,8.982869886466569e-05,2.4198028377770213e-09,1.1834620859062622e-09,2.894690771074603e-09,5.603058533356566e-09
sw4lite,0.0033974100910482965,5.037497223661343e-05,0.0034380106579232237,0.005494556395592218,0.00018468307234088208,9.788194947929692e-05,1.8949085923329437e-10,8.877868934094326e-10,0.00019147970322032929,0.00010230002950708076,9.961592911813522e-09,1.6484283314097632e-09,8.323249000866213e-09,1.8578099722461996e-07
sw4,0.00346584086414534,5.380194077515518e-05,0.0034984645166460963,0.005474916049406975,0.000177029797395005,9.444389619360493e-05,3.133066680954615e-10,6.614305524412197e-10,0.00018186899983500845,9.690117400668928e-05,1.0237083700310581e-08,2.2200139196343197e-09,8.437508632195413e-09,1.8110568904937907e-07
SWFFT,0.0031524406448402353,0.0010148881607002966,0.003283186306194473,0.0049697082612366345,0.0007330070068286293,0.0012779611151335806,2.798648790706861e-09,1.5265193441169006e-09,0.0007401980453756192,0.0012697032197660743,6.152415159758914e-05,1.0757445011131369e-08,2.1929848156922002e-07,1.2670419438054314e-07
HACC,0.005076196128469918,0.0003600578446234062,0.005431426495332264,0.007210328266469725,0.000335540763910393,0.0006752129780930956,1.2432851193652959e-08,6.152507502692943e-10,0.0003418970561319531,0.0006811036952547278,3.6968417229437953e-07,1.7610678531122498e-08,1.4000894348849668e-07,3.7518703691722546e-07
MiniQMC,0.0045399753782579795,0.00216114047894641,0.005028939197044982,0.006044369074806892,0.0005777723393863508,0.00022631229395988546,2.4170233417965284e-10,1.410220244618283e-10,0.0005740618697389287,0.000228509564392028,1.1098345101091117e-09,5.922605958698921e-09,0.0,2.700844285074525e-07
QMCPack,0.019144364650968613,0.0014897302493846337,0.01679240631612582,0.025202546217748017,0.004137708697752984,0.003595546351195497,4.907364967334698e-07,1.3139315891504538e-08,0.006913992288585788,0.004703189017997671,4.96106876257693e-07,3.39675561413919e-09,4.6182771260818396e-11,2.011331738041976e-06
miniVite,0.0018342192782635981,0.0010287648371650735,0.0034056278536943197,0.006853003694417882,0.0003623863354802833,0.0017345466116253875,5.924149580886443e-09,6.723850573736038e-11,0.001961472283206793,0.00383748547264656,1.3822402002963315e-05,6.432470105409718e-07,1.2313532145566206e-07,1.4693338729151398e-05
vite,0.08648747759123558,0.0045152891433044755,0.09321444127890913,0.15178502588756868,0.00024321203863112133,0.00047821088853259767,8.122364946704424e-10,2.147285525142705e-11,0.0005370100951018478,0.0006200466828040845,1.2827192472230513e-08,1.228218505665654e-09,3.3418903660086795e-09,9.592455354361483e-09
Nekbone,0.045970414490981514,0.0006562907281107928,0.04925487172453577,0.07735547303442822,0.0037739943178857656,0.0021179855107109264,2.123962854905856e-09,1.6353014131360994e-10,0.006227923583304402,0.002991869004373176,3.2425356395262567e-08,1.1287190121785963e-08,6.024021512847978e-08,1.12425035539619e-05
Nek5000,0.005088291687515305,0.0004024334065622498,0.0060500583679911814,0.009803159147428466,0.0007030551585099551,0.0004168238390884585,1.0291708428777136e-08,2.5374235606881967e-09,0.0008723090248723715,0.0004722616108826831,4.120686358061843e-08,8.76531296810741e-09,1.1121248454832511e-07,1.1983841767786723e-06
XSBench,0.009930865176618264,0.0018717902895293013,0.01122942406202959,0.013201089222446994,0.00034820266593364133,0.0057107205220134115,1.939372663909886e-10,1.5858573827142627e-12,0.0005667628089104637,0.007971433116445591,4.902740010527375e-10,7.196340158822574e-10,1.3927915766101894e-09,4.175229956349085e-09
openmc,0.0052585394530155856,0.00042578151221643303,0.021438283071622637,0.02582264240943111,0.0002834093481557756,0.007197517664446958,4.204360873731812e-06,8.015876119609336e-09,0.00017973381125587368,0.002003579874676937,5.2211855790035135e-08,7.904518660498752e-07,8.11598852432711e-07,1.2898620566049125e-05
picsarlite,0.012320836284252372,0.001809696897496479,0.015633455368438222,0.01996657634495014,0.0016186107659602335,0.007021115224801375,2.006914013437192e-08,2.1116716865516763e-08,0.0019403264623766398,0.00824885608464208,2.2347322502694764e-07,4.817691929677697e-08,4.632608354260611e-08,1.0355548881708656e-07
picsar,0.0076537708026217,0.001435045648493809,0.00935365087515597,0.011873827598303079,0.0013017560715071759,0.004964240808474759,2.3188908989017183e-08,2.4804318335351782e-08,0.0015235921538881187,0.005552814519336069,3.75707041708669e-07,6.035386729885636e-08,4.628318133553911e-08,9.154948619553832e-08
amg2013,0.006390465799694366,0.0003500508124328293,0.0067536954567193365,0.010426620204322216,0.00048163769127942805,0.0005222338002865798,2.0602210918345507e-08,4.222036363552536e-10,0.000489844935783785,0.0005381293859659435,6.0872536131577345e-09,1.929432568931715e-08,3.6635192371475363e-08,1.7371721801805013e-07
Castro,0.006112924862515597,0.0021864216335377947,0.007426461512843227,0.013206284997502895,0.0009458235084090547,0.0008015553243697753,1.3042987538599274e-10,3.1047045094780945e-11,0.0009752913899861588,0.0008138700542656481,1.2080279722447364e-07,7.754746097233103e-09,3.2118274845783916e-08,4.653982405081957e-07
Laghos,0.0390311094577684,0.0010642145038703896,0.04238470968297088,0.057634054804599086,0.0016883388315753847,0.0026968424528951537,6.084249313536412e-09,2.55836008240778e-10,0.002343805851808157,0.004249732742748556,3.530696419405791e-07,2.9549659550081848e-08,2.3822601012692872e-07,2.8121832883142504e-06
