,CORE_POWER.LVL0_TURBO_LICENSE,CORE_POWER.LVL1_TURBO_LICENSE,CORE_POWER.LVL2_TURBO_LICENSE,CORE_POWER.THROTTLE,CPU_CLK_THREAD_UNHALTED:REF_XCLK
ExaMiniMD,0.12569761748532995,1.2995106022137404,0.00034963977465068936,1.5435990637666672e-05,0.00872792650245097
LAMMPS,0.21483708227216075,0.5084466038015452,6.098897609842583e-06,3.5473629338815023e-06,0.002976092469135966
sw4lite,0.17487602776606795,0.007413054982203049,0.0,6.415731635280299e-05,0.0011993544229845444
sw4,0.1954441735206399,0.007360971058864543,0.0,6.648263699435369e-05,0.0014103302841715127
SWFFT,0.11196919388468714,6.262770120786583e-05,0.0,1.5761899198728312e-06,0.0006521594125691775
HACC,0.4798709273095192,0.17270917280475234,0.4447843145348197,5.469354185510533e-05,0.0020031684664339067
MiniQMC,0.16281868966979954,0.046798859828561655,0.18045513010083855,0.0003094966114288333,0.002607803203239875
QMCPack,0.18005191306633042,0.05416493004736276,0.2032061063712307,8.951127101927396e-05,0.0006882995345138921
miniVite,0.21097280986709974,0.0001178789872759988,0.0,0.0001704341903373843,0.001930436138763444
vite,0.962514755283397,0.00017865728163783,0.0,5.9883007099700635e-06,0.006612770396378918
Nekbone,1.03526348021902,0.0007213044444134376,0.0,4.8872245747936854e-05,0.005534670944097282
Nek5000,0.4232461979301401,0.009421879764224516,0.002201583475713877,0.00015821342106584358,0.003160066700881298
XSBench,0.6305378262175435,0.0,0.0,2.4283254996560462e-08,0.0038822311830877783
openmc,16.1925432000687,1.5360746795016207e-07,0.0,2.960259240771512e-05,0.14462995227818104
picsarlite,0.5684342286650663,3.639405164349786e-05,2.2712186999567872e-10,0.00018405003441430528,0.0029624314663803646
picsar,0.8727566141803212,6.110881969121985e-05,3.457137865084253e-08,0.00016247007469401362,0.003749917872282364
amg2013,1.342460901256628,1.3857666278863903e-05,0.0,1.7492822259397528e-05,0.007545862523928213
Castro,0.2879075606879251,1.1105311184285116e-05,0.0,5.7258258445871495e-05,0.0019512916879049675
Laghos,1.0061106857809166,0.0006506307340106032,0.0,0.0003919152330859076,0.004830847615810189
pennant,0.11892660785268593,0.008245996122266746,0.5157320223751448,5.6147897759169444e-05,0.004985336657484159
snap,0.0596725725206485,0.35427637783327154,4.3153921431350004e-07,0.00015877836316658978,0.002434188344515048
hpcc_dgemm,0.2078579424800684,3.1328187836708124e-05,0.918308539571745,2.557308457965662e-05,0.004716357050755585
hpcc_random,1.7082139247615469,0.0,0.0,0.00013712170920066098,0.011234647536044085
hpcc_streams,1.1249906756606498,1.1700844815682632e-05,0.0,3.0003989250725892e-05,0.004232304253592678
hpcg,0.741806422621029,2.1383523953425973e-07,0.0,8.281650112957299e-06,0.004004395491015086
