,CYCLE_ACTIVITY:CYCLES_L1D_MISS,CYCLE_ACTIVITY:CYCLES_L1D_PENDING,CYCLE_ACTIVITY:CYCLES_L2_MISS,CYCLE_ACTIVITY:CYCLES_L2_PENDING,CYCLE_ACTIVITY:CYCLES_L3_MISS,CYCLE_ACTIVITY:CYCLES_LDM_PENDING,CYCLE_ACTIVITY:STALLS_L1D_MISS,CYCLE_ACTIVITY:STALLS_L2_MISS,CYCLE_ACTIVITY:STALLS_L3_MISS,CYCLE_ACTIVITY:STALLS_MEM_ANY,CYCLE_ACTIVITY:STALLS_TOTAL,L1D_PEND_MISS:FB_FULL,L1D_PEND_MISS:OCCURRENCES,L1D_PEND_MISS:PENDING,L1D_PEND_MISS:PENDING_CYCLES,LD_BLOCKS:STORE_FORWARD,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,LOCK_CYCLES:CACHE_LOCK_DURATION
picsar,1.428276906867913,0.8659967289377978,1.3470382911599157,1.2766045177205172,1.2170377371449892,1.1317598025544244,1.1005839738679566,1.2890053389390848,1.2963663204870577,1.4854490912558624,1.7476170717533683,0.055699413850058485,0.012391935560508664,5.984367691772357,1.9919755659309784,2.4597686716479746e-07,0.02791400786169886,0.07267306856565722
amg2013,0.2457592158343842,0.2458546631120587,0.16134032892955813,0.16034775871732002,0.1260103649046467,0.11776972395015428,0.1795058680061783,0.16564368253254871,0.1469203861602823,1.1634452025466204,2.525230185338198,0.008031520538721727,0.005735786479321778,0.5048491136162846,0.3442026214499759,0.0002934216944158757,0.008964616865502859,0.6721815189579881
Castro,0.13969703383519136,0.11716761705899563,0.1009045740408962,0.09580955543023527,0.07134282331572707,0.06825879705988445,0.08683461382349503,0.07602607994337628,0.07190952501754562,0.21452777777448948,0.3767312681694236,0.02253113290119307,0.003537823048466164,0.5263542580904189,0.16304659032218566,4.8722937656611965e-06,0.012196661955503105,0.1091467316435301
Laghos,1.7175059007499534,0.8988307092961915,1.4189993030433736,1.2109036853700688,1.0652952755106806,0.9938447691415264,1.507364979571436,1.3400158157530435,1.1967790447214717,2.2986643806195666,2.763440729709528,0.2102737189807992,0.015218048600215287,5.419802970336752,2.351834479680769,0.0035039479862878364,0.020964034319883102,0.1424006388013405
pennant,0.5024958926280927,0.2531145614213305,0.276847926000527,0.25091512108981706,0.1899575419541992,0.1644598998775006,0.3666464594191384,0.2994939605819261,0.22830890616742766,0.7238132423485084,0.8984147585922431,0.10543349917141144,0.014350185095401185,1.3345047076194454,0.7211208390659506,0.00017120441850859,0.05814193468656141,0.04038512199254575
snap,0.2161777555024525,0.12621131663454274,0.14556653172350986,0.12602282649461158,0.09810328859788664,0.08211317475327526,0.13223583448171214,0.1275634849167306,0.11109986670809442,0.28154591978212906,0.3757311897590357,0.0038584857485794563,0.006862355788645885,0.590943086139276,0.36754378599263016,0.0010732712995897775,0.061668398984118175,0.062462584003548614
hpcc_dgemm,1.8797116865315195,0.917326279280598,0.2007388092576376,0.16448758509560096,0.13023567084273174,0.09966838448525878,0.1900816318153701,0.15481358561364206,0.12259447182953967,0.28178353043936843,0.33180418991357313,0.10566889443071552,0.09970144076863267,3.987102045834485,2.4674846545107965,3.064175028985864e-07,0.013319744760505094,0.046095500596627766
hpcc_random,1.6703087123192233,0.9687740807156848,1.5405632353948335,1.458400216060453,1.5832047462775098,1.1865056350487404,1.908429273953714,2.0019946786793126,1.8921573522435209,3.1204584740217904,4.669457529083709,0.008700242936300864,0.03110415728764355,4.986872260675468,2.800599987730185,0.0008469606324170066,0.04235779694983897,0.20404320512104526
hpcc_streams,3.6957257759400046,2.0957141758338875,3.73039148298827,3.019076190752089,1.8160526097474337,1.5093560948551619,4.266568358470314,4.544566632393618,2.341174336751369,5.97738487560596,6.3298629456833515,3.1272469926245927,0.003755627039401542,21.29104496649406,5.778345952385896,2.1408589588564782e-08,0.016739265941325458,0.09484067749223336
hpcg,2.317731182748303,1.3703703526529358,1.0560240522768995,0.906808487020314,0.6783691778728761,0.5453819785086959,2.1352831136233426,1.0393508001275384,0.7473472214237618,2.7921717624608826,2.842271863529956,0.010890119892124964,0.025254331693542232,5.047067680444019,3.3237070195675265,6.056651241504675e-05,0.021357047782478645,0.04689729154695658
