,CYCLE_ACTIVITY:CYCLES_L1D_MISS,CYCLE_ACTIVITY:CYCLES_L1D_PENDING,CYCLE_ACTIVITY:CYCLES_L2_MISS,CYCLE_ACTIVITY:CYCLES_L2_PENDING,CYCLE_ACTIVITY:CYCLES_L3_MISS,CYCLE_ACTIVITY:CYCLES_LDM_PENDING,CYCLE_ACTIVITY:STALLS_L1D_MISS,CYCLE_ACTIVITY:STALLS_L2_MISS,CYCLE_ACTIVITY:STALLS_L3_MISS,CYCLE_ACTIVITY:STALLS_MEM_ANY,CYCLE_ACTIVITY:STALLS_TOTAL,L1D_PEND_MISS:FB_FULL,L1D_PEND_MISS:OCCURRENCES,L1D_PEND_MISS:PENDING,L1D_PEND_MISS:PENDING_CYCLES,LD_BLOCKS:STORE_FORWARD,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,LOCK_CYCLES:CACHE_LOCK_DURATION
ExaMiniMD,0.18352324626251576,0.11623199639405295,0.011480741960099985,0.011390205831008705,0.010222063976723796,0.009946548341503379,0.02334956375595725,0.011427042442898595,0.011396881496368135,0.8568735804950334,1.0396106764759856,0.0011808181679412546,0.01779756008192997,0.2691912912430381,0.2802596531162989,2.690532250966102e-05,0.07780085853780222,0.7615348769235324
LAMMPS,0.035858844329038145,0.027943790306195204,0.010559049276714378,0.010431543783989531,0.008618807599938239,0.00841877378421233,0.015633806279093648,0.009641759033460841,0.008454657895580083,0.26528324771565753,0.2890542195136119,0.003001921024832801,0.003898351192686872,0.09235036856137877,0.05649193358778719,0.002567958195824098,0.08219293159903429,0.009005832633141794
sw4lite,0.11043146856938904,0.0940596273610076,0.050866224123909176,0.04895780878783455,0.031030871696076236,0.02849767720031917,0.07835049483244934,0.04524202944212045,0.030099048470086414,0.0951200215523523,0.12863914630583315,0.008833366216639436,0.00465344632774031,0.2867737391163999,0.13692809680547244,3.182627749548022e-05,0.006060988281917227,0.009825457715596257
sw4,0.11770222801485222,0.0954919898389354,0.05334957533107633,0.04733416155546618,0.032692727859296083,0.032833952332768354,0.07947154227341352,0.04647687812060058,0.03185748744189126,0.12281857752921985,0.16659812105309071,0.011142996463270374,0.004078137963005282,0.3017240785356533,0.13973172353160898,4.070227954629582e-05,0.005934077137068362,0.009420185551419224
SWFFT,0.16043491509870014,0.14863622732111487,0.1490665099341048,0.14360420403942992,0.13900335291599553,0.13820399596161145,0.15609430202778826,0.14498754624966784,0.13262264389123288,0.17117241393550858,0.2434610777132313,0.027326426861154246,0.0013553104415721345,0.991878477590135,0.17657960270069678,1.240203364071654e-06,0.007924100475776508,0.035197240999590415
HACC,0.13398208695423078,0.1288054746456238,0.12011671555066758,0.11711197303234593,0.10163704186267347,0.10067362751891724,0.12963328727032367,0.1130582327538346,0.09717870709885644,0.183578042600114,0.2968705614959329,0.043448511698283065,0.0036182241091836944,0.5910929650759853,0.1571157118226093,0.0011881523820123714,0.026118658258304388,0.08152937008721411
MiniQMC,0.22951579896455526,0.2496683711241721,0.2278338741566683,0.2324495580949891,0.17917757420687142,0.20303682558862246,0.2113507093258907,0.20182723678583409,0.17876649348103904,0.2322377785684564,0.2153871517803035,0.0488157988295762,0.0018092289222436653,1.2026406330802757,0.2684943121576288,3.2393875567102973e-06,0.007948039628161301,0.0018290022416283067
QMCPack,0.5556927290050986,0.4652717432286752,0.5606922581808002,0.4579695519947265,0.5792735235810105,0.5285040062273618,0.5979568636323688,0.6492752133075759,0.5827866302209885,0.6290244212178863,0.6260226691889811,0.4999537303153057,0.0010526502531532996,5.274202500913511,0.6971934897065919,5.332795444633724e-06,0.022773385231333484,0.01498734392205093
miniVite,0.25054629439338283,0.2431291354557906,0.2435530208973753,0.23401681862892385,0.19522597936005065,0.1899308342622225,0.23279380523794915,0.23485482643700656,0.18619631766244388,0.2203714440338724,0.19598012560012906,0.0037384929841778563,0.0017948086489246366,0.40278652086419,0.2510520352571755,0.0003219878109598787,0.0020452249133086284,0.0312752623433796
vite,0.9730502935175114,0.4011977721835624,0.28060698322908784,0.2266752798627816,0.206830154243522,0.17526567431353918,0.8114391152509371,0.27735357963230634,0.22536041854948854,1.2420945921362434,1.3148548915917548,0.00011974492163408326,0.01261126341978078,1.4231969385607983,1.4039099847772274,8.040002152281298e-05,0.0168156168890611,0.02263437986727931
Nekbone,0.19906219994755672,0.14128556067720238,0.15026507860267171,0.1371134802107628,0.1055740684794018,0.09880620309706516,0.20466110926296288,0.15327074715460715,0.10958568577841993,0.24547983354857736,0.2598424986403652,0.04619759541382503,0.0009844826462737267,1.2213098986979878,0.26092503083573537,2.5934872520788214e-07,0.0057041089239179155,0.01166882765684178
Nek5000,0.5958292985390226,0.4259325025248703,0.4413877500601045,0.39479258066187983,0.2697346675817602,0.2530168632366889,0.5624338990916617,0.4321742115104165,0.290441598827135,0.7171588961458172,0.7607959447613613,0.03657300429165563,0.0016188569548891793,3.08377998653352,0.7772210875454701,8.231660581265879e-07,0.009226254637533212,0.03185413602549448
XSBench,3.500302951926221,1.5110625139171108,3.6085322070799934,3.177148304819156,3.317491559479352,2.7819855088952594,3.810410037222253,4.1978381693405336,3.9999489105384702,5.004539168586346,5.031156537297397,0.006252848590679425,0.013410891828733815,9.797833776202273,4.999434528327266,1.3501516436131397e-08,0.002225822263204836,0.012193279647966591
openmc,0.7779736669709127,1.0505161539459344,0.5989218140780228,1.0528052586353804,0.5106359736893891,0.530970257860558,0.577802507982754,0.4593006843734984,0.4368170401794976,0.7657391149018205,0.8189645563542156,0.0001632208240791272,0.005229081346883415,1.34259389420398,0.4581477168539189,0.003296078631360664,0.0022369694667317744,0.04082189284936283
picsarlite,1.5790503900580362,1.09644082544127,1.5505144710555272,1.4004106473417577,1.4814137534465122,1.2334899240140846,1.3738269857054213,1.562568881821568,1.5727728378031247,1.9347373258644736,2.3664361448806503,0.1118763586333305,0.013687644615605041,8.041633713394647,2.329383987224193,4.4504138682487956e-07,0.029679692094000943,0.06278089548412548
