,ARITH:DIVIDER_ACTIVE,EXE_ACTIVITY:1_PORTS_UTIL,EXE_ACTIVITY:2_PORTS_UTIL,EXE_ACTIVITY:3_PORTS_UTIL,EXE_ACTIVITY:4_PORTS_UTIL,EXE_ACTIVITY:BOUND_ON_STORES,EXE_ACTIVITY:EXE_BOUND_0_PORTS,FP_ASSIST:ANY,OTHER_ASSISTS:ANY,UOPS_EXECUTED:CORE,UOPS_EXECUTED:CORE_CYCLES_GE_1,UOPS_EXECUTED:CORE_CYCLES_GE_2,UOPS_EXECUTED:CORE_CYCLES_GE_3,UOPS_EXECUTED:CORE_CYCLES_GE_4,UOPS_EXECUTED:CORE_CYCLES_NONE,UOPS_EXECUTED:STALL_CYCLES,UOPS_EXECUTED:THREAD,UOPS_EXECUTED:THREAD_CYCLES_GE_1,UOPS_EXECUTED:THREAD_CYCLES_GE_2,UOPS_EXECUTED:THREAD_CYCLES_GE_3,UOPS_EXECUTED:THREAD_CYCLES_GE_4,UOPS_EXECUTED:X87
ExaMiniMD,0.005687678092720102,0.024178131172673797,0.031389365983085005,0.036629033747724485,0.03292513007790575,0.0017503244169236733,0.0013831369962245964,0.0,1.755332611839144e-07,0.5174623710439874,0.15527577189384228,0.14592414469828402,0.10206179427346523,0.07230208674418072,0.029114439378622407,0.029092940102773364,0.5108045572711188,0.16209821917283046,0.1328074560193639,0.10276059668070887,0.06839740984655875,0.000905390047428132
LAMMPS,0.0249756921054684,0.0973872887108557,0.14078231671658406,0.1762667563150244,0.18205618125706696,0.00961072568436439,0.0026556041344876946,0.0,0.0015247023584147215,2.600080566166365,0.7693199500522689,0.6683596683693366,0.5294268180414573,0.3630457310681304,0.08544871548333212,0.0855259545009382,2.5838925647046014,0.7581381367209129,0.6654610137166551,0.5316418240100979,0.3636082873083116,0.0020626947919678397
sw4lite,0.023522273389673647,0.011368436816743184,0.033090851566471645,0.040621595807270615,0.03999585280807055,0.023755678656045668,0.0017401096864707749,0.0,3.008785548595925e-08,0.3950473681760498,0.12524147152980106,0.12132550543901795,0.08866542620360626,0.05029204687795934,0.09129752887989223,0.09067170670351524,0.4384689301396841,0.1263847232691188,0.12074540994610315,0.0887280884116179,0.04988851151481951,4.150176193514499e-05
sw4,0.024299919524346743,0.009806265549131058,0.022737967055093542,0.033497903333039966,0.032337424362710324,0.03616355779395408,0.0014823261504079506,0.0,1.2824306676453108e-07,0.3115372282285321,0.10123054939592273,0.09493500726596482,0.07229090799350192,0.03988161993848242,0.0968506680505086,0.09698016892191434,0.3109959428269649,0.10131654230484592,0.09496116992024346,0.07234879374532949,0.039571160492260914,3.888747548507384e-05
SWFFT,0.012475740776481158,0.03955744515642105,0.03128292409675948,0.027656161831079468,0.024575335593279242,0.06151277226852636,0.0052175232696979115,0.0,6.868701171835975e-07,0.3858228360511041,0.13898101987667796,0.10278674887205903,0.07224558276353803,0.04554266179286536,0.13731774432297308,0.13718990361658442,0.3844464401907535,0.13943269687594848,0.1023960914710701,0.07176502680157894,0.045052754480171514,0.0013842525762634385
HACC,0.009228807408774015,0.0634443265527176,0.08305053091609907,0.0507452347720853,0.02718704007240354,0.08507267522267811,0.006343681174815418,0.0,7.69547901205235e-07,0.536020623550599,0.21263809409381507,0.15657672105154466,0.09387618702139468,0.0710919727741179,0.20314554900309384,0.20312408319909667,0.5346910870893596,0.2124952979946696,0.1564833741719394,0.09386234669868447,0.07100422809425652,0.00019383523739788204
MiniQMC,0.017505427261312347,0.04011962768421685,0.03480422308615595,0.021668588771720315,0.012027541083009215,0.0062857769154573495,0.006422652366187909,2.615423098664355e-11,1.8353827372425927e-05,0.3616871484964274,0.11563572381037215,0.1031550488082423,0.07634307688620444,0.0452894231156468,0.1706994680139649,0.218194619287294,0.2464450568531971,0.10171137044239424,0.07038722136073415,0.03743058152300871,0.016821317169109753,0.0047423584240816035
QMCPack,0.017691828119148784,0.020831433241653947,0.03380481110198007,0.03383650494460775,0.02653973183055603,0.01009539193979349,0.005626357083080704,4.891061672035488e-12,4.8098093592306e-07,0.5202826719508034,0.14993143213585233,0.13376837735366034,0.1036908542916948,0.07263010977620417,0.16723822260516408,0.16735733245607365,0.5198738254516312,0.14983401632764673,0.13347828652879046,0.10375555412759348,0.07260577234961463,0.00017380446862739986
miniVite,0.01455069078003891,0.028179881072328883,0.037141920603057696,0.02726946712924437,0.03667173808528483,0.002968571441286935,0.011973540698477015,0.0,4.526221380711478e-07,0.6277170562274117,0.19903059765749584,0.17302299582463398,0.1282927583641027,0.0985958259371303,0.184849307824322,0.19816707244238985,0.6540540194026592,0.18940139768888994,0.16163702952730288,0.12327427198898948,0.09887318867243276,0.0024356749306952445
vite,0.2365975252129353,0.041156668478457316,0.033924959246165114,0.05236413532523898,0.04090274292131765,0.0005110468410248098,0.004374748026099703,0.0,1.9331487778460218e-07,0.4075590570571597,0.12778480050111546,0.1256965077067702,0.09435926964859813,0.05216149370692852,0.07333811800757069,0.06877845841507177,0.3747098464611521,0.12512008868773322,0.1170210152799688,0.09502070881249083,0.052023037758748863,0.000520770130041936
