,ARITH:DIVIDER_ACTIVE,EXE_ACTIVITY:1_PORTS_UTIL,EXE_ACTIVITY:2_PORTS_UTIL,EXE_ACTIVITY:3_PORTS_UTIL,EXE_ACTIVITY:4_PORTS_UTIL,EXE_ACTIVITY:BOUND_ON_STORES,EXE_ACTIVITY:EXE_BOUND_0_PORTS,FP_ASSIST:ANY,OTHER_ASSISTS:ANY,UOPS_EXECUTED:CORE,UOPS_EXECUTED:CORE_CYCLES_GE_1,UOPS_EXECUTED:CORE_CYCLES_GE_2,UOPS_EXECUTED:CORE_CYCLES_GE_3,UOPS_EXECUTED:CORE_CYCLES_GE_4,UOPS_EXECUTED:CORE_CYCLES_NONE,UOPS_EXECUTED:STALL_CYCLES,UOPS_EXECUTED:THREAD,UOPS_EXECUTED:THREAD_CYCLES_GE_1,UOPS_EXECUTED:THREAD_CYCLES_GE_2,UOPS_EXECUTED:THREAD_CYCLES_GE_3,UOPS_EXECUTED:THREAD_CYCLES_GE_4,UOPS_EXECUTED:X87
Nekbone,0.00749275057604662,0.06929136586837423,0.052639695423971546,0.0952215425001982,0.051533235214484586,0.05063163631864187,0.009733698211988526,0.0,1.9310944930082022e-08,1.3835809339477751,0.29344400630322104,0.31282336630385826,0.1961886564946775,0.09332663294966477,0.2548614709105347,0.2544126939951025,0.40617945023021057,0.11501357779638445,0.11518285733955208,0.10082570941427718,0.07328213984341066,0.0008642603875217401
Nek5000,0.003402228429836757,0.01908608862048994,0.014281665335669562,0.014738970161978969,0.01351925021183803,0.013917019682126042,0.0030424633528920025,1.373547892916339e-13,2.4209499754169018e-08,0.2623780910233887,0.07733966348364278,0.06294452264817522,0.049755092048407855,0.0426096564183982,0.08547819243073762,0.08473536939283688,0.26392554335901997,0.07699285203225051,0.06195137817137309,0.049246345320104704,0.04051688973323663,0.00013287291402004235
XSBench,0.003382179242425405,0.015276453943822113,0.01611150584347885,0.02078406980263226,0.020624056134989452,0.0016353213906852909,0.0035706122962626025,0.0,3.7296009169239883e-10,0.32482995565896183,0.08954865986127103,0.08017255705978979,0.06671870384110969,0.04946743541437122,0.13169256654188286,0.1653490203069608,0.35857443981911075,0.09642775719294612,0.08913200202806203,0.07277578044230851,0.05231126441097337,6.212699054747336e-05
openmc,0.04385993512134269,0.2937602833283423,0.33481156574752463,0.39116009165130217,0.3702752424590421,0.12598923968727258,0.02012870341495756,6.5352595766718916e-09,7.030098535533401e-08,5.0667837870708565,1.854013286320657,1.3819685475673236,1.371650345885021,0.5266525789366507,0.5455641152328337,0.451371199136949,7.361279952757082,2.029345889388294,1.5085014268610029,1.2992699212137078,0.6849633593653803,3.033685271968545e-05
picsarlite,0.03766481746552227,0.02456985054276529,0.028548535787556194,0.03723250490566926,0.04610201008566383,0.02997015893566388,0.008295945135942224,0.0,3.2010647404595656e-07,0.6280999086917308,0.14560593405235853,0.1537076543637534,0.13970277225545685,0.10731293053338713,0.14240153807083042,0.1421494807236579,0.6320869902478282,0.149278504620783,0.15483910541932586,0.1391883812282447,0.1068488470170458,0.003211995636923666
picsar,0.03564591124645977,0.02944262533255245,0.02728654092224065,0.036524320318368365,0.04888538332466663,0.03101525940149585,0.009358107973565562,0.0,2.797804200856191e-07,0.7053329921618419,0.1683058561490129,0.16783571743216266,0.15144860858047116,0.11713014879179245,0.1535030985494652,0.15077122393057604,0.6986171310640206,0.16780679922097178,0.16776003144626722,0.15080266141645746,0.11576440750872755,0.00027424906681489304
amg2013,0.013554195136880021,0.05976140833481468,0.041034682684101265,0.041797580661486936,0.07088524092240121,0.033511314874633436,0.009274187599243151,0.0,5.4812418841750124e-08,0.5011016401680071,0.15521142956660594,0.12781788741884825,0.09471013959808658,0.06885094937589413,0.12750921029913526,0.12695426441835975,0.4312569000253698,0.1422159794077318,0.1240813661116342,0.09078007879421536,0.07576039237052049,4.627406135292862e-05
Castro,0.0541716934541839,0.016718412945283666,0.029408476374298005,0.04476238516590005,0.03972355079376997,0.06299432812467462,0.0056554464497470865,7.044637193408162e-13,2.396261483155923e-10,0.5047611960717214,0.14590753730738576,0.13826746749447796,0.11188990330090363,0.06972987185698892,0.11613117298831135,0.1163755396824432,0.4990715449494694,0.1435468406447697,0.1406605254827001,0.11260743567633187,0.07011649391420552,6.872899659978137e-05
Laghos,0.05492546906699941,0.02536709189307888,0.025471583209046755,0.02254472859806443,0.02863005596833533,0.020881480128899028,0.006500248343571889,0.0,2.4290855584625034e-08,0.3596327036579524,0.10396048725527687,0.08959834126932997,0.07468429583637286,0.056277657378984935,0.08634217883541412,0.08448426922378004,0.3543487332814812,0.10420605526714792,0.09089679382185983,0.07267418046032496,0.05488397178645029,0.009552377582321721
pennant,0.012725969708294349,0.027114584913877804,0.02669599457385633,0.011416958285589756,0.009797992348584542,0.005796853819529767,0.001445063125549732,0.0,6.7438043202223e-07,0.14467285781053293,0.0675685564461395,0.04311657767693847,0.028693597922297382,0.01797225209157326,0.04683326411489151,0.04673397337735327,0.1367895932599576,0.06417762303132021,0.041637738021433786,0.02639717609226284,0.018305988792659773,0.00026761531887638284
snap,0.004946804920389283,0.006499751014409275,0.011230550662818214,0.014443648245370071,0.014911938403764303,0.012377944923497308,0.001881029107741345,0.0,7.214132142185838e-10,0.16260979559732064,0.045825544503424125,0.04241870998961296,0.035737477317322866,0.027338994976795726,0.026993679618408397,0.02692949339254596,0.15776253149841493,0.045208719523866486,0.0422110584020444,0.035341607737621815,0.02740875486531352,2.0768410348972897e-06
hpcc_dgemm,3.867236892494917e-06,0.029025301537438493,0.06425156120442363,0.19890671331085605,0.08169398685630003,4.186002853443235e-05,0.00583771766179615,0.0,9.5109864416189e-10,0.8730749657486416,0.2900152026830647,0.2997960391404421,0.24025655305044935,0.08553862762114303,0.06393053098590254,0.06390075500311777,0.8632644453573484,0.2855480739460592,0.3041614924122969,0.2486695451824721,0.08408034792850734,4.462164734432046e-07
hpcc_random,0.0005112939614243048,0.03979016818267948,0.05043447837077221,0.053957989397943135,0.047624544048173116,0.020488352637128303,0.008292081175538505,0.0,1.3396686035264694e-07,0.6875777387772052,0.26504943697089584,0.2186172170184367,0.16009852301971844,0.08980226411845094,0.27145328453449824,0.3058376756123858,0.7033644095280669,0.2360464921425197,0.21825017867927904,0.1631351518718265,0.09063904142041236,5.7558092813979044e-05
hpcc_streams,1.0435050488283232e-07,0.009008860371264324,0.008373704263272821,0.005076893665985795,0.004359412323313763,0.02185480162187277,0.001405881594152173,0.0,3.038603798244862e-09,0.08859451080047373,0.030375588874575712,0.022801684527465258,0.015074557234997144,0.010503342731654935,0.1396680366069844,0.12918438253813805,0.08438962682650265,0.029655731382114768,0.0229758887745636,0.014546214773700272,0.010334845029298694,1.0960772146451376e-08
hpcg,0.021645294627597282,0.030713692271008793,0.03040100099070875,0.02416442814364941,0.014675882612881075,0.004136999073592406,0.004927064635367183,0.0,7.414339909242205e-09,0.277732587170077,0.0984292800702771,0.07629937366883421,0.04554142855070563,0.023216321950543288,0.11354135274316195,0.10178107857303642,0.2727169732816119,0.1170481982035276,0.0776199482318101,0.04374464219522875,0.02393740021798766,0.0025442300958078987
