,ICACHE_64B:IFTAG_HIT,ICACHE_64B:IFTAG_MISS,INST_RETIRED:ALL,INST_RETIRED:ANY_P,L2_RQSTS:ALL_CODE_RD,L2_RQSTS:CODE_RD_HIT,L2_RQSTS:CODE_RD_MISS
ExaMiniMD,0.1318810294847714,0.00011964595755046108,0.827815255904256,1.076947401619566,0.00014268602208099176,0.00013381898729328238,6.615316477879676e-07
LAMMPS,0.04830352546399037,3.211875475817859e-05,0.1721993336676883,0.17295501685067474,3.2236518538466886e-05,3.2494924482880966e-05,1.4830104145454362e-06
sw4lite,0.02756628929189846,9.426004725995566e-06,0.3080135246496243,0.2976982934636277,9.472893681514701e-06,8.275833200480596e-06,1.8940325039867344e-06
sw4,0.02682022339276344,1.5718214480834888e-05,0.323860027237076,0.324442514474379,1.5694880146317874e-05,1.4960000549771924e-05,1.6408002884995932e-06
SWFFT,0.04992470526278426,8.406034087282853e-05,0.2760565181822659,0.2771155333896923,8.375095299100888e-05,8.291183076519761e-05,8.844503590886208e-06
HACC,0.0775097823375928,0.0002787081308810354,0.4328316179979693,0.4324281590137121,0.0002785465970671853,0.00027695916017866153,4.068952141889066e-06
MiniQMC,0.03646031611298512,0.005273423465794267,0.2466418307585199,0.23600052674238264,0.006174237475226893,0.006149545659189484,8.764925453772887e-05
QMCPack,0.08760220401670017,0.0001668120925616521,0.4195543385678559,0.41930607955909255,0.00016636869939400944,0.00012372179238887704,7.865748460763969e-05
miniVite,0.10105745158173883,0.0013477834147770419,0.4968111180378068,0.4966412346295074,0.0016739391184604248,0.001701917648985528,1.8616176102917482e-05
vite,0.09821725762264788,7.2325904471293044e-06,0.3897916458708083,0.4660384311389249,7.68100624647771e-06,4.099846927651766e-06,5.4703260010502025e-06
Nekbone,0.0775959947003556,0.0010783708984478926,0.4653453297552982,0.5759313849874713,0.0010677036943542704,0.0010277056637962153,2.0449038998606804e-05
Nek5000,0.04781915877035119,8.012120951533648e-05,0.20831874552940605,0.1950765154446252,8.007598650279038e-05,7.940406818250881e-05,5.145430308554401e-06
XSBench,0.057466136259178485,1.785262075224404e-06,0.27981983582527403,0.27664413428227,1.7546357612029441e-06,1.786289225588332e-06,4.242627330042699e-07
openmc,5.18998705162273,0.036600140601060566,39.5204148796429,1.136490113639319,0.04715377027344804,0.04917507650683868,0.00021316928454571585
picsarlite,0.09113203603474483,1.1521559415780392e-05,0.5689599025244341,0.598570279046694,1.1499919126604107e-05,3.2014052436007336e-06,9.035184703898309e-06
picsar,0.16200625410681824,1.4472324249814695e-05,1.0116559805716183,1.0368657227209557,1.4484309989699988e-05,3.6504978771704254e-06,1.1084263892035368e-05
amg2013,0.14745877222315398,0.0006183031001265798,0.3897658576343337,0.3982389436937952,0.0006034461589233106,0.000595396847933595,4.229378229709959e-06
Castro,0.048580882815479516,2.8863134583117157e-05,0.4664174636824711,0.4830334511269866,2.652963019509643e-05,1.917985662320862e-05,1.9445219652273127e-05
Laghos,0.07473453460470045,2.4528834714973668e-05,0.3997022417907097,0.471297856911498,2.3833589503183224e-05,1.4359298134152729e-05,1.576656014499019e-05
pennant,0.03915236984218568,0.00027478159550577147,0.27947325151975605,0.3211785806447095,0.00031205745081929403,0.00026638626776683466,3.525416369418479e-05
snap,0.12141907613526914,0.00032222729380082434,0.31279654518844635,0.9964322419375804,0.000567063467139978,0.00014313428021502564,0.00044073853658433136
hpcc_dgemm,0.04422105541993215,1.049056469119906e-05,0.4180115125548505,0.4668298794706168,1.0579138869137367e-05,2.3013837866704032e-06,1.2018361237358686e-05
hpcc_random,0.06547276404081517,0.0019739588594788987,0.2653809926657707,0.3087094029498925,0.0021167139308499805,0.002066452062423193,1.4986738631178226e-05
hpcc_streams,0.031945899227675614,1.8094981937301057e-06,0.14926451743746785,0.202712363119018,2.572228651970306e-06,1.4311400864079843e-06,7.813097374610449e-07
hpcg,0.041017543578892916,6.8222369929738524e-06,0.2410969792184848,0.2808643146031459,7.169275663832841e-06,4.969282070561765e-06,2.695161112970056e-06
