,FRONTEND_RETIRED:DSB_MISS,FRONTEND_RETIRED:IDQ_1_BUBBLE:fe_thres=2,FRONTEND_RETIRED:IDQ_2_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_3_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_4_BUBBLES:fe_thres=2,FRONTEND_RETIRED:ITLB_MISS,FRONTEND_RETIRED:L1I_MISS,FRONTEND_RETIRED:L2_MISS,FRONTEND_RETIRED:STLB_MISS,MEM_UOPS_RETIRED:STLB_MISS_LOADS,MEM_UOPS_RETIRED:STLB_MISS_STORES,UOPS_RETIRED:ALL,UOPS_RETIRED:RETIRE_SLOTS,UOPS_RETIRED:STALL_CYCLES,UOPS_RETIRED:STALL_OCCURRENCES,UOPS_RETIRED:TOTAL_CYCLES
ExaMiniMD,0.0015641498503743613,0.03732314557891543,0.011313007487645526,0.004732003914092909,0.004100253806376568,1.9086138886461638e-07,3.9321031440641654e-05,9.755883275283983e-08,2.4331143383596857e-08,7.446229114117456e-05,7.324315062019411e-06,8.620960895482671,6.8483431207038725,0.7428728370908664,0.2501934138603138,3.884237895057256
LAMMPS,0.0011849035389332036,0.01005854004983912,0.007500033332203755,0.006313463072356393,0.006264027760912625,1.9706137051543489e-07,1.5554991109346175e-05,2.5150838340078165e-07,1.4630936731822705e-08,3.679385772249455e-05,7.552420400982422e-06,3.6205757276360617,3.502775962938278,0.389779964780079,0.1292968510515668,1.580506040704739
sw4lite,0.0010944623699915604,0.028917363038041738,0.011288631421299513,0.00273263589867715,0.002697596765033024,3.873093857026855e-06,1.7587131344919556e-05,4.177155245495191e-06,7.723644872013877e-08,4.225196944701398e-05,3.440910730468403e-05,0.7629508728681709,1.0841857247020297,0.1564900035130566,0.04640553465992102,0.39600952224517255
sw4,0.0004786589374818829,0.05058701881162233,0.02674428338300056,0.002193980337458168,0.0022112829341305435,1.824221377464289e-07,3.148363164471641e-05,5.678622966956965e-06,6.628286159994713e-08,4.4991262429473494e-05,3.559646259407381e-05,0.7540505114022226,1.0132027773892032,0.15754391032697204,0.060991602421581366,0.5989586353648884
SWFFT,0.00046178339557274763,0.012437812744447723,0.010059003754619787,0.009999519725622104,0.009975214041302369,7.041254794870189e-07,1.0389217580479312e-05,2.2094471719707816e-06,2.3481237379265963e-07,0.0014127997157906652,0.001081834964730809,0.6236914096175928,0.6003936742583144,0.1881080786922644,0.01963262074197446,0.31376555187476873
HACC,0.0021473770372906825,0.011516264445634495,0.009047708291821048,0.0020613690860302467,0.001322281943951549,0.00013098805457471946,0.00031301125908522563,1.71841440295596e-06,4.7674423862606496e-07,0.0005487228157480785,0.0005076725817747281,0.6374321603669277,0.7344397039020801,0.17020900786387844,0.056879757542118936,0.26995990654936197
MiniQMC,0.0007049766983897081,0.001983462330889868,0.0011942053530823336,0.0008583058169212102,0.0004802870618694334,0.0007247016164126319,0.0003887229019514428,8.597517698395018e-06,1.0783093093491873e-06,0.00034243557834119046,7.446960554857948e-05,0.25144692073032365,0.2318837491298195,0.0958322675896826,0.015298585369124462,0.07202437780402862
QMCPack,0.00047662102110614005,0.007248634657693956,0.0064966288521038215,0.006156543436903179,0.005989902995467213,4.917268220701362e-06,7.41851417257463e-05,3.4316991965266806e-05,4.135491226880732e-06,0.0004948759867703281,0.00010587476894260188,0.6333052434785091,0.5613704368523815,0.6781339794245047,0.03356161077892768,0.7241324556236254
miniVite,0.0015373693454834958,0.0075946902279172964,0.006712840825848982,0.0054608304682383394,0.005500614866680042,0.00010912929497059609,0.00030445267585799715,3.2152314719492127e-06,1.5868612671887409e-07,0.0007944516509811464,0.00010808460981587328,0.7986722258014267,0.6552778852349965,0.24780897656358,0.010144451890729236,0.14979111642727644
vite,0.0005204423126322439,0.021195026235777847,0.0018393808820545718,0.001079384625172933,0.0007962373475044885,8.056589728232096e-07,5.776140725652907e-06,4.102487616886427e-06,5.55602576711785e-07,0.00034390244952239434,2.7859491234439497e-06,1.9055568496773885,3.7083042142725877,0.4388382756090259,0.01575595307938811,1.962341082665133
Nekbone,0.00015932217140276578,0.0021878858699297212,0.00140608551229503,0.0008040039762420576,0.0007730310696220964,2.906589580987843e-07,3.9153683747610435e-06,1.1673205928301683e-06,8.422729556600653e-08,0.0004894611957622921,0.00023069585634112748,0.4181125277659045,0.4107689525567712,0.12469528967268348,0.011034950265506344,0.13895870496193016
Nek5000,0.0012803160111539873,0.0025591539833740807,0.0020270618160452376,0.0008966812089615547,0.0005880727154421491,0.00011050568958314375,0.00024765028566569046,2.211139168490911e-06,1.4388434488900342e-06,3.1918535866169677e-05,2.116610562996744e-05,0.6516158824124425,0.5961329915424664,0.3373108615775225,0.018356884278383397,0.4994910369649626
XSBench,0.0017705610710281852,0.015014938132977357,0.0039078590353414985,0.0022842380764141576,0.0012642247099842825,2.4591070038513107e-07,3.872884457574922e-06,2.654313542673758e-06,1.059095397743515e-08,0.016661750473465794,9.029651435168986e-06,0.4099216417327277,0.8251955295711951,4.505724307123777,0.1879336066207299,4.961039880256508
openmc,0.032653893111601294,0.050544229065328516,0.047672332965371336,0.031871145519156804,0.023959723004776216,0.008584890598007067,0.017021048380409208,3.935723213500889e-05,1.0567954453961203e-05,0.0009508129250797395,0.00012958740200009342,4.59568849017672,11.300444128538278,1.4491989410429855,0.1001046345150747,2.901525233553608
picsarlite,0.00260230304043833,0.0256476709229277,0.0178571714057721,0.008820285642429107,0.008117122432902059,1.7634210500089562e-06,2.273071578575513e-05,1.6903351133923252e-05,1.4024294233001775e-06,0.00198101343051093,0.00020350617680285803,3.2814216527792475,4.756691417895466,1.5348832647762194,0.1886874028868604,2.828081167760953
