,FRONTEND_RETIRED:DSB_MISS,FRONTEND_RETIRED:IDQ_1_BUBBLE:fe_thres=2,FRONTEND_RETIRED:IDQ_2_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_3_BUBBLES:fe_thres=2,FRONTEND_RETIRED:IDQ_4_BUBBLES:fe_thres=2,FRONTEND_RETIRED:ITLB_MISS,FRONTEND_RETIRED:L1I_MISS,FRONTEND_RETIRED:L2_MISS,FRONTEND_RETIRED:STLB_MISS,MEM_UOPS_RETIRED:STLB_MISS_LOADS,MEM_UOPS_RETIRED:STLB_MISS_STORES,UOPS_RETIRED:ALL,UOPS_RETIRED:RETIRE_SLOTS,UOPS_RETIRED:STALL_CYCLES,UOPS_RETIRED:STALL_OCCURRENCES,UOPS_RETIRED:TOTAL_CYCLES
picsar,0.0011061998427719453,0.003753752713003959,0.002789809832217233,0.0008387474145743468,0.0006122352630321442,9.225319311008023e-07,1.2833257397484968e-05,1.0104047368336557e-05,5.529155750299929e-07,0.0014302565492675578,0.00020769188675547648,2.906399822343445,2.886621691552567,1.1434397444685445,0.07268813700613264,1.8589309110899384
amg2013,0.004093346154357058,0.02165038856566441,0.01006876737032775,0.004353184443769321,0.0021724316408190227,1.143178461129745e-06,6.881018729136228e-06,2.61601781885102e-06,3.5952964501288647e-07,0.000285308946975555,4.774868781640271e-05,2.5496208036764534,2.9174010633457637,0.8957318496922723,0.0949108712364896,1.6528301397685474
Castro,0.0011725518491418313,0.004376582923276579,0.002705755813060159,0.001122853721681531,0.0007816096467497469,0.00018813400681297243,0.00034036603256928954,7.662596410525993e-06,5.161539857060272e-07,4.0237983225138894e-05,0.00010081195399501644,1.1682924063750455,1.4883919066489253,0.24863075898123216,0.0347048985077977,0.6030001111350296
Laghos,0.0031993834121887,0.08655735137784712,0.023006359649203344,0.0023060621765299072,0.0014235545464170133,2.166387887379275e-06,4.863713963243298e-05,2.262169415392778e-05,1.1370938011273717e-06,0.0005295815920846838,0.00013434797720582894,1.6129260742431786,4.472693312900094,1.044973711467139,0.12167713099882935,2.207515335329635
pennant,0.0035016825837561514,0.01442411028448879,0.006183184166326825,0.003407674077057855,0.002113384035938305,3.1968869958720973e-06,0.0002742055700383045,4.6110994118142166e-05,3.023601086702791e-07,0.0001238456831327458,0.00032821488298176915,0.8856060826067434,2.3176853738742067,0.6940258651906422,0.12720639108763568,1.6334887627619898
snap,0.005483786895030606,0.023882846443214967,0.01779681843619365,0.004151768924611028,0.002638700286475316,5.510734687475641e-06,0.0001961250433517613,0.00010276896497657974,1.9406997330636788e-06,8.093961961789789e-05,4.910210608719005e-05,0.8450466462473347,1.7348544208267789,0.23582182844412145,0.042228572182694386,0.7335377463253205
hpcc_dgemm,0.0009354559437571848,0.002190289561124444,0.0008206611255241037,0.0003689254357882899,0.00027534452489147177,1.3665743504276279e-06,3.5127188155885753e-05,1.8208620163385447e-05,9.58221069024926e-07,0.0004542790709111044,4.7206446779923215e-06,2.1120809337059443,3.5038928291326483,0.2563132851789661,0.08624192918708337,1.308285396651471
hpcc_random,0.2991104406330292,0.4482037386833718,0.289947255312586,0.12367199573773816,0.08513147792605677,1.4709356059910852e-05,0.00996338420222917,0.00014486681208628182,1.0112202618228633e-05,0.028468611729510963,0.0041330244454132106,8.629085676992018,15.930022317610334,7.240452697165535,0.9186932829149824,14.062121309433222
hpcc_streams,0.0020577710997535985,0.005135178708284907,0.0024932027855601407,0.0010271623733164913,0.0007943097850963504,3.7280232806684406e-07,2.91964150987083e-06,4.4140552045069007e-07,1.0810529875014005e-07,0.00011248274522326766,0.0007082667397538849,1.069875589055978,1.514704767122725,2.865834951763718,0.07513413142584008,3.8039792721744488
hpcg,0.001968992339426173,0.0067545982940798,0.006077181135191021,0.0053097402270065475,0.004963057624654238,0.00014764016685470701,0.00023506919178499839,2.8591682133273506e-06,2.8405056803533123e-07,0.00042902026615085733,1.78747687256314e-05,0.8162882137467189,1.3849464455131009,1.3721854522546264,0.1291372551502761,2.2115683858348545
