,ILD_STALL:LCP,INT_MISC:CLEAR_RESTEER_CYCLES,INT_MISC:RECOVERY_CYCLES,INT_MISC:RECOVERY_STALLS_COUNT,UOPS_ISSUED:ANY,UOPS_ISSUED:FLAGS_MERGE,UOPS_ISSUED:SLOW_LEA,UOPS_ISSUED:STALL_CYCLES,UOPS_ISSUED:VECTOR_WIDTH_MISMATCH
ExaMiniMD,0.0002113911983770392,0.0040348847126352025,0.004693949052978342,0.0008441848067621015,4.188417774335377,2.1465733741605132e-05,0.07723119386951477,0.3892395288836714,1.7934121627979766e-11
LAMMPS,0.0005462816264953282,0.006173159576899316,0.004121768688457147,0.0009175964731224892,5.0479041395587805,1.2493726203324753e-07,0.07026621376165479,0.5791616975186255,0.0
sw4lite,4.550215664385105e-07,0.0006682772041700176,0.000904052461253424,0.00012582655383023688,1.1767811669660095,0.00019506949390290596,0.004502638433671415,0.13194748769149206,2.932710176989567e-13
sw4,4.65562536236808e-07,0.0008529608650405812,0.0008802074210821076,0.00015075362693565551,0.8530331369438965,0.000172063458233714,0.004906706438961403,0.1255784380758845,4.089539489328927e-12
SWFFT,1.1252177355922822e-05,0.0026512578305982392,0.001254308413623236,0.00020672926720881752,0.4686077681927888,1.5769074836101082e-05,0.004823179128406632,0.12681040892654216,2.3399891170549128e-12
HACC,6.554974210482802e-06,0.003730980884956625,0.005508506844639755,0.0009700728752404636,0.7656686245209172,0.0004911428265174738,0.023253259360997446,0.2034094770311309,1.5691553988187085e-09
MiniQMC,3.767145992455346e-08,0.005325498304671666,0.002414218182693213,0.0003964377573298419,0.2632087477059251,0.00023330978060585162,0.0004150242249576618,0.0679142808220129,1.4462601723309764e-07
QMCPack,9.701820307911439e-06,0.003042334397194647,0.004523474825212698,0.0007891506503150017,0.5054298369636888,0.0002925132815088416,0.007712071881286109,0.333876270577302,1.2746128746197812e-09
miniVite,3.468210134077173e-06,0.00436452727439606,0.005881027133686824,0.0013708565051951038,0.7098009928927905,0.0007438973841691647,0.004877569243515537,0.18173064061035327,3.319088191938309e-11
vite,9.953627606264364e-08,0.003508858205560955,0.003141336202549072,0.0006276936517534508,7.582119692355177,0.0001407722705731933,0.0038037043083483826,1.3293543478055334,3.7146824612131106e-11
Nekbone,3.0079166100919847e-06,0.008656138509887302,0.0028005918117313014,0.0009103718782035742,5.617828476302812,0.003702401409367544,0.013701421384500936,1.999574195369603,0.0
Nek5000,8.876513298791653e-07,0.0010813053283958351,0.0012325696591103505,0.00022519313026867182,0.5116363008338143,0.0005746858999902275,0.0035302781399239288,0.12724626311183865,1.3401893808521918e-10
XSBench,1.283943234342335e-09,0.0280368107951404,0.009512228644625078,0.0032521573147918266,0.9615723879597,0.0071722458787596794,0.005607559176248196,2.170223221163224,0.0
openmc,1.1837973739738028e-06,0.018429646336502983,0.05130520177228104,0.0059182654268822,10.87295612891307,0.007573958906195541,0.05390535502135809,0.5069941195324141,3.3421233600508537e-12
picsarlite,1.2307189412804828e-05,0.0048312019001481455,0.002120809637367367,0.00042295114871154446,4.7505289458911815,1.916665555280553e-06,0.037233429222590375,1.065886258147527,1.2190809715345007e-10
picsar,2.1557097883924436e-05,0.006226591908728216,0.002623668366772174,0.0005387551748741894,6.054133364133317,3.019781730773762e-06,0.06557056540598283,1.0421899793066731,1.3604633713054625e-11
amg2013,2.1390337837254952e-07,0.009441368531538716,0.009468887022865548,0.0018989939379238465,7.403358254257388,0.0010666498368381914,0.04510963740357245,1.4148680118789656,3.992428070797717e-11
Castro,6.409424647372996e-07,0.0036488136013086646,0.004511951950143404,0.0007853608943864804,1.6536550473053608,0.00016646421883575687,0.007020486827166011,0.26092219918673515,9.684403126603498e-12
Laghos,1.6593282507568982e-06,0.01517921557502666,0.011871167665584385,0.002340174604221934,6.8634545471263975,0.0004201084123290052,0.0508882728954962,1.3009720624831964,2.383300482264709e-09
pennant,7.071084938003903e-08,0.008449699705728661,0.0036021623590820773,0.0006986064188987227,3.6863232358368885,0.001508520479516294,0.008072580508893545,1.0543974828445517,0.0
snap,5.729387368772431e-06,0.00498299212166441,0.0017793903166490805,0.00034822024770560716,3.5701447805992412,0.0004677340939664634,0.04709222967432405,0.5162400880978868,2.158398508081336e-10
hpcc_dgemm,1.360248477740886e-09,0.0018146589147627762,0.001649258864864064,0.000280546297319078,5.220217268742936,0.0015178792506638811,0.004340361722232389,0.4647717492841337,2.810084545686288e-12
hpcc_random,0.006384190819120264,0.03622866054980802,0.016917606380723583,0.005189913928464053,6.509957761936463,0.010703320792576862,0.038404540175754495,2.645805969737787,0.0
hpcc_streams,4.620101994001464e-07,0.0389658400377049,0.0028547710946707273,0.0009098224426769533,3.096386185614812,3.0216105413503263e-07,0.01275074439735938,5.362125831210067,0.0
hpcg,1.0628013018143832e-06,0.002553641336530046,0.0015144642187278384,0.0003692222099353932,2.333625935397809,0.0003605470316930397,0.008009471125882687,1.489495597350386,6.527367955781846e-13
