,L1D:REPLACEMENT,MEM_LOAD_RETIRED:L1_HIT,MEM_LOAD_RETIRED:L1_MISS,MEM_LOAD_UOPS_RETIRED:HIT_LFB
ExaMiniMD,0.003610558135693436,0.2781564542875687,0.0018494834683700735,0.002011894268883234
LAMMPS,0.003195963286060927,0.1385325052466085,0.0008786378130993028,0.0011466437337488587
sw4lite,0.00371593296664989,0.1418148137242282,0.003874069270703501,0.007626884345732645
sw4,0.0035025904215892725,0.1522000644746713,0.004706831952942335,0.007940574819279369
SWFFT,0.007774800414162,0.09222087873208837,0.004342492758548402,0.003508542576492194
HACC,0.017850613158366647,0.13658691163672054,0.005964287687139481,0.0023970846022488943
MiniQMC,0.009588493468600344,0.04418223702574591,0.0039085558409163845,0.004307574096451725
QMCPack,0.016952404007424326,0.1581373525354489,0.010955681612038191,0.0027014157623177788
miniVite,0.0044657358687481535,0.2331900269587339,0.0018623309529058856,0.0013985792025970742
vite,0.07573190473802091,2.2715217627487245,0.004760958749626812,0.04140723226555292
Nekbone,0.009160257163758841,0.18097934776734964,0.002056776580366952,0.02363634819458973
Nek5000,0.006677107901726262,0.10222913443170407,0.001992079669121969,0.012326551368633957
XSBench,0.006858137045823585,0.10459018630274294,0.00540297310707027,0.0071481557812736185
openmc,0.08868293840974213,10.548029650249411,0.01251125192257178,0.012230806168555857
picsarlite,0.01081128177810912,0.36127584530660617,0.008200272287339858,0.004567527851510542
picsar,0.008579282781183969,0.2772142919892009,0.00683029020279981,0.00413418888847254
amg2013,0.009970574345970522,0.2262425077170028,0.0029287375028595177,0.009478209947648229
Castro,0.009059576909435705,0.15019395413365694,0.0036236197806427508,0.012903105479534216
Laghos,0.006188966147006251,0.14489389677925488,0.0039105031755541746,0.004788827810165183
pennant,0.037209148444862186,0.3085080308519727,0.015347761321102809,0.018605832185796138
snap,0.016133887710327442,0.2496736660962033,0.004278192068589065,0.009827163583174842
hpcc_dgemm,0.11654656506490367,0.2730617066661095,0.0402464531863908,0.001614872032079466
hpcc_random,0.009399887911458977,0.2779441732480838,0.008832447923934244,0.003815204951074692
hpcc_streams,0.01461419626330331,0.11594888458371108,0.014875656254070562,0.0352360802210943
hpcg,0.02205462720659849,0.3261215572216684,0.01450489604424586,0.05827396964254127
