,L2_LINES_IN:ALL,L2_LINES_OUT:NON_SILENT,L2_LINES_OUT:SILENT,L2_LINES_OUT:USELESS_HWPREF,L2_RQSTS:ALL_DEMAND_DATA_RD,L2_RQSTS:ALL_DEMAND_MISS,L2_RQSTS:ALL_DEMAND_REFERENCES,L2_RQSTS:ALL_PF,L2_RQSTS:ALL_RFO,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,L2_RQSTS:MISS,L2_RQSTS:PF_HIT,L2_RQSTS:PF_MISS,L2_RQSTS:REFERENCES,L2_RQSTS:RFO_HIT,L2_RQSTS:RFO_MISS,L2_TRANS:L2_WB,MEM_LOAD_RETIRED:L2_HIT,MEM_LOAD_RETIRED:L2_MISS,MEM_LOAD_UOPS_RETIRED:L2_HIT
ExaMiniMD,0.0008455741347923568,0.000754875589985821,3.732796181134588e-05,1.0338362449337055e-05,0.007894288205329945,0.00022295633096260464,0.01123003934067041,0.009978471229312228,0.005407215290617259,0.008735324120697163,0.00015504375937896254,0.0011076025278469114,0.01034508613198088,0.0009721334063344864,0.017673266944850684,0.005167299673106278,8.75542214562322e-05,0.000753768020427192,0.005605015511310756,0.00010174545119283033,0.0057719894400597065
LAMMPS,0.0007624555671243859,0.0007013745194202582,6.225049812135472e-05,9.305984314911286e-06,0.007030009983647447,0.00019209295044624858,0.009199436975957206,0.021265100202290967,0.002547748336146082,0.00776731565658517,0.00011964762337230503,0.001029864429240953,0.02453437443141229,0.001155226888169791,0.02004697545488156,0.002065131810644715,0.00012446452997451598,0.0007113696837566916,0.005182455955490379,0.00011346709302688371,0.005236077173808747
sw4lite,0.003919374646362336,0.005796966913215223,0.00032243223280904384,5.815243227322653e-05,0.00984928792791295,0.0012416445884545725,0.00828801362523191,0.02436936307212487,0.0013123741683951546,0.010517916609159824,0.00040034898501102297,0.009732218271435078,0.01725675520086676,0.010764462689259627,0.02519107601275038,0.000409575812494405,0.0009404450958043674,0.006004791459257556,0.008778204308499108,0.0003512127879578177,0.008970894386545459
sw4,0.00430588262370328,0.004059107021026732,0.00017267355313786874,4.803674634490463e-05,0.008807780793303173,0.0018349281000978434,0.008493919312541306,0.013744522463978262,0.0018173798821755351,0.009407649334711624,0.0003394813697161694,0.007072570779683497,0.008065199647551369,0.006620392029674263,0.016540101620785033,0.0004095203946723452,0.001530554741995537,0.00429407882709722,0.007811529236897989,0.0002934678883110933,0.007721403105065862
SWFFT,0.004460230620980031,0.00466436790922212,0.00024425256932192145,4.8362031369172256e-05,0.0069237194762934405,0.003202983263430389,0.008938212367695961,0.015213235159238498,0.0030136586125790307,0.005917620016865107,0.002647065196007973,0.006780350023922648,0.010204479333046594,0.005663097062868115,0.023277447013156337,0.0022474084165579394,0.0017649693437185993,0.004883740146942596,0.005575661109008133,0.00198332680225822,0.00571140362387589
HACC,0.005743133130894318,0.005511323866107203,0.0003092096950848825,0.0001938855869793668,0.005557842200558403,0.0021450961733655767,0.006318363716603379,0.014259480719228881,0.002476196773919003,0.0056322488343127424,0.0009530062325309056,0.007751788940741614,0.013694182831575427,0.006073136897536649,0.020127106897822128,0.0013257371545968976,0.001309883770600672,0.005625727744097255,0.0056290334199297215,0.001015043523039522,0.005628622753742138
MiniQMC,0.0048205612884960145,0.005201291036480702,0.0001113584442642184,0.00027388415769467395,0.004927454555792695,0.0018102464190542173,0.006540391679525971,0.009551922736225276,0.0008142521562662077,0.004316204169456239,0.0017899591534889109,0.006245091142243947,0.006602368506863748,0.004865265572888411,0.013663301440717965,0.0006100795589351478,0.00028490510777563234,0.004509609636670891,0.003446878488147921,0.0007112464876355799,0.0033100715957047892
QMCPack,0.023809242426578992,0.02655747927380793,0.0003134934318180311,0.00024462039964894824,0.027891299941444042,0.011890310600604408,0.03185786445051265,0.03668810794806029,0.0026377054955997875,0.014247810776856759,0.011075107175516071,0.03677319685318512,0.009802519742581265,0.027275348748199275,0.060220182156548424,0.002388594270543493,0.0005134898594679951,0.029396570466634412,0.0128777888892535,0.013211002925214795,0.012684090788813041
miniVite,0.0019503076816815906,0.001815173922939094,0.00014842428403347613,0.00030342492921827036,0.003397804949682136,0.0015777231161904774,0.003414163006815509,0.0011755396756325215,0.0001951137492401384,0.0017810178554532464,0.0015745862342766484,0.0021898780429201567,0.000254219682133375,0.0009533047715074108,0.003605995944164529,5.8768329573600585e-05,0.00017554742957274068,0.0017905638672043214,0.0010851699792796402,0.0010718077356730764,0.0011122406570792565
vite,0.07269244513587722,0.1067760495530327,0.007547054376345048,0.0003772461527031888,0.0069876750408847535,0.001571304218232063,0.00621302731809945,0.4641905662287295,3.522131362433999e-05,0.006031836485224571,0.0015438966977156794,0.19779497562445064,0.1438288102679912,0.26011492591354923,0.3294052791654256,1.4603274830512571e-05,1.8254382829567494e-05,0.119397496385803,0.0036159687119618656,0.0010650116766539775,0.0036145555210434096
Nekbone,0.007420300106154591,0.006567980506980221,0.0007774906595424808,0.0004109447742193459,0.001305182790249493,0.0014479602449332097,0.016871130420601232,0.012453358161465243,0.008686598501196583,0.0014813156331136036,0.00507263521600867,0.006727599855314306,0.005414553008591281,0.008105424657711954,0.020262890800368482,0.007092194849892412,0.0053643607734838675,0.017925888904047692,0.0013705022828070946,0.004810355172118272,0.0019449382270634856
Nek5000,0.011647212301589388,0.016319247742060956,0.0011664375304006615,0.0004228363643671231,0.006217615647079115,0.0037530639975080775,0.00946350667311779,0.04657252565022904,0.0036460503415683436,0.003832410974619053,0.0026990871167943747,0.029182281134452464,0.0126096243302733,0.032957652756700116,0.04518247858651734,0.002448966381483369,0.0011709484975030902,0.01846688410049676,0.0031516116367517485,0.0035209221952619673,0.0031197507385275877
XSBench,0.014115938205932274,0.02264167550020772,0.0035665587441608077,0.0008276475560261645,0.03501166651720912,0.02965196519148532,0.032950339096179934,0.007824852950527147,0.00015026873707874982,0.008113768300339755,0.03301613085189179,0.027360957860241685,0.0017867671643469602,0.0065161725269268535,0.036917330178029985,0.0001236172707358995,1.8399487452841354e-05,0.02885305564356162,0.0019420829021676602,0.012484189595975493,0.0020341120294376427
openmc,0.02913647495802608,0.03154230429972128,0.004163774096738961,0.0004423695617232014,0.008562166152526326,0.0036012217896908686,0.03832421365749522,0.024572661870166,0.0058847863906195605,0.0067318854428665455,0.0027002173925446487,0.031541327458355486,0.007766280530368144,0.021144933802017863,0.059206370021540465,0.005139877516906024,0.0004126491801756585,0.016500546106104373,0.007526410521296285,0.002357910780039587,0.007383501544848403
picsarlite,0.024190715574352917,0.02664521241920185,0.0031761208260287074,0.0005034312890370778,0.05214255882517069,0.028810984471436887,0.05502512298356934,0.07181110924728504,0.005073062154878164,0.031513546106736554,0.027165547178893558,0.06277886567335246,0.037641046107322135,0.03843111520279848,0.1233929195538623,0.0010495578593156577,0.002843668845078803,0.0305721325156864,0.02127910151057652,0.01658162150868649,0.02144472935235655
picsar,0.02684817793587028,0.03673654059663571,0.0023582883611721482,0.0003487962415319573,0.0558399879507696,0.031366570998837814,0.056254172193240505,0.07204656484397179,0.005384354892664868,0.039175655896320466,0.029975091608949195,0.047015640598669285,0.0278175889467235,0.04029829671062378,0.09492289198727348,0.0010539737105314858,0.003782599376463296,0.03791729284983585,0.027550507839168337,0.02262640584423322,0.027840944259080503
amg2013,0.13186098811071095,0.13644227341619694,0.004174856988680601,0.0004929428226711126,0.04880863471676596,0.013842596536006418,0.053797295865384384,0.3161754248736133,0.004447251331444256,0.0387636639271418,0.01138861345246763,0.2127107640951848,0.10998156159580638,0.21045789529914088,0.3638072033146473,0.0022580498560660477,0.0021561483878858377,0.1386472204191264,0.0355164898471516,0.014210998059761925,0.03591467400275078
Castro,0.010170423519129324,0.011017166777351182,0.0008707135417793836,0.0004207466992687954,0.006078139358190097,0.002173489464203667,0.009561943055041305,0.029002004007547308,0.003980064868480415,0.005729240645612818,0.0011063528455245225,0.01770422405823411,0.010649536215984455,0.01856572735967808,0.03437212254365485,0.003374083619034073,0.0011399623541339366,0.012690351955523932,0.004916383877325911,0.0017228534519344153,0.004930797843117797
Laghos,0.0431110039307094,0.050005363735619854,0.002849565668101401,0.004990506336530315,0.030588818235143263,0.014919000837567496,0.03780032143924529,0.1222690078924189,0.010371162394598472,0.022227790733993658,0.011581169160975702,0.07488664679839399,0.035954263512157386,0.08113578385640732,0.12066398541324705,0.006538140529767959,0.003594210200869378,0.05595276575200088,0.01541778399018637,0.009136470307714313,0.015939737682234074
pennant,0.02993441925049521,0.045603220253162345,0.0038448454786550843,0.00048240786934377217,0.043938974352137485,0.01288998867574062,0.08176659377604459,0.20839956194131867,0.047394433974898495,0.04588127425435222,0.004378614820949886,0.07634714506247384,0.1139518353997596,0.09256596732631824,0.22619695310074006,0.035599997278167976,0.0076629485303050145,0.0502482876724827,0.02766689293333193,0.0034134483326831873,0.02699512224097278
snap,0.009956864612548064,0.013955762909746552,0.003161212529401109,0.0007805616629691827,0.015331668270454369,0.004363165387487154,0.026478417206158244,0.057168010905269025,0.016072937700097368,0.015982073971068645,0.0027516149623052983,0.02325201527058674,0.030366847202705962,0.030590731182149927,0.06379531026886802,0.01453713970573788,0.0010180341221842537,0.01595527987580089,0.010729403798482327,0.0020531246417870666,0.010920339941774505
